
[00:00:00.000 --> 00:00:02.680]  我岩岩喺廣西返嚟
[00:00:02.680 --> 00:00:07.620]  早段時間我去廣西去探一探我哋嗰啲貧困嘅學生
[00:00:07.620 --> 00:00:11.980]  其中有啲都令我哋好悲痛
[00:00:11.980 --> 00:00:17.220]  就係有啲女仔高中一我哋資助嗰班學生
[00:00:17.220 --> 00:00:19.220]  我哋分組同佢傾談
[00:00:19.220 --> 00:00:22.480]  每個都有佢好沉痛嘅故事
[00:00:22.480 --> 00:00:27.200]  好多都係女仔屋企唔上工去讀書
[00:00:27.200 --> 00:00:30.280]  咁我哋供佢呢 佢哋就可以讀落去
[00:00:30.280 --> 00:00:33.600]  但係佢屋企供佢讀書好艱難
[00:00:33.600 --> 00:00:36.780]  每個都講到佢父親幾咁艱苦
[00:00:36.780 --> 00:00:38.780]  都係想喊嘅
[00:00:38.780 --> 00:00:41.840]  但係有一個女仔好瘦弱好蒼白嘅女仔
[00:00:41.840 --> 00:00:44.340]  佢冇喊 佢好堅強
[00:00:44.340 --> 00:00:46.340]  佢強忍住眼淚
[00:00:46.340 --> 00:00:48.340]  佢屋企有四個仔女
[00:00:48.340 --> 00:00:52.840]  係因為屋企人佢少數民族可以生多啲嘅喺中國
[00:00:52.840 --> 00:00:55.400]  但佢想生個仔 頭三個都係女
[00:00:55.400 --> 00:00:57.400]  所以生第四個就係仔
[00:00:57.400 --> 00:01:00.320]  第四個就係嗰個讀書就好艱難
[00:01:00.320 --> 00:01:04.320]  咁所以佢話呢 佢爸爸係靠耕田係冇辦法
[00:01:04.320 --> 00:01:08.520]  供佢讀書就只能夠係賣血
[00:01:08.520 --> 00:01:13.320]  佢話爸爸就去買血嗰啲錢來供佢讀書
[00:01:13.320 --> 00:01:19.880]  然後佢話由於佢買血有個限制唔准太瘦嘅人去買血嘅
[00:01:19.880 --> 00:01:24.880]  咁呢佢就袋咗兩個石頭喺個衫袋嗰度加重佢嘅體重
[00:01:24.880 --> 00:01:26.880]  以致到佢可以賣到血
[00:01:26.880 --> 00:01:29.880]  嗰個女仔講嗰陣時佢冇流淚
[00:01:29.880 --> 00:01:33.880]  佢眼淚只係喺佢嘅眼中滾入
[00:01:33.880 --> 00:01:36.880]  但係佢好堅強但係好沉痛
[00:01:36.880 --> 00:01:39.880]  其實我哋都聽到好多咁嘅故仔
[00:01:39.880 --> 00:01:41.880]  每個人都係真實嘅故事
[00:01:41.880 --> 00:01:45.880]  所以我知我哋中國係有好多好多嘅責任
[00:01:45.880 --> 00:01:49.880]  我哋繼續要將基督教愛帶畀呢啲嘅小朋友
[00:01:49.880 --> 00:01:54.880]  咁然後當我哋做咗十幾年喺廣西呢
