
[00:00:00.000 --> 00:00:03.880]  我們一起再去禱告
[00:00:03.880 --> 00:00:08.200]  天父願意祢的靈與我們同在
[00:00:08.200 --> 00:00:12.840]  今天我們活在一個很彎曲薄茂的世代裏面
[00:00:12.840 --> 00:00:15.400]  求主祢的靈去引導我們
[00:00:15.400 --> 00:00:17.240]  打開我們的心
[00:00:17.240 --> 00:00:18.800]  打開我們的眼睛
[00:00:18.800 --> 00:00:20.600]  打開我們的耳朵
[00:00:20.600 --> 00:00:23.720]  讓我們都可以明白上主祢的帶領
[00:00:23.720 --> 00:00:26.320]  以致我們走在正道的當中
[00:00:26.320 --> 00:00:29.360]  我們願意上主祢去帶領我們以下的時間
[00:00:29.360 --> 00:00:30.680]  多謝聽我們祈禱
[00:00:30.680 --> 00:00:32.560]  奉著耶穌基督的聖名祈求
[00:00:32.560 --> 00:00:33.400]  阿門
[00:00:33.400 --> 00:00:38.560]  剛才我不知道大家讀這段經文的時候
[00:00:38.560 --> 00:00:40.200]  有什麼感覺呢
[00:00:40.200 --> 00:00:42.280]  我之前跟我的團友說
[00:00:42.280 --> 00:00:44.240]  我今天的講道
[00:00:44.240 --> 00:00:46.280]  我會說壞話的
[00:00:46.280 --> 00:00:50.880]  因為你讀下去都覺得沒什麼好東西的
[00:00:50.880 --> 00:00:53.600]  事實上這段經文是承接
[00:00:53.600 --> 00:00:56.680]  之前經文前面第一章第二章
[00:00:56.680 --> 00:00:59.120]  或者甚至是提摩太前書
[00:00:59.120 --> 00:01:01.440]  他一直說
[00:01:01.440 --> 00:01:03.840]  當爾芬所這間教會
[00:01:03.840 --> 00:01:06.920]  在一個內憂外患的處境當中
[00:01:06.920 --> 00:01:09.560]  保羅勉勵提摩太
[00:01:09.560 --> 00:01:11.120]  你不要膽怯
[00:01:11.120 --> 00:01:12.600]  你要剛強壯膽
[00:01:12.600 --> 00:01:14.880]  你要按正義分解主的道
[00:01:14.880 --> 00:01:17.760]  竭力成為一個上帝很喜悅的工人
[00:01:17.760 --> 00:01:21.960]  豐助頂子妹成為貴重的器皿為主所用
[00:01:21.960 --> 00:01:25.120]  這個是保羅去勉勵提摩太的說話
[00:01:25.120 --> 00:01:29.920]  我猜這些說話其實對每一個信徒都很合聽
[00:01:29.920 --> 00:01:33.000]  因為正在面對我們要傳福音
[00:01:33.000 --> 00:01:36.200]  其實都面對一些不同的難阻
[00:01:36.200 --> 00:01:38.560]  特別當時的教會
[00:01:38.560 --> 00:01:41.640]  基督徒其實正在面對很多逼迫
[00:01:41.640 --> 00:01:45.160]  尼祿的政府其實很殘暴
[00:01:45.160 --> 00:01:47.920]  逼迫好基督徒生命都沒了
[00:01:47.920 --> 00:01:51.760]  事實上當我們傳福音我們要面對逼迫
[00:01:51.760 --> 00:01:54.480]  或者我們都要做好這個準備
[00:01:54.480 --> 00:01:58.120]  我們去傳福音都會面對不同的逼迫
[00:01:58.120 --> 00:02:00.280]  我們要有這些心理準備
[00:02:00.280 --> 00:02:04.560]  當時在羅馬政府底下受逼迫
[00:02:04.560 --> 00:02:08.680]  事實上現在的世界會不會不同呢?
[00:02:08.680 --> 00:02:12.680]  沒了尼祿OK啦不會逼迫了
[00:02:12.680 --> 00:02:13.680]  是不是呢?
[00:02:13.680 --> 00:02:16.680]  我相信你自己都會有答案
[00:02:16.680 --> 00:02:21.080]  而保羅和提摩太或者當時的受眾說
[00:02:21.080 --> 00:02:26.840]  在他領袖裏面不單止羅馬政府
[00:02:26.840 --> 00:02:29.680]  而在末後末世的日子裏面
[00:02:29.680 --> 00:02:31.880]  都有這一番的景象
[00:02:31.880 --> 00:02:37.280]  這個是保羅所看見或者他可以感受到
