
[00:00:00.000 --> 00:00:04.440]  聖經裡風暴的記載常常讓我們想起自己的人生
[00:00:04.440 --> 00:00:07.540]  有些時候你就是會遇到風暴一樣
[00:00:07.540 --> 00:00:09.880]  在當中感受到無力
[00:00:09.880 --> 00:00:11.880]  甚至是絕望
[00:00:11.880 --> 00:00:15.380]  而風暴的記載更加是讓人看見
[00:00:15.380 --> 00:00:20.000]  信主的人不會免於災難
[00:00:20.000 --> 00:00:23.340]  我有幾年曾經因為侍奉的需要
[00:00:23.340 --> 00:00:25.340]  要出入彌賭的分堂
[00:00:25.340 --> 00:00:27.460]  最方便由香港島去的方法
[00:00:27.460 --> 00:00:29.460]  一定是搭船
[00:00:29.460 --> 00:00:33.440]  有一兩次船到達海中心
[00:00:33.440 --> 00:00:37.100]  相信是遇上強烈的季候風
[00:00:37.100 --> 00:00:41.400]  短短數十分鐘的航程
[00:00:41.400 --> 00:00:44.660]  船從頭拋到尾
[00:00:44.660 --> 00:00:46.140]  高高低低
[00:00:46.140 --> 00:00:47.820]  左搖右擺
[00:00:47.820 --> 00:00:52.140]  其實在當中整個人不斷感受到那種離心力
[00:00:52.140 --> 00:00:53.620]  很狼狽
[00:00:53.620 --> 00:00:57.540]  被拋起又踏落海浪當中
[00:00:57.540 --> 00:01:00.160]  而且不是一刻,而是一直這樣
[00:01:00.160 --> 00:01:02.400]  整個人覺得很暈、很想吐
[00:01:02.400 --> 00:01:03.920]  甚麼都做不到
[00:01:03.920 --> 00:01:09.400]  只能夠坐在船上等待到岸的那一刻
[00:01:09.400 --> 00:01:11.840]  當然這些經歷與今天我們所讀的
[00:01:11.840 --> 00:01:16.600]  保羅的船難經過是微不足道的
[00:01:16.600 --> 00:01:18.380]  今天我們進入到《士徒行傳》
[00:01:18.380 --> 00:01:21.440]  接近尾聲的第27章
[00:01:21.440 --> 00:01:23.440]  作者路加的記載
[00:01:23.440 --> 00:01:25.440]  他好像一個飛機的黑盒一樣
[00:01:25.440 --> 00:01:30.480]  非常詳盡記錄了保羅前往羅馬見凱撒的航程
[00:01:30.480 --> 00:01:33.400]  是如何經歷那些災難的
[00:01:33.400 --> 00:01:35.400]  在考古學家中發現
[00:01:35.400 --> 00:01:38.260]  在古代船難的記載當中
[00:01:38.260 --> 00:01:41.880]  路加的這一篇是最詳盡的
[00:01:41.880 --> 00:01:45.220]  在災禍中是否能夠得救
[00:01:45.220 --> 00:01:48.200]  其實不可以用一個簡單的公式去計算
[00:01:48.200 --> 00:01:50.960]  即是說我們基督徒不能倖免於難
[00:01:50.960 --> 00:01:56.360]  如果是這樣的話,在有如狂風暴雨擊打的苦困之中
[00:01:56.360 --> 00:02:01.840]  上帝的主權與我們有什麼關係
[00:02:01.840 --> 00:02:03.840]  又有什麼益處呢?
[00:02:03.840 --> 00:02:06.700]  我們就要用這一章經文思想
[00:02:06.700 --> 00:02:10.960]  我們可以如何信靠主走過這個風暴的日子
[00:02:10.960 --> 00:02:13.960]  我們再一次擺上禱告
[00:02:13.960 --> 00:02:17.080]  主啊,祢是平靜風浪的主
[00:02:17.080 --> 00:02:21.760]  但有時候我們人生的確遇到很大風大雨的一刻
[00:02:21.760 --> 00:02:24.880]  我們會徬徨、無助、無力
[00:02:24.880 --> 00:02:26.380]  我們不知道該怎麼辦
[00:02:26.380 --> 00:02:29.160]  主啊,當我們打開祢的話語
[00:02:29.160 --> 00:02:30.880]  讓我們讀盡心中
[00:02:30.880 --> 00:02:32.960]  讓聖靈開啟我們心裡的眼睛
[00:02:32.960 --> 00:02:36.120]  看清楚祢要我們學的真理
[00:02:36.120 --> 00:02:39.360]  祈禱奉主耶穌基督得聖名之祈求
[00:02:39.360 --> 00:02:41.360]  阿們
[00:02:47.080 --> 00:02:49.720]  人錯誤的後果
[00:02:49.720 --> 00:02:53.800]  總之基督徒是不能夠免於災禍的
[00:02:53.800 --> 00:02:55.800]  這樣看來
[00:02:55.800 --> 00:03:00.160]  對我們有什麼好處呢?
[00:03:00.160 --> 00:03:01.960]  在前一節、二十節
[00:03:01.960 --> 00:03:03.400]  今天還未讀的地方
[00:03:03.400 --> 00:03:06.000]  其實是整篇中間的部分
[00:03:06.000 --> 00:03:07.600]  二十節那裏路加這樣寫
[00:03:07.600 --> 00:03:12.200]  「這樣看來我們連生還的希望都沒有了」
[00:03:12.200 --> 00:03:16.680]  是什麼原因路加會記錄一句這樣的說話呢?
[00:03:16.680 --> 00:03:18.080]  上一次的講道
[00:03:18.080 --> 00:03:19.400]  前一個星期的講道
[00:03:19.400 --> 00:03:21.880]  保羅去到羅馬總督
[00:03:21.880 --> 00:03:24.600]  菲利斯的面前接受審訊
[00:03:24.600 --> 00:03:26.640]  菲利斯找不到他有什麼錯處
[00:03:26.640 --> 00:03:30.240]  但是仍然為了要討好猶太人的關係
[00:03:30.240 --> 00:03:32.840]  將保羅軟禁多兩年
[00:03:32.840 --> 00:03:35.520]  直至他離任都沒有釋放他
[00:03:35.520 --> 00:03:38.960]  之後保羅接連在新任的總督
