
[00:00:00.000 --> 00:00:02.800]  如果還在那些年
[00:00:02.800 --> 00:00:07.200]  那些年是近期一套
[00:00:07.200 --> 00:00:08.500]  過了一段時間的了
[00:00:08.500 --> 00:00:10.500]  都頗熱門的電影
[00:00:10.500 --> 00:00:12.100]  不知道大家有沒有看過
[00:00:12.100 --> 00:00:15.200]  或者你都經常聽這句話
[00:00:15.200 --> 00:00:18.500]  成為我們一個共通的語言
[00:00:18.500 --> 00:00:20.700]  就是講我們年輕的時候
[00:00:20.700 --> 00:00:22.300]  何時是年輕的時候呢
[00:00:22.300 --> 00:00:23.500]  有些人講年輕的時候
[00:00:23.500 --> 00:00:25.100]  可能是十幾二十歲
[00:00:25.100 --> 00:00:27.300]  或者可能是二十幾三十歲
[00:00:27.300 --> 00:00:28.300]  都還算年輕
[00:00:28.300 --> 00:00:31.300]  在聖經裡面四十歲都算年輕
[00:00:31.300 --> 00:00:33.800]  不知道你是哪個範圍
[00:00:33.800 --> 00:00:36.000]  你說我還是在那些年
[00:00:36.000 --> 00:00:38.700]  或者我想大部分人
[00:00:38.700 --> 00:00:40.000]  應該是方方崇拜的
[00:00:40.000 --> 00:00:41.600]  好像有一點點回應
[00:00:41.600 --> 00:00:43.200]  可以再調低一點點
[00:00:43.200 --> 00:00:46.200]  在我們當中大部分人
[00:00:46.200 --> 00:00:48.000]  都不在那些年
[00:00:48.000 --> 00:00:49.500]  是真的要回望的
[00:00:49.500 --> 00:00:52.000]  你想想
[00:00:52.000 --> 00:00:55.200]  如果我們可以從那些年
[00:00:55.200 --> 00:00:57.200]  再活一次
[00:00:57.200 --> 00:00:59.200]  你會怎樣活呢
[00:00:59.200 --> 00:01:02.700]  今天我就很想從傳道書
[00:01:02.700 --> 00:01:04.700]  第十一章九節
[00:01:04.700 --> 00:01:06.200]  至到十二章一節
[00:01:06.200 --> 00:01:08.700]  來跟大家看一個真正快樂
[00:01:08.700 --> 00:01:10.200]  並且滿足
[00:01:10.200 --> 00:01:12.700]  讓我們不遺憾的人生
[00:01:12.700 --> 00:01:14.200]  有四個特質
[00:01:14.200 --> 00:01:18.700]  我們讀一讀那段經文
[00:01:18.700 --> 00:01:19.700]  有一段經文
[00:01:19.700 --> 00:01:21.700]  我們一起中讀
[00:01:21.700 --> 00:01:23.700]  預備一二三
[00:01:24.200 --> 00:01:25.200]  少年人啊
[00:01:25.200 --> 00:01:27.200]  你在幼年時當快樂
[00:01:27.200 --> 00:01:29.200]  在幼年的日子
[00:01:29.200 --> 00:01:31.200]  使你的心歡暢
[00:01:31.200 --> 00:01:33.200]  恨你心所怨恨的
[00:01:33.200 --> 00:01:35.700]  恨你眼所愛看的
[00:01:35.700 --> 00:01:38.700]  卻要知道為這一切的事
[00:01:38.700 --> 00:01:40.200]  甚必審問你
[00:01:40.200 --> 00:01:44.200]  所以你當從心中除掉受煩
[00:01:44.200 --> 00:01:46.200]  從肉體刻去邪惡
[00:01:46.200 --> 00:01:50.200]  因為一生的開端和幼年之時
