
[00:00:00.000 --> 00:00:04.760]  我今天講到的題目是「更上一層樓」
[00:00:04.760 --> 00:00:06.380]  先考考大家
[00:00:06.380 --> 00:00:11.400]  這首詩的源出處有多少句?
[00:00:11.400 --> 00:00:13.040]  想清楚吧
[00:00:13.040 --> 00:00:16.840]  一是四句,一是八句,四還是八?
[00:00:16.840 --> 00:00:18.540]  是四句的
[00:00:18.540 --> 00:00:21.420]  回答四句的,待會兒元祖崇拜可以吃午餐
[00:00:21.420 --> 00:00:25.480]  八句的,等今晚吃晚飯
[00:00:25.480 --> 00:00:29.960]  先看看這首詩,看下一張影片
[00:00:29.960 --> 00:00:34.400]  白日依山盡,黃河入海樓
[00:00:34.400 --> 00:00:38.020]  欲窮千里目,更上一層樓
[00:00:38.020 --> 00:00:40.400]  是誰寫的?
[00:00:40.400 --> 00:00:44.120]  真的可以,王永之,你比祖堂更好
[00:00:44.120 --> 00:00:48.240]  他們是不認識的
[00:00:48.240 --> 00:00:50.880]  什麼朝代人?
[00:00:50.880 --> 00:00:55.320]  哇,唐朝厲害
[00:00:55.320 --> 00:01:00.720]  待會兒元祖崇拜可以吃午餐
[00:01:00.720 --> 00:01:05.320]  唐朝的哪一個年代?
[00:01:05.320 --> 00:01:07.520]  聖唐
[00:01:07.520 --> 00:01:13.320]  在生活環境文化很高漲,很豐富的時候
[00:01:13.320 --> 00:01:15.600]  人人覺得充滿著盼望
[00:01:15.600 --> 00:01:18.160]  充滿著胸襟,繼續前進
[00:01:18.160 --> 00:01:19.320]  寫一首詩歌
[00:01:19.320 --> 00:01:22.240]  在太陽落山,白日依山盡
[00:01:22.240 --> 00:01:26.040]  到盡的時候都看到所有的山脈
[00:01:26.040 --> 00:01:29.840]  你看這個胸襟氣勢很廣闊
[00:01:29.840 --> 00:01:33.480]  然後黃河的水一直流,不停地流
[00:01:33.480 --> 00:01:35.480]  豐富地流,流入大海
[00:01:35.480 --> 00:01:38.280]  雖然多數在他作這首詩的時候
[00:01:38.280 --> 00:01:39.920]  他看不見入海
[00:01:39.920 --> 00:01:45.240]  但是能夠在想像當中的豐富湧入大海
[00:01:45.240 --> 00:01:48.160]  這是一個很開心又盼望
[00:01:48.160 --> 00:01:50.960]  然後他說,欲窮千里目
[00:01:50.960 --> 00:01:54.720]  是可以望到盡
[00:01:54.720 --> 00:01:57.840]  不過可以更上一層樓就能看到
[00:01:57.840 --> 00:02:00.560]  我就覺得,人生聖經教導都是
[00:02:00.560 --> 00:02:03.160]  無論什麼年紀
[00:02:03.160 --> 00:02:06.000]  都是可以有這樣的胸襟和盼望
[00:02:06.000 --> 00:02:07.880]  所以今天就選擇了這句聖經
[00:02:07.880 --> 00:02:10.240]  羅馬書十二章一照二折
[00:02:10.240 --> 00:02:11.120]  大家覺得很熟悉的
[00:02:11.120 --> 00:02:13.840]  我們再看看這段聖經
[00:02:13.840 --> 00:02:16.160]  所以,弟兄們
[00:02:16.160 --> 00:02:18.960]  我以上帝的慈悲勸你們
[00:02:18.960 --> 00:02:21.840]  將身體獻上當作活祭
[00:02:21.840 --> 00:02:25.000]  是聖潔的,是上帝所喜悅的
[00:02:25.000 --> 00:02:29.080]  你們如此侍奉乃是理所當然的
[00:02:29.080 --> 00:02:30.960]  不要效法這個世界
[00:02:30.960 --> 00:02:33.400]  只要心意更新而變化
[00:02:33.400 --> 00:02:37.080]  叫你們測驗何為上帝的善良
[00:02:37.080 --> 00:02:40.080]  順從可喜悅的旨意
[00:02:40.080 --> 00:02:42.320]  經文對我很有意思的
[00:02:42.320 --> 00:02:47.920]  因為我剛剛就過了我的年輕人生階段
[00:02:47.920 --> 00:02:52.840]  已經進入了退而不休的階段
[00:02:52.840 --> 00:02:54.840]  就是老老地
[00:02:54.840 --> 00:02:59.920]  我心想,我的耳朵聽覺又衰退
[00:02:59.920 --> 00:03:01.800]  視力又衰退
[00:03:01.800 --> 00:03:04.200]  最差的是記憶衰退
[00:03:04.200 --> 00:03:06.200]  我講完之後又忘記了
[00:03:06.200 --> 00:03:09.560]  最重要的,最實際的
[00:03:09.560 --> 00:03:11.480]  就是師母所說的,我又忘記了
[00:03:11.480 --> 00:03:14.960]  根本都聽不到,所以就沒辦法了
[00:03:14.960 --> 00:03:17.160]  我說,上帝不是這樣嗎?
[00:03:17.160 --> 00:03:20.000]  我信了主之後一段時期
[00:03:20.000 --> 00:03:22.680]  都盡心誠實地學習
[00:03:22.680 --> 00:03:26.040]  雖然還差很遠
[00:03:26.040 --> 00:03:28.760]  但我都爭取進步去服侍你
[00:03:28.760 --> 00:03:32.000]  不是到年紀的時候衰成這樣
[00:03:32.000 --> 00:03:34.040]  雖然衰退,不是衰成這樣
[00:03:34.040 --> 00:03:36.360]  人生還有什麼盼望
[00:03:36.360 --> 00:03:41.040]  人年長了,或者人生經歷久了
[00:03:41.040 --> 00:03:44.040]  是否仍然可以起落,有盼望,有胸襟
[00:03:44.040 --> 00:03:46.480]  有胸懷大志,為主而活呢?
[00:03:46.480 --> 00:03:49.120]  在這樣的移民的時候
[00:03:49.120 --> 00:03:50.800]  上帝給我這段經文
[00:03:50.800 --> 00:03:52.240]  成為了我的鼓勵
[00:03:52.240 --> 00:03:54.800]  無論什麼年紀,什麼人生階段
[00:03:54.800 --> 00:03:56.680]  什麼健康狀態,什麼種族
[00:03:56.680 --> 00:03:59.360]  什麼文化,什麼性別
[00:03:59.360 --> 00:04:04.080]  這樣走是有很廣闊的前途
[00:04:04.080 --> 00:04:06.560]  很開心的前途
[00:04:06.560 --> 00:04:08.760]  所以今天就講這段經文
[00:04:08.760 --> 00:04:11.880]  昔日聖靈,上帝的靈
[00:04:11.880 --> 00:04:14.720]  感動人,使圖保羅的作者
[00:04:14.720 --> 00:04:17.600]  寫這段神的心意
[00:04:17.600 --> 00:04:21.400]  教導,鼓勵,帶領當時的信徒
[00:04:21.400 --> 00:04:24.080]  今天同一個聖靈,同一個真理
[00:04:24.080 --> 00:04:25.400]  藉著這段經文
[00:04:25.400 --> 00:04:27.200]  聖靈對我們說話的教導
[00:04:27.200 --> 00:04:30.000]  有三方面的學習
[00:04:30.000 --> 00:04:32.960]  第一個學習是
[00:04:32.960 --> 00:04:35.720]  重望上帝
[00:04:35.720 --> 00:04:38.600]  重新再望,再望
[00:04:38.600 --> 00:04:41.480]  上帝,原來你是這樣的
[00:04:41.480 --> 00:04:42.240]  經文裡面說
[00:04:42.240 --> 00:04:45.440]  「所以弟兄們,我以上帝的慈悲勸你們」
[00:04:45.440 --> 00:04:46.960]  「所以」是重要的
[00:04:46.960 --> 00:04:49.280]  因為第一章至到第十一章
[00:04:49.280 --> 00:04:51.520]  所有關於上帝的偉大
[00:04:51.520 --> 00:04:54.600]  所有關於人的不是
[00:04:54.600 --> 00:04:56.360]  跌入低谷犯罪
[00:04:56.360 --> 00:04:59.200]  是不可能值得可愛的時候
[00:04:59.200 --> 00:05:02.560]  上帝的慈悲,恩典,憐憫
[00:05:02.560 --> 00:05:03.840]  在我們最不值得
[00:05:03.840 --> 00:05:06.840]  沒什麼可以說我的條件
[00:05:06.840 --> 00:05:09.840]  可以恢復健康、美麗、幸福的時候
[00:05:09.840 --> 00:05:11.160]  上帝拯救我們
[00:05:11.160 --> 00:05:12.880]  叫耶穌赦免我們的罪
[00:05:12.880 --> 00:05:14.240]  當然我們說信耶穌這麼久
[00:05:14.240 --> 00:05:15.880]  我們一早就知道了
[00:05:15.880 --> 00:05:17.160]  所以要回望
[00:05:17.160 --> 00:05:21.720]  要重新上身地看見這件事
[00:05:21.720 --> 00:05:24.600]  成為我們的推動力
[00:05:24.600 --> 00:05:28.040]  重新望上帝
[00:05:28.040 --> 00:05:30.520]  成為我們人生的方向動力
[00:05:30.520 --> 00:05:33.360]  他說「我勸你們是這樣做」
[00:05:33.360 --> 00:05:34.680]  但是不要誤會
[00:05:34.680 --> 00:05:37.400]  這個勸是帶有權威性的勸
[00:05:37.400 --> 00:05:38.320]  我們有時候說
[00:05:38.320 --> 00:05:40.160]  「我勸你不要吃這麼多冰淇淋」
[00:05:40.160 --> 00:05:42.400]  吃了冰淇淋就沒辦法了
[00:05:42.400 --> 00:05:46.560]  勸是比較弱的推動
