
[00:00:00.000 --> 00:00:02.880]  愛可以再更多一點點
[00:00:02.880 --> 00:00:07.520]  這就是我們今天早上要分享的題目
[00:00:07.520 --> 00:00:09.520]  讓我們一起來同心討覺
[00:00:09.520 --> 00:00:12.560]  主人,我們今天來到祢面前
[00:00:12.560 --> 00:00:16.000]  我們知道神祢就是愛
[00:00:16.000 --> 00:00:19.680]  在祢的愛裏面,我們沒有懼怕
[00:00:19.680 --> 00:00:24.160]  主人,就讓我們能夠在祢的懷裏面擁抱祢
[00:00:24.160 --> 00:00:28.800]  讓我們能夠在祢的話語當中再次得到力量
[00:00:28.800 --> 00:00:32.240]  主,求祢的靈在我們中間
[00:00:32.240 --> 00:00:34.240]  親愛的聖靈,我們呼求祢
[00:00:34.240 --> 00:00:36.240]  祢是真理的聖靈
[00:00:36.240 --> 00:00:38.960]  就求祢帶我們進入真理的當中
[00:00:38.960 --> 00:00:40.960]  求祢讓我們在今天的早上
[00:00:40.960 --> 00:00:43.280]  就能夠得著神的話
[00:00:43.280 --> 00:00:46.160]  從祢而來天上的猛娜
[00:00:46.160 --> 00:00:49.760]  主聖靈,我們呼求祢,我們等候祢
[00:00:49.760 --> 00:00:53.440]  在祢面前,我們祈禱是靠耶穌基督的聖命祈求
[00:00:53.440 --> 00:00:55.440]  Amen
[00:00:55.440 --> 00:01:03.120]  今天我們要看的經文,其實有兩段經文
[00:01:03.120 --> 00:01:09.360]  第一段經文和第二段經文會在哥林多前書的13章1到8節
[00:01:09.360 --> 00:01:17.360]  另外第三段經文會在約翰福音的13章34到35節
[00:01:17.360 --> 00:01:20.240]  我們先看看第一段的經文
[00:01:20.240 --> 00:01:26.960]  這是13章1到3節,我們一起讀,預備,1,2,3
[00:01:26.960 --> 00:01:33.520]  我若能說萬人的方言,並天使的華語,卻沒有愛
[00:01:33.520 --> 00:01:37.520]  我就成了明的羅,響的拔,一般
[00:01:37.520 --> 00:01:44.880]  我若有先知講道之能,也明白各樣的奧秘,各樣的知識
[00:01:44.880 --> 00:01:53.840]  而且有傳遍的信,叫我能夠而生,卻沒有愛,我就算不得什麼
[00:01:53.840 --> 00:02:05.120]  我若將所有的洲際窮人,又寫幾生叫人焚燒,卻沒有愛,然與我無益
[00:02:05.120 --> 00:02:19.840]  在短短這幾節的經文裏,保羅一直提到,沒有愛,沒有愛,沒有愛,我就算不得什麼
[00:02:19.840 --> 00:02:26.240]  這可以說是保羅的一個心路歷程,一個侍奉的告白
[00:02:26.240 --> 00:02:34.240]  他很體會得到,如果在侍奉的裏面,沒有愛,就算不得什麼
[00:02:34.240 --> 00:02:39.280]  當保羅這樣說的時候,其實他是不是真的沒有愛呢?
[00:02:39.280 --> 00:02:46.880]  當保羅說,我若能說萬人的方言,並天使的華語,我若有先知講道之能
[00:02:46.880 --> 00:02:53.440]  我若將所有的洲際窮人,又寫幾生叫人焚燒,他是不是沒有這樣做呢?
[00:02:53.440 --> 00:02:58.160]  為什麼他要用一個若來表達呢?
[00:02:58.160 --> 00:03:04.960]  是不是保羅沒有恩賜呢?是不是保羅沒有愛心服侍呢?
[00:03:04.960 --> 00:03:11.600]  當然不是,如果我們認識保羅的時候,我們知道他是一個很有恩賜的人
[00:03:11.600 --> 00:03:16.800]  當他去宣教的時候,去到不同的地方宣教的時候
[00:03:16.800 --> 00:03:22.800]  我相信他也有很多語言的天才在裏面幫助他,有恩賜幫助他
[00:03:22.800 --> 00:03:28.560]  當他去到雅典的時候,對著雅典人,你猜他會說什麼話呢?
[00:03:28.560 --> 00:03:32.160]  當然是說希臘話,不會說猶太話
[00:03:32.160 --> 00:03:36.080]  對著雅典人,在希臘的地方說希臘話
[00:03:36.080 --> 00:03:39.520]  他很有語言的天才,不單止是這樣
[00:03:39.520 --> 00:03:44.720]  他自己說他還有方言的恩賜,不是說謊的方言
[00:03:44.720 --> 00:03:47.840]  是屬靈的恩賜,其中一種是方言的恩賜
[00:03:47.840 --> 00:03:54.080]  他說他自己比眾人說方言說得更多,他有方言的恩賜
[00:03:54.080 --> 00:04:00.240]  不單止是這樣,他的神學思想一直在影響教會
[00:04:00.240 --> 00:04:03.520]  他很明白各樣的知識,各樣的奧秘
[00:04:03.520 --> 00:04:08.800]  因為他說他曾經被提到三層天那裏,天外天那裏
[00:04:08.800 --> 00:04:13.360]  他見到異象,他與神相遇
