
[00:00:00.000 --> 00:00:03.000]  剛才主席說這是一個非常受歡迎的話題
[00:00:03.000 --> 00:00:05.000]  但是我跟你們講啊
[00:00:05.000 --> 00:00:09.000]  根據很真實的這個總結
[00:00:09.000 --> 00:00:10.000]  就是一個一個調查
[00:00:10.000 --> 00:00:12.000]  但是我們可以跟你說
[00:00:12.000 --> 00:00:14.000]  經過一個很真實的調查
[00:00:14.000 --> 00:00:16.000]  這段聖經是很不受歡迎的內容
[00:00:16.000 --> 00:00:19.000]  這段聖經是非常不受歡迎的內容
[00:00:19.000 --> 00:00:22.000]  是是是
[00:00:22.000 --> 00:00:26.000]  很多姐妹很反感
[00:00:26.000 --> 00:00:28.000]  很多姐妹都很反感
[00:00:28.000 --> 00:00:30.000]  尤其說到這個順服的問題
[00:00:30.000 --> 00:00:32.000]  特別是說到順服這個問題
[00:00:32.000 --> 00:00:36.000]  然後還標準定的那麼高
[00:00:36.000 --> 00:00:39.000]  說這個經文標準定的那麼高
[00:00:39.000 --> 00:00:41.000]  好像說妻子順服丈夫
[00:00:41.000 --> 00:00:44.000]  好像教會順服耶穌基督一樣
[00:00:44.000 --> 00:00:46.000]  好像說姐妹順服丈夫
[00:00:46.000 --> 00:00:48.000]  就好像弟兄姐妹順服基督一樣
[00:00:48.000 --> 00:00:52.000]  首先在這裡先給大家一個最基本的概念
[00:00:52.000 --> 00:00:55.000]  首先在這裡給大家一個基本的概念
[00:00:55.000 --> 00:00:58.000]  就是今天和我們下星期天的講道
[00:00:58.000 --> 00:01:00.000]  今天和下一個禮拜的講道
[00:01:00.000 --> 00:01:05.000]  講的是夫妻父子主僕
[00:01:05.000 --> 00:01:08.000]  講的是夫妻父子主僕的關係
[00:01:08.000 --> 00:01:12.000]  這是那個時代家庭的三大關係
[00:01:12.000 --> 00:01:17.000]  這個是當時代一個家庭的三大關係
[00:01:17.000 --> 00:01:20.000]  你們可以想像一下一個家庭
[00:01:20.000 --> 00:01:22.000]  大家可以想像一下一個家庭裡邊
[00:01:22.000 --> 00:01:24.000]  一對夫妻
[00:01:24.000 --> 00:01:26.000]  生可能不知道多少個孩子
[00:01:26.000 --> 00:01:28.000]  生了若干個小朋友
[00:01:28.000 --> 00:01:30.000]  然後他家裡有僕人
[00:01:30.000 --> 00:01:32.000]  然後他家裡有僕人
[00:01:32.000 --> 00:01:35.000]  所以你看一個家庭中就存在
[00:01:35.000 --> 00:01:37.000]  同時存在的三種關係
[00:01:37.000 --> 00:01:40.000]  這個家庭裡邊同時存在這三種關係
[00:01:40.000 --> 00:01:43.000]  上帝使用使徒保羅
