
[00:00:00.000 --> 00:00:12.220]  教宗早幾星期前,成為六百年來第一個在任期間辭職的教宗。
[00:00:12.220 --> 00:00:20.900]  我聽到一些行內或者教內有些人來去講,有些評論的文章講的時候,
[00:00:20.900 --> 00:00:28.380]  到底是什麼令到他在任期間要辭職,是什麼原因呢?
[00:00:28.380 --> 00:00:41.820]  主要的原因是他無法在心理上、肉體上、靈性上都無法面對到目前的困局。
[00:00:41.820 --> 00:00:51.260]  而這個困局絕大部分人都知道不是來自不信的外面,而是來自信的他們的內部。
[00:00:51.260 --> 00:00:55.140]  首先,其中一個衝擊最大的內部是什麼呢?
[00:00:55.140 --> 00:01:06.960]  就是梵蒂岡當他在演講的時候,是有很多同性戀的修女同志衝擊會場,脫光衣服,
[00:01:06.960 --> 00:01:14.380]  然後在會場裡面來示威,是要求同性戀不要說同性戀是罪,
[00:01:14.380 --> 00:01:24.440]  要求天主教方面對這一方面要放寬,不要再用過去的看法來看。
[00:01:24.440 --> 00:01:28.520]  可以這麼說,那個衝擊完了之後是未了的,
[00:01:28.520 --> 00:01:40.260]  接著各地不同的一些神父、一些修女和各方面界別的人開始陸續給了很多不同的壓力。
[00:01:40.260 --> 00:01:51.300]  這個壓力是讓教宗本身他自己感覺到是無法面對排山倒海的這些壓力。
[00:01:51.300 --> 00:01:55.620]  好了,我們問一個問題,為什麼會有這些壓力呢?
[00:01:55.620 --> 00:02:00.780]  其實,在他自己本身禱告也好,什麼也好,曾經說過一句話,
[00:02:00.780 --> 00:02:09.380]  上帝在哪裡,他是引用了一句聖經,神啊,你在哪裡?
[00:02:09.380 --> 00:02:18.080]  其實,如果留意來看天主教的神學,自從奧古斯丁之後,
[00:02:18.080 --> 00:02:22.780]  他寫了一本書,叫做《上帝之城》,The City of God。
[00:02:22.780 --> 00:02:27.880]  在這個《上帝之城》裡面,他們相信這個世界會變得越來越好,
[00:02:27.880 --> 00:02:34.400]  整一下會基督化,全球基督化,這個世界上將來信的人比不信的人更加多,
[00:02:34.400 --> 00:02:44.660]  道德會越來越好,然後開始越來越多的人會跟著聖經的道德標準來行。
[00:02:44.660 --> 00:02:50.800]  另一方面,我們會看到有關這個千禧年他們的看法,
[00:02:50.800 --> 00:02:53.900]  我們發覺這麼多個世紀以來,
[00:02:53.900 --> 00:02:59.580]  他們說千禧年只有猶太人才會相信,
[00:02:59.580 --> 00:03:06.640]  第二,千禧年是認為只有猶太人,跟我們無關,
[00:03:06.640 --> 00:03:12.180]  第三,千禧年是沒有意義的,沒有需要的,
[00:03:12.180 --> 00:03:18.980]  原來他們相信人在這個地上能夠建立到就好像千禧年一樣,
[00:03:18.980 --> 00:03:22.020]  是因為這樣,那些叫做後千禧年派,
[00:03:22.020 --> 00:03:29.020]  就是說耶穌基督的降臨,就是人在這個地上建立了這種類似千禧年的國度之後,
[00:03:29.020 --> 00:03:33.540]  耶穌基督才會再回來的。
[00:03:33.540 --> 00:03:37.900]  但是經過這麼多年之後,
[00:03:37.900 --> 00:03:45.780]  我相信越來越多的人開始看得到不是這回事。
[00:03:45.780 --> 00:03:52.660]  另一方面,再看耶穌基督的臨升天前的預言,
[00:03:52.660 --> 00:03:57.080]  都會讓我們看得見這個世界上的道德是越來越差,
[00:03:57.080 --> 00:03:59.620]  天災人禍是越來越差,
[00:03:59.620 --> 00:04:05.020]  差距就發覺跟這種理念的人越來越大,
[00:04:05.020 --> 00:04:12.580]  而大的結果,如果我們仍然抓住奧古斯丁那種想法的時候,
[00:04:12.580 --> 00:04:16.180]  我們很容易會變成絕望、沮喪,
[00:04:16.180 --> 00:04:20.140]  甚至隨時會放棄我們的信仰。
[00:04:20.140 --> 00:04:27.700]  在今天,當我要進入到有關末世論的異端這個題目之前,
[00:04:27.700 --> 00:04:32.620]  我想大家先看一看一套的影片,這是新聞報道來的。
[00:04:32.620 --> 00:04:35.380]  這一套的新聞報道,我可以這麼說,
[00:04:35.380 --> 00:04:40.940]  早在七、八年前,有一個牧者跟我說,
[00:04:40.940 --> 00:04:46.740]  他說裡面有些人因為要打擊有關的公安部門,
[00:04:46.740 --> 00:04:50.740]  是為了要打擊一些異端邪教,特別是東方閃電,
[00:04:50.740 --> 00:04:55.460]  他們很想學一學基督教的神學。
[00:04:55.460 --> 00:04:57.700]  為什麼我們說這些是異端呢?
[00:04:57.700 --> 00:05:03.020]  怎樣去衡量一個純正的信仰和異端呢?
[00:05:03.020 --> 00:05:07.140]  就想我們當中有一些牧者來教導他們。
[00:05:07.140 --> 00:05:08.980]  我為了這樣來感恩,
[00:05:08.980 --> 00:05:12.260]  原來連公安都看得見他們有一個需要,
[00:05:12.260 --> 00:05:14.980]  去認識聖經裡面的一些真理,
[00:05:14.980 --> 00:05:18.060]  以至分辨到底什麼叫純正的基督教,
[00:05:18.060 --> 00:05:20.620]  有哪些是異端邪教來的。
[00:05:20.620 --> 00:05:22.660]  現在我就很想給大家看看,
[00:05:22.660 --> 00:05:29.540]  是剛剛上個月,你可以這麼說,新鮮熱辣的,
[00:05:29.540 --> 00:05:32.740]  裡面公佈了出來一些的資料,
[00:05:32.740 --> 00:05:35.580]  我們一起看一看這個影片。
[00:05:52.660 --> 00:06:19.540]  是,瞭解了這個全人神教的邪教之後,
[00:06:19.540 --> 00:06:23.060]  我發覺他們內部其實有仔細的階層分級,
[00:06:23.060 --> 00:06:25.940]  有七個等級,最高的叫做女基督,
[00:06:25.940 --> 00:06:27.540]  再來是叫做大祭司,
[00:06:27.540 --> 00:06:30.260]  每層都會安排一名女性,
[00:06:30.260 --> 00:06:33.860]  給該層的男負責人享用。
[00:06:33.860 --> 00:06:37.540]  所以在看來的全能神的組織當中,
[00:06:37.540 --> 00:06:41.100]  女性的地位並不是特別的平等,
