
[00:00:00.000 --> 00:00:02.240]  當我自己二十多年前回到香港
[00:00:02.240 --> 00:00:04.200]  回到香港服侍的時候
[00:00:04.200 --> 00:00:06.540]  在香港有很多親戚朋友
[00:00:06.540 --> 00:00:07.580]  以前我在加拿大
[00:00:07.580 --> 00:00:09.240]  我不是有很多親戚朋友在加拿大
[00:00:09.240 --> 00:00:12.220]  我在台灣也不是有很多親戚在台灣
[00:00:12.220 --> 00:00:13.720]  直到回到香港的時候
[00:00:13.720 --> 00:00:14.960]  有很多親戚朋友
[00:00:14.960 --> 00:00:17.380]  久不久都要晚上
[00:00:17.380 --> 00:00:19.960]  和親戚朋友一起吃晚飯
[00:00:19.960 --> 00:00:21.720]  我記得二十多年前有一次
[00:00:21.720 --> 00:00:26.660]  在沙田有一個地方
[00:00:26.660 --> 00:00:28.800]  是吃乳鴿的這個地方
[00:00:28.800 --> 00:00:30.400]  那時很出名的 二十多年前
[00:00:30.400 --> 00:00:33.440]  青之衛 龍華 不知道是甚麼
[00:00:33.440 --> 00:00:35.600]  二十多年前我去吃乳鴿
[00:00:35.600 --> 00:00:37.400]  那晚吃完晚飯
[00:00:37.400 --> 00:00:40.280]  我的兒孫 當時八歲左右
[00:00:40.280 --> 00:00:41.480]  他走到我那裏
[00:00:41.480 --> 00:00:42.940]  他說 姨丈 姨丈
[00:00:42.940 --> 00:00:44.240]  我要問你一個問題
[00:00:44.240 --> 00:00:46.280]  我心想 小孩子也問問題
[00:00:46.280 --> 00:00:48.980]  我幾十歲了 容易做的
[00:00:48.980 --> 00:00:50.920]  他說 我要問 你問
[00:00:50.920 --> 00:00:51.960]  他就問我一個問題
[00:00:51.960 --> 00:00:53.180]  他說 姨丈
[00:00:53.180 --> 00:00:54.760]  究竟這個世界
[00:00:54.760 --> 00:00:57.720]  哪一種動物最喜歡問為甚麼
[00:00:57.720 --> 00:00:59.060]  於是我就想都不用想
[00:00:59.060 --> 00:01:00.860]  人 他說不對
[00:01:00.860 --> 00:01:02.860]  我說 怎會不對 當然是人
[00:01:02.860 --> 00:01:04.460]  於是我就說 老虎不對
[00:01:04.460 --> 00:01:06.300]  獅子不對 甚麼都不對
[00:01:06.300 --> 00:01:07.940]  到最後我就問他
[00:01:07.940 --> 00:01:11.000]  究竟哪一種動物最喜歡問為甚麼
[00:01:11.000 --> 00:01:13.180]  他就很嚴肅說 烏龜
[00:01:13.180 --> 00:01:14.980]  於是我就說 為甚麼
[00:01:14.980 --> 00:01:18.740]  (笑聲)
[00:01:18.740 --> 00:01:22.720]  嘩 當時所有人都在笑
[00:01:22.720 --> 00:01:23.520]  但我都不知道
[00:01:23.520 --> 00:01:25.560]  不知道為甚麼笑甚麼
[00:01:25.560 --> 00:01:28.780]  我以為小孩子不會作弄我
[00:01:28.780 --> 00:01:33.500]  八歲 九歲 我很單純
[00:01:33.500 --> 00:01:35.020]  為甚麼
[00:01:35.020 --> 00:01:37.500]  人很喜歡問為甚麼
[00:01:37.500 --> 00:01:39.860]  以致到幾年前 十多年前
[00:01:39.860 --> 00:01:42.460]  我們發覺坊間有一本書
[00:01:42.460 --> 00:01:44.540]  好像一萬個為甚麼
[00:01:44.540 --> 00:01:46.200]  即是說做父母的
[00:01:46.200 --> 00:01:48.240]  很多時被小孩子問到嘴硬
[00:01:48.240 --> 00:01:50.080]  於是不如弄一本書
[00:01:50.080 --> 00:01:51.340]  一萬個為甚麼
[00:01:51.340 --> 00:01:52.420]  撿給小孩子看
[00:01:52.420 --> 00:01:54.920]  你以後不要問我 你看這本書
[00:01:54.920 --> 00:01:57.240]  為甚麼 為甚麼 為甚麼
[00:01:57.240 --> 00:01:58.480]  當然去到現在的世代
[00:01:58.480 --> 00:01:59.780]  科學那麼昌明
[00:01:59.780 --> 00:02:02.380]  其實根本就不需要問為甚麼
[00:02:02.380 --> 00:02:05.360]  因為只要你拿一部電話出來
[00:02:05.360 --> 00:02:06.620]  一個智能電話
[00:02:06.620 --> 00:02:08.360]  一去到google search
[00:02:08.360 --> 00:02:10.420]  一打你想要問的問題
[00:02:10.420 --> 00:02:11.900]  一打H7N9
[00:02:11.900 --> 00:02:13.000]  即刻幫你出了
[00:02:13.000 --> 00:02:14.100]  究竟這個世界
[00:02:14.100 --> 00:02:15.640]  H7N9是甚麼
[00:02:15.640 --> 00:02:16.740]  背後是甚麼
[00:02:16.740 --> 00:02:17.800]  DNA是甚麼
[00:02:17.800 --> 00:02:20.440]  哪裏有多少個個案
[00:02:20.440 --> 00:02:22.700]  已經給了我所有東西
[00:02:22.700 --> 00:02:24.200]  所以現在八十後 九十後
[00:02:24.200 --> 00:02:25.380]  那些小朋友
[00:02:25.380 --> 00:02:26.720]  我稱他們為小朋友
[00:02:26.720 --> 00:02:28.240]  因為我的年紀夠大
[00:02:28.240 --> 00:02:29.820]  八十後 九十後的小朋友
[00:02:29.820 --> 00:02:31.280]  你會發覺他們現在
[00:02:31.280 --> 00:02:33.180]  反而不會問你為甚麼
[00:02:33.180 --> 00:02:35.520]  他們很多時自己拿一部智能手機
[00:02:35.520 --> 00:02:37.220]  啪 打下去
[00:02:37.220 --> 00:02:39.720]  已經知道了很多很多的東西
[00:02:39.720 --> 00:02:41.120]  甚至今天做父母的
[00:02:41.120 --> 00:02:44.420]  反而問小孩子為甚麼
[00:02:44.420 --> 00:02:46.260]  弟兄姊妹 為甚麼
[00:02:46.260 --> 00:02:48.000]  很多時我們都會問為甚麼
[00:02:48.000 --> 00:02:50.440]  特別當我們看著約伯記的時候
[00:02:50.440 --> 00:02:52.540]  說他今天你和我心去哪裏
[00:02:52.540 --> 00:02:53.840]  都有很多為甚麼
[00:02:53.840 --> 00:02:57.900]  因為我們發覺約伯記的神的觀念
[00:02:57.900 --> 00:03:00.400]  約伯記對神的那種描述
[00:03:00.400 --> 00:03:02.520]  好像和我們從小到大
[00:03:02.520 --> 00:03:04.120]  如果我們從小到大入主一學
[00:03:04.120 --> 00:03:06.320]  或者我們從小到大都有對信仰
[00:03:06.320 --> 00:03:08.120]  有些微的認識的朋友
[00:03:08.120 --> 00:03:10.520]  我們發覺為甚麼約伯記的上帝
[00:03:10.520 --> 00:03:12.420]  是一個這樣的上帝
[00:03:12.420 --> 00:03:14.220]  約伯記的上帝是一個怎樣的上帝呢
[00:03:14.220 --> 00:03:15.660]  當我們看著約伯記的時候
[00:03:15.660 --> 00:03:17.020]  這個描述的上帝
[00:03:17.020 --> 00:03:19.200]  他可以和撒旦聊天
[00:03:19.200 --> 00:03:21.560]  即是正邪可以聊天
[00:03:21.560 --> 00:03:24.100]  在聊天的過程當中好像很友善
