
[00:00:00.000 --> 00:00:05.000]  各位,今日要和大家思想的經課
[00:00:05.000 --> 00:00:13.000]  就是約翰福音2章13到26節
[00:00:13.000 --> 00:00:17.000]  在這裡提到猶太人的逾越節近了
[00:00:17.000 --> 00:00:19.000]  耶穌就上耶路撒冷去
[00:00:19.000 --> 00:00:23.000]  看見店裡有賣牛羊夾子的
[00:00:23.000 --> 00:00:27.000]  並有兌換銀錢的坐在那裡
[00:00:27.000 --> 00:00:30.000]  耶穌就拿起扁紙
[00:00:30.000 --> 00:00:32.000]  不是扁紙,是繩子
[00:00:32.000 --> 00:00:34.000]  當作扁紙
[00:00:34.000 --> 00:00:37.000]  將牛羊趕出店去
[00:00:37.000 --> 00:00:44.000]  然後倒出兌換銀錢的兌換者
[00:00:44.000 --> 00:00:46.000]  推翻他們的桌子
[00:00:46.000 --> 00:00:49.000]  然後又對夾子說
[00:00:49.000 --> 00:00:52.000]  把這些東西拿去
[00:00:52.000 --> 00:00:57.000]  不要將我扶的店當作買賣的地方
[00:00:57.000 --> 00:01:03.000]  各位提到耶穌在耶路撒冷的聖殿發火
[00:01:03.000 --> 00:01:09.000]  這個火看來都是非常猛烈的
[00:01:09.000 --> 00:01:13.000]  亦都令我們很震驚
[00:01:13.000 --> 00:01:16.000]  為什麼耶穌要這麼大火呢?
[00:01:16.000 --> 00:01:19.000]  耶穌平日給我們的印象
[00:01:19.000 --> 00:01:21.000]  不是很謙卑柔和
[00:01:21.000 --> 00:01:24.000]  很有教養的謙謙君子
[00:01:24.000 --> 00:01:27.000]  亦都是受人尊重的夫子
[00:01:27.000 --> 00:01:31.000]  何以他的舉止會這麼粗暴呢?
[00:01:31.000 --> 00:01:34.000]  我們中國人說「佛都有火」
[00:01:34.000 --> 00:01:37.000]  這個四字讓我想到
[00:01:37.000 --> 00:01:40.000]  耶穌亦都有火
[00:01:40.000 --> 00:01:42.000]  「佛都有火」就是說
[00:01:42.000 --> 00:01:44.000]  一個有好脾氣的人
[00:01:44.000 --> 00:01:47.000]  他都忍不住氣,要發火
[00:01:47.000 --> 00:01:51.000]  表示他見到一些人的所作所為
[00:01:51.000 --> 00:01:54.000]  引起他的憤怒
[00:01:54.000 --> 00:01:59.000]  令到好脾氣的人都難以忍受
[00:01:59.000 --> 00:02:01.000]  佛都有火,耶穌都有火
[00:02:01.000 --> 00:02:03.000]  我們都會有火
[00:02:03.000 --> 00:02:07.000]  發火是我們很常見的一個情緒
[00:02:07.000 --> 00:02:10.000]  但是發火好不好呢?
[00:02:10.000 --> 00:02:14.000]  有時可能我們會見到兩種很極端的人
[00:02:14.000 --> 00:02:17.000]  一種是沒什麼火氣
[00:02:17.000 --> 00:02:19.000]  一種是太有火氣
[00:02:19.000 --> 00:02:21.000]  沒什麼火氣的人
[00:02:21.000 --> 00:02:24.000]  會被人說他沒火氣
[00:02:24.000 --> 00:02:27.000]  而被人欺負
[00:02:27.000 --> 00:02:31.000]  太有火氣的,時時都有火氣的
[00:02:31.000 --> 00:02:33.000]  又容易得罪人
[00:02:33.000 --> 00:02:36.000]  更加容易在失控的時候
[00:02:36.000 --> 00:02:39.000]  做出大錯特錯的事
[00:02:39.000 --> 00:02:42.000]  有些人甚至可以用他的火氣
[00:02:42.000 --> 00:02:45.000]  來欺負人、鎮壓人
[00:02:45.000 --> 00:02:47.000]  甚至去控制人
[00:02:47.000 --> 00:02:49.000]  無論如何
[00:02:49.000 --> 00:02:53.000]  有沒有火都是兩種極端
[00:02:53.000 --> 00:02:56.000]  在2018年的2月10日
[00:02:56.000 --> 00:02:59.000]  大埔公路嚴重車禍
[00:02:59.000 --> 00:03:01.000]  872線的巴士
[00:03:01.000 --> 00:03:05.000]  釀成了19人的死亡,65人受傷
[00:03:05.000 --> 00:03:08.000]  當時的目擊者提到
[00:03:08.000 --> 00:03:12.000]  車長是因為被人氣壞
[00:03:12.000 --> 00:03:14.000]  乘客說他開車開得遲
[00:03:14.000 --> 00:03:16.000]  乘客向他發火
[00:03:16.000 --> 00:03:18.000]  他就扯火
[00:03:18.000 --> 00:03:20.000]  結果他在控制車的時候
[00:03:20.000 --> 00:03:23.000]  他控制不了自己的脾氣
[00:03:23.000 --> 00:03:26.000]  也控制不了車
[00:03:26.000 --> 00:03:28.000]  負上的代價
[00:03:28.000 --> 00:03:30.000]  19人的死亡
[00:03:30.000 --> 00:03:32.000]  60多人的受傷
[00:03:32.000 --> 00:03:35.000]  真是很不值得
[00:03:35.000 --> 00:03:39.000]  所以法路這件事是很值得我們大家注視
[00:03:39.000 --> 00:03:42.000]  憤怒是不是合宜的呢?
[00:03:42.000 --> 00:03:44.000]  憤怒是不是罪呢?
[00:03:44.000 --> 00:03:47.000]  法嬲本身是罪
[00:03:47.000 --> 00:03:51.000]  抑或他在不當的表達憤怒才是罪呢?
[00:03:51.000 --> 00:03:54.000]  這些觀點是會影響我們
[00:03:54.000 --> 00:03:57.000]  如何去處理我們的憤怒
[00:03:57.000 --> 00:04:00.000]  從基督徒的觀點來看
[00:04:00.000 --> 00:04:02.000]  有位Ray Birdwick
[00:04:02.000 --> 00:04:04.000]  他認為自私的憤怒是罪
[00:04:04.000 --> 00:04:06.000]  不自私的
[00:04:06.000 --> 00:04:08.000]  那些所謂的異怒
[00:04:08.000 --> 00:04:10.000]  就是正當的
[00:04:10.000 --> 00:04:14.000]  有一位叫做Tim Lachey
[00:04:14.000 --> 00:04:16.000]  和另一位的學者
[00:04:16.000 --> 00:04:18.000]  都有相同的看法
[00:04:18.000 --> 00:04:21.000]  但也有認為怒氣是正常的
[00:04:21.000 --> 00:04:24.000]  怒氣不一定是有罪的
[00:04:24.000 --> 00:04:26.000]  雖然處理不當
[00:04:26.000 --> 00:04:28.000]  他往往是會
[00:04:28.000 --> 00:04:31.000]  如果他處理不當的時候
[00:04:31.000 --> 00:04:35.000]  他就會引致人犯罪
[00:04:35.000 --> 00:04:37.000]  所以憤怒情緒
[00:04:37.000 --> 00:04:39.000]  如何去處理
[00:04:39.000 --> 00:04:41.000]  是很值得我們留意的
[00:04:41.000 --> 00:04:45.000]  今天我們也從耶穌基督的憤怒
[00:04:45.000 --> 00:04:49.000]  讓我們能夠得到思想
[00:04:49.000 --> 00:04:53.000]  在聖經裏面提到怒氣有幾種
[00:04:53.000 --> 00:04:56.000]  首先我們要知道怒氣這個字
[00:04:56.000 --> 00:04:58.000]  在希伯來文
[00:04:58.000 --> 00:05:01.000]  它很特別是指鼻子
[00:05:01.000 --> 00:05:03.000]  或者是指鼻孔
[00:05:03.000 --> 00:05:05.000]  一個發怒的人
[00:05:05.000 --> 00:05:07.000]  在希伯來人來看
[00:05:07.000 --> 00:05:12.000]  他就是有一個憤怒的鼻子
[00:05:12.000 --> 00:05:15.000]  如果這個人的鼻子是長鼻子
[00:05:15.000 --> 00:05:16.000]  就表示
[00:05:16.000 --> 00:05:18.000]  形容他是長鼻子
[00:05:18.000 --> 00:05:22.000]  那就是他不輕易發怒
[00:05:22.000 --> 00:05:24.000]  短鼻子就很急促
[00:05:24.000 --> 00:05:27.000]  所以他很容易發怒
[00:05:27.000 --> 00:05:31.000]  而希列文指怒氣
[00:05:31.000 --> 00:05:35.000]  他認為怒氣是一種情緒
[00:05:35.000 --> 00:05:40.000]  怒氣是指人的一種自然的情緒
[00:05:40.000 --> 00:05:44.000]  而憤怒就是人一個強烈的情緒
[00:05:44.000 --> 00:05:47.000]  而聖經對怒氣方面
[00:05:47.000 --> 00:05:51.000]  也可以大概分為三種
[00:05:51.000 --> 00:05:53.000]  一種叫做異怒
[00:05:53.000 --> 00:05:57.000]  就是由於看到有人有不公正不公義
[00:05:57.000 --> 00:05:59.000]  令人憤怒的事
[00:05:59.000 --> 00:06:04.000]  他有一種要矯正他改好他的願望
[00:06:04.000 --> 00:06:09.000]  而這種怒氣是導致可以矯正一些錯誤
[00:06:09.000 --> 00:06:13.000]  這種怒氣是值得學習的
[00:06:13.000 --> 00:06:15.000]  但憤怒呢
[00:06:15.000 --> 00:06:18.000]  常常是有一個含義
[00:06:18.000 --> 00:06:19.000]  憤怒的時候
[00:06:19.000 --> 00:06:23.000]  是想用他的憤怒來懲罰對方
[00:06:23.000 --> 00:06:26.000]  發火要燒他
[00:06:26.000 --> 00:06:30.000]  所以是有一種宣洩的目的
[00:06:30.000 --> 00:06:32.000]  當你想宣洩的時候
[00:06:32.000 --> 00:06:37.000]  你噴出來的火就會令到人受傷
[00:06:37.000 --> 00:06:41.000]  所以這種憤怒是需要控制的
[00:06:41.000 --> 00:06:44.000]  另外一種是極大的憤怒
[00:06:44.000 --> 00:06:47.000]  叫做暴怒或者狂怒
[00:06:47.000 --> 00:06:49.000]  這種強烈的怒氣
[00:06:49.000 --> 00:06:52.000]  是會令到一個人失去了理性
[00:06:52.000 --> 00:06:55.000]  失去了自制的能力
[00:06:55.000 --> 00:06:58.000]  所以當我們的火發到一定程度
[00:06:58.000 --> 00:07:00.000]  你就要小心了
[00:07:00.000 --> 00:07:04.000]  會不會演變成一個極大的火呢
[00:07:04.000 --> 00:07:09.000]  這個極大的火就好像那位開車的司機一樣
[00:07:09.000 --> 00:07:13.000]  他發火的時候拿著車來衝
[00:07:13.000 --> 00:07:16.000]  就形成了一個極大的意外
[00:07:16.000 --> 00:07:20.000]  自私的生氣是為了宣洩自己
[00:07:20.000 --> 00:07:22.000]  這種我們是要小心的
[00:07:22.000 --> 00:07:24.000]  它會影響我們的健康
[00:07:24.000 --> 00:07:27.000]  影響我們的幸福
[00:07:27.000 --> 00:07:29.000]  所以今天我們來看看耶穌
[00:07:29.000 --> 00:07:31.000]  他怎樣來發怒
[00:07:31.000 --> 00:07:35.000]  讓我們在當中得到學習
[00:07:35.000 --> 00:07:38.000]  耶穌的發怒是一種意怒
[00:07:38.000 --> 00:07:40.000]  是公義的憤怒
[00:07:40.000 --> 00:07:47.000]  而這種憤怒是和上帝的憤怒是有相同的
[00:07:47.000 --> 00:07:49.000]  聖經也特別有提到
[00:07:49.000 --> 00:07:53.000]  我們的上帝是經常憤怒的
[00:07:53.000 --> 00:07:55.000]  他在憤怒的時候
[00:07:55.000 --> 00:07:57.000]  他就要去矯正一些東西
[00:07:57.000 --> 00:07:59.000]  他在憤怒的時候
[00:07:59.000 --> 00:08:02.000]  他就有一種動力和衝勁
[00:08:02.000 --> 00:08:05.000]  所以神的憤怒
