
[00:00:00.000 --> 00:00:05.000]  仁兄姊妹平安,我們一起同心祈禱
[00:00:05.000 --> 00:00:09.000]  祈禱我們這次掙你自己的恩典
[00:00:09.000 --> 00:00:11.000]  給我們在主日的清晨
[00:00:11.000 --> 00:00:15.000]  可以一起聚集在這裡慶拜年
[00:00:15.000 --> 00:00:17.000]  這是何等大的福氣
[00:00:17.000 --> 00:00:21.000]  我們又有機會聆聽學習你的華語
[00:00:21.000 --> 00:00:23.000]  我們求聖明幫助我們
[00:00:23.000 --> 00:00:24.000]  開啟我們的心
[00:00:24.000 --> 00:00:28.000]  讓我們可以承載下主的華語
[00:00:28.000 --> 00:00:31.000]  活在我們日常的生活當中
[00:00:31.000 --> 00:00:33.000]  榮耀主的名
[00:00:33.000 --> 00:00:35.000]  奉耶穌基督的名而祈禱
[00:00:35.000 --> 00:00:37.000]  阿們
[00:00:37.000 --> 00:00:41.000]  好,我們今天仍然是講
[00:00:41.000 --> 00:00:43.000]  工作很重要的系列
[00:00:43.000 --> 00:00:45.000]  我上個星期已經講過
[00:00:45.000 --> 00:00:47.000]  工作的重要性
[00:00:47.000 --> 00:00:49.000]  是由於我們生命
[00:00:49.000 --> 00:00:51.000]  很大部份的時間
[00:00:51.000 --> 00:00:54.000]  都是花在工作場所
[00:00:54.000 --> 00:00:58.000]  故此我們會接觸到很多不同的人
[00:00:58.000 --> 00:01:02.000]  當然,很多時候
[00:01:02.000 --> 00:01:07.000]  上司、下屬和同事
[00:01:07.000 --> 00:01:11.000]  應該都是大部份打工仔
[00:01:11.000 --> 00:01:13.000]  會接觸到的
[00:01:13.000 --> 00:01:18.000]  至於顧客、病人
[00:01:18.000 --> 00:01:21.000]  那就要視乎工作的行業
[00:01:21.000 --> 00:01:24.000]  如果是服務性行業
[00:01:24.000 --> 00:01:27.000]  就會接觸到很多不同的顧客
[00:01:27.000 --> 00:01:30.000]  醫護行業就會接觸到很多病人
[00:01:30.000 --> 00:01:32.000]  不過無論如何
[00:01:32.000 --> 00:01:36.000]  我們都可以尚作準備
[00:01:36.000 --> 00:01:39.000]  去愛倫餘己
[00:01:39.000 --> 00:01:42.000]  再提醒大家一次
