
[00:00:00.000 --> 00:00:02.580]  菩提姐妹,讓我們先聽神的禱語
[00:00:02.580 --> 00:00:03.840]  讓我們同心的禱告
[00:00:03.840 --> 00:00:05.540]  菩提姐妹,讓我們聽神的禱告之前
[00:00:05.540 --> 00:00:06.720]  先同心禱告
[00:00:06.720 --> 00:00:09.880]  我們親愛的父神,多謝祢
[00:00:09.880 --> 00:00:12.200]  讓我們能夠再次有機會
[00:00:12.200 --> 00:00:13.820]  可以聽著祢的禱
[00:00:13.820 --> 00:00:16.480]  並且學習怎樣去明白
[00:00:16.480 --> 00:00:17.780]  上帝祢的心
[00:00:17.780 --> 00:00:19.780]  走走面前
[00:00:19.780 --> 00:00:22.740]  一條合神心意的道路
[00:00:22.740 --> 00:00:24.200]  直奔永恆
[00:00:24.200 --> 00:00:25.440]  我們感謝祢
[00:00:25.440 --> 00:00:29.480]  讓我們真的可以在這個時候
[00:00:29.640 --> 00:00:32.280]  能夠明白祢是何等之美的事
[00:00:32.280 --> 00:00:36.840]  就讓我們全然投靠在上帝祢的當中
[00:00:36.840 --> 00:00:41.540]  去真的在祢的說話的安慰、鼓勵
[00:00:41.540 --> 00:00:44.880]  能夠去使我們走在祢面前的路
[00:00:44.880 --> 00:00:47.260]  都是一條永神益人的路
[00:00:47.260 --> 00:00:49.880]  我們親愛的父神,感謝祢
[00:00:49.880 --> 00:00:52.880]  讓我們能夠再次打開祢的說話
[00:00:52.880 --> 00:00:56.560]  也要靠近主祢的聳躺
[00:00:56.560 --> 00:00:59.000]  使我們明白祢的心意
[00:00:59.120 --> 00:01:01.120]  我們再次向上感謝
[00:01:01.120 --> 00:01:03.200]  我們再次懇求祢
[00:01:03.200 --> 00:01:04.880]  順著心靈的帶領
[00:01:04.880 --> 00:01:06.880]  直到無論聽的、講的
[00:01:06.880 --> 00:01:10.560]  我們每一個都能夠在祢的帶領當中
[00:01:10.560 --> 00:01:14.920]  直走這條屬神理的道路
[00:01:14.920 --> 00:01:18.760]  活出永神益人的生命
[00:01:18.760 --> 00:01:21.400]  直奔跑到永恆的終點
[00:01:21.400 --> 00:01:23.040]  求祢的幫助
[00:01:23.040 --> 00:01:26.120]  我們禱告奉主耶穌的名求
[00:01:26.120 --> 00:01:27.120]  Amen
[00:01:29.280 --> 00:01:31.320]  「良心」這句話
[00:01:31.320 --> 00:01:33.880]  其實經常掛在很多人的口邊
[00:01:33.880 --> 00:01:38.080]  「良心」這句話經常掛在人的口邊
[00:01:38.080 --> 00:01:41.160]  但究竟什麼叫做「良心」呢?
[00:01:41.160 --> 00:01:42.720]  究竟什麼是「良心」呢?
[00:01:42.720 --> 00:01:44.760]  「良心」又指的是什麼呢?
[00:01:44.760 --> 00:01:46.320]  「良心」指的是什麼呢?
[00:01:46.320 --> 00:01:48.200]  當我們去問不同的人
[00:01:48.200 --> 00:01:49.680]  似乎都未必能夠
[00:01:49.680 --> 00:01:52.480]  真是很能夠掌握得到他們
[00:01:52.480 --> 00:01:54.920]  去解釋什麼叫做「良心」
[00:01:54.920 --> 00:01:56.240]  我們問不同的人
[00:01:56.240 --> 00:01:58.480]  都不能解釋出什麼是「良心」
[00:01:58.760 --> 00:02:00.120]  「良心」好像是一種
[00:02:00.120 --> 00:02:02.920]  難以捉摸和形容的事情
[00:02:02.920 --> 00:02:05.320]  「良心」好像是不能捉摸的
[00:02:05.320 --> 00:02:06.600]  不能理解的事情
[00:02:06.600 --> 00:02:07.480]  更困難的是
[00:02:07.480 --> 00:02:08.760]  因為「良心」
[00:02:08.760 --> 00:02:10.600]  除了不同的人
[00:02:10.600 --> 00:02:12.760]  又有不同的定義
[00:02:12.760 --> 00:02:13.760]  「良心」呢
[00:02:13.760 --> 00:02:15.880]  有不同的人有不同的定義
[00:02:15.880 --> 00:02:19.040]  有些人認為「良心」是一種公義
[00:02:19.040 --> 00:02:21.200]  有些人認為「良心」是公義
[00:02:21.200 --> 00:02:22.520]  有些人又認為
[00:02:22.520 --> 00:02:24.160]  「良心」是一種叫做
[00:02:24.160 --> 00:02:28.560]  知恩去報恩
[00:02:28.560 --> 00:02:29.720]  這種就是「美德」
[00:02:29.720 --> 00:02:31.040]  有些人認為「良心」呢
[00:02:31.040 --> 00:02:33.800]  可以是知恩去報的這種「美德」
[00:02:33.800 --> 00:02:35.720]  有些人甚至覺得「良心」是
[00:02:35.720 --> 00:02:38.240]  我不害你就是一種「良心」的了
