
[00:00:00.000 --> 00:00:03.000]  有一本書 我相信我畢約兒童
[00:00:03.000 --> 00:00:07.000]  和澤浩全牧師 即是上星期五晚的特會
[00:00:07.000 --> 00:00:09.000]  我們都是用《約翰福音》
[00:00:09.000 --> 00:00:11.000]  因為我們看到《約翰福音》這本書
[00:00:11.000 --> 00:00:15.000]  本身就是一個充滿福音的書
[00:00:15.000 --> 00:00:18.000]  因為耶穌祂渡成肉身來到這個世間上
[00:00:18.000 --> 00:00:21.000]  祂願意與世上的人來認同
[00:00:21.000 --> 00:00:24.000]  所以今天很想和大家分享一個題目
[00:00:24.000 --> 00:00:27.000]  叫做個人報道的典範
[00:00:27.000 --> 00:00:31.000]  我們相信耶穌 我們經常覺得傳福音都是很難
[00:00:31.000 --> 00:00:34.000]  即是怎樣開口呢 又怕雨
[00:00:34.000 --> 00:00:38.000]  但是主耶穌 祂已經新鮮事出告訴我們
[00:00:38.000 --> 00:00:41.000]  其實祂都可以示範給我們看
[00:00:41.000 --> 00:00:43.000]  怎樣去做個人報道的工作
[00:00:43.000 --> 00:00:46.000]  所以今天很想和大家去思想
[00:00:46.000 --> 00:00:48.000]  《約翰福音》有兩章的經文
[00:00:48.000 --> 00:00:50.000]  第三章和第四章
[00:00:50.000 --> 00:00:53.000]  為什麼要思想一齊呢
[00:00:53.000 --> 00:00:59.000]  我們很多時候會將兩章聖經想著兩個不同的場景
[00:00:59.000 --> 00:01:02.000]  亦都好像是兩個獨立的故事
[00:01:02.000 --> 00:01:06.000]  但我相信《約翰福音》去編撰這個福音書的時候
[00:01:06.000 --> 00:01:09.000]  它特別將這兩卷福音書連在一起的時候
[00:01:09.000 --> 00:01:12.000]  有它特別的容易
[00:01:12.000 --> 00:01:15.000]  如果大家記得第三章聖經
[00:01:15.000 --> 00:01:18.000]  就是講到《約翰福音》三章十六節
[00:01:18.000 --> 00:01:22.000]  神愛世人 甚至將他的獨生子賜給他們
[00:01:22.000 --> 00:01:25.000]  叫一切順他的 不致滅亡 反得永生
[00:01:25.000 --> 00:01:28.000]  《約翰福音》第三章其實就講到一個人
