
[00:00:00.000 --> 00:00:04.600]  「眾讚崇拜 身心也奉獻」
[00:00:04.600 --> 00:00:07.600]  我們活著 就是為了敬拜上帝
[00:00:07.600 --> 00:00:10.100]  讓我們一起低頭禱告
[00:00:10.100 --> 00:00:11.800]  愛我們恩主 我們多謝你
[00:00:11.800 --> 00:00:13.200]  再一次提醒我們
[00:00:13.200 --> 00:00:15.400]  活著 就要敬拜你
[00:00:15.400 --> 00:00:17.300]  求神帝你幫助我們
[00:00:17.300 --> 00:00:18.900]  開通我們的心眼
[00:00:18.900 --> 00:00:20.600]  開通我們的耳朵
[00:00:20.600 --> 00:00:23.300]  讓我們在眾讚崇拜的裏面
[00:00:23.300 --> 00:00:26.900]  親眼 親身 如便你
[00:00:26.900 --> 00:00:29.900]  讓你的話語成為我們的祝福 幫助
[00:00:29.900 --> 00:00:35.200]  祈禱 加託 奉主明求 阿門
[00:00:35.200 --> 00:00:38.200]  在剛才敬拜的時候
[00:00:38.200 --> 00:00:40.700]  大家用一個什麼心態去敬拜
[00:00:40.700 --> 00:00:43.800]  很感謝上帝的師班的敬拜
[00:00:43.800 --> 00:00:45.100]  那首的詩歌
[00:00:45.100 --> 00:00:46.500]  再一次提醒我們
[00:00:46.500 --> 00:00:49.800]  敬拜是很重要
[00:00:49.800 --> 00:00:53.600]  你剛才用什麼心態去敬拜
[00:00:53.600 --> 00:00:57.400]  我們敬拜讚美的是一個怎樣的上帝
[00:00:57.400 --> 00:00:59.100]  教會今年的年提是什麼
[00:00:59.100 --> 00:01:01.800]  看看這次有沒有人指線
[00:01:01.800 --> 00:01:02.700]  年提是什麼
[00:01:02.700 --> 00:01:04.700]  因為我們很少打開周刊
[00:01:04.700 --> 00:01:07.600]  因為周刊不在紙上
[00:01:07.600 --> 00:01:11.100]  今年的年提是要成為
[00:01:11.100 --> 00:01:14.000]  唉 第二堂有人答到了
[00:01:14.000 --> 00:01:17.200]  成為敬拜的群體
[00:01:17.200 --> 00:01:19.600]  怎樣成為一個敬拜的群體呢
[00:01:19.600 --> 00:01:22.100]  肯定不是加一張申請表
[00:01:22.100 --> 00:01:24.100]  我們就可以成為一個敬拜的群體
[00:01:24.100 --> 00:01:25.900]  是沒有這回事的
[00:01:25.900 --> 00:01:29.200]  記得在去年的講壇上也和大家分享過
[00:01:29.200 --> 00:01:31.200]  今天師班的詩歌
[00:01:31.200 --> 00:01:32.200]  再一次提醒
[00:01:32.200 --> 00:01:34.200]  《羅馬書》十二章一至二節
[00:01:34.200 --> 00:01:36.000]  敬拜就是祀奉
[00:01:36.000 --> 00:01:38.000]  是將身心獻上
[00:01:38.000 --> 00:01:40.200]  敬拜就是工作就是生活
[00:01:40.200 --> 00:01:42.100]  這次想和大家分享一下
[00:01:42.100 --> 00:01:45.300]  保羅筆下也是在羅馬書
[00:01:45.300 --> 00:01:48.600]  我們敬拜的是一位怎樣的上帝
[00:01:48.600 --> 00:01:50.000]  我們今天分享的經文
[00:01:50.000 --> 00:01:53.000]  在《羅馬書》十一章三十三到三十六節
[00:01:53.000 --> 00:01:55.300]  我們一起重讀以下的經文
[00:01:55.300 --> 00:01:56.800]  我數三聲一二三
[00:01:56.800 --> 00:01:59.800]  心在上帝的豐盛
[00:01:59.800 --> 00:02:01.800]  智慧和知識
[00:02:01.800 --> 00:02:04.300]  他的判斷何其難測
[00:02:04.300 --> 00:02:07.000]  他的足跡何其難尋
[00:02:07.000 --> 00:02:09.000]  誰知道主的心
[00:02:09.000 --> 00:02:11.300]  誰作過他的謀事
[00:02:11.300 --> 00:02:15.300]  誰先給了他使他後來償還呢
[00:02:15.300 --> 00:02:18.000]  因為萬有都事本於他
[00:02:18.000 --> 00:02:20.300]  以後他歸於他
[00:02:20.300 --> 00:02:22.300]  願榮耀歸給他
[00:02:22.300 --> 00:02:23.800]  直到永遠
[00:02:23.800 --> 00:02:25.300]  阿門
[00:02:25.300 --> 00:02:29.300]  剛才的經文是彩字和合本修訂版的
[00:02:29.300 --> 00:02:32.800]  羅馬書十一章三十三到三十六節
[00:02:32.800 --> 00:02:36.300]  其實是另外一首贊尼詩
[00:02:36.300 --> 00:02:40.300]  為什麼無端端保羅
[00:02:40.300 --> 00:02:44.800]  去到十一章三十三到三十六節
