
[00:00:00.000 --> 00:00:04.400]  挪威其實是一個相當民主的自由國家
[00:00:04.400 --> 00:00:12.000]  曾經三年獲為全球人類發展指數的排名第一
[00:00:12.000 --> 00:00:17.000]  這個挪威國家最主要的信仰
[00:00:17.000 --> 00:00:20.100]  是基督教的信義教派
[00:00:20.100 --> 00:00:26.100]  為什麼有74%的人口會加入教會呢?
[00:00:26.100 --> 00:00:31.100]  因為原來超過60%一出生的時候
[00:00:31.100 --> 00:00:33.200]  他們已經受洗了
[00:00:33.200 --> 00:00:37.200]  他們在教會、在教堂裡行成人禮
[00:00:37.200 --> 00:00:39.000]  甚至在教堂裡結婚
[00:00:39.000 --> 00:00:41.100]  不過很可惜
[00:00:41.100 --> 00:00:43.100]  基督教在挪威裡
[00:00:43.100 --> 00:00:46.600]  只是漸漸成為某一種儀式
[00:00:46.600 --> 00:00:49.900]  跟根本你信不信耶穌沒什麼關係
[00:00:49.900 --> 00:00:54.200]  當你看到這一則報導的時候
[00:00:54.200 --> 00:00:57.100]  不知道你心裡有什麼感覺
[00:00:57.100 --> 00:01:01.600]  以下有幾則回應
[00:01:01.600 --> 00:01:04.100]  不知道是不是你心裡的想法
[00:01:04.100 --> 00:01:06.400]  第一則回應說
[00:01:06.400 --> 00:01:09.000]  加入教會的人口74%
[00:01:09.000 --> 00:01:11.400]  每週上教會的只有2%
[00:01:11.400 --> 00:01:15.100]  投票起來結果就是這樣
[00:01:15.100 --> 00:01:18.400]  不知道你明不明白
[00:01:18.400 --> 00:01:20.400]  我在想
[00:01:20.400 --> 00:01:24.400]  這個實在反映可能很多人今天
[00:01:24.400 --> 00:01:25.400]  甚至在我們自己的教會
[00:01:25.400 --> 00:01:27.400]  香港教會
[00:01:27.400 --> 00:01:29.400]  很多人都會回教會
[00:01:29.400 --> 00:01:32.400]  不過可能對信仰根本沒有認識
[00:01:32.400 --> 00:01:34.400]  你不要說聖經說什麼
[00:01:34.400 --> 00:01:38.400]  所以對於聖經裡面的一些要求
[00:01:38.400 --> 00:01:40.400]  可能都是隨己意
[00:01:40.400 --> 00:01:41.400]  我想怎樣
[00:01:41.400 --> 00:01:43.400]  我們個人覺得是怎樣
[00:01:43.400 --> 00:01:45.400]  我們就作一個投票
[00:01:45.400 --> 00:01:47.400]  不過要留意
[00:01:47.400 --> 00:01:49.400]  這個是教會的投票
[00:01:49.400 --> 00:01:51.400]  不是社會的投票
[00:01:51.400 --> 00:01:56.400]  不是說一些沒有聖經信仰的人的投票
[00:01:56.400 --> 00:01:58.400]  為什麼會有這樣的情況呢
[00:01:58.400 --> 00:02:01.400]  可能就是因為只有2%的人
[00:02:01.400 --> 00:02:05.400]  是明白我們所信的是什麼
[00:02:05.400 --> 00:02:07.400]  聖經說的是什麼
[00:02:07.400 --> 00:02:11.400]  第二個回應說
[00:02:11.400 --> 00:02:14.400]  投票多數未必是正確的
[00:02:14.400 --> 00:02:16.400]  不知道你贊不贊同呢
[00:02:16.400 --> 00:02:19.400]  好像12個探子
[00:02:19.400 --> 00:02:21.400]  去窺探迦蘭地
[00:02:21.400 --> 00:02:23.400]  有10個什麼
[00:02:23.400 --> 00:02:25.400]  反對不行不行
[00:02:25.400 --> 00:02:27.400]  他們是多數
[00:02:27.400 --> 00:02:28.400]  但就是這樣
[00:02:28.400 --> 00:02:30.400]  這個結果就怎樣
[00:02:30.400 --> 00:02:32.400]  連累整個以色列人
[00:02:32.400 --> 00:02:35.400]  在曠野走多了40年的路
[00:02:35.400 --> 00:02:39.400]  又有回應這樣說
[00:02:39.400 --> 00:02:41.400]  怎樣在這個叛亂的世代
[00:02:41.400 --> 00:02:43.400]  堅守真理
[00:02:43.400 --> 00:02:47.400]  就是我們今天要面對和堅持
[00:02:47.400 --> 00:02:52.400]  我不知道
[00:02:52.400 --> 00:02:56.400]  你想不想挪威教會的警方
[00:02:56.400 --> 00:02:59.400]  出現在香港的教會裏
[00:02:59.400 --> 00:03:01.400]  我們已經搖頭了
[00:03:01.400 --> 00:03:05.400]  所以我們真的要彼此提醒
[00:03:05.400 --> 00:03:07.400]  今天的教會
[00:03:07.400 --> 00:03:10.400]  今天的教會
[00:03:10.400 --> 00:03:13.400]  到底是盛載了
[00:03:13.400 --> 00:03:15.400]  聖經的什麼真理呢
[00:03:15.400 --> 00:03:19.400]  我們想我們的下一代
