
[00:00:00.000 --> 00:00:04.200]  今天想和大家講到一個題目叫「復活的主扭轉生命」
[00:00:04.200 --> 00:00:06.960]  弟兄姊妹 我不知道今天是復活節
[00:00:06.960 --> 00:00:10.000]  耶穌基督已經復活了二千多年
[00:00:10.000 --> 00:00:13.040]  究竟和你和我的生命有多大的影響呢?
[00:00:13.040 --> 00:00:14.620]  我們開始講「仕途行轉」
[00:00:14.620 --> 00:00:17.680]  「仕途行轉」又被稱為「聖靈行轉」
[00:00:17.680 --> 00:00:19.760]  是聖靈他自己的工作
[00:00:19.760 --> 00:00:21.480]  是聖靈復活了耶穌基督
[00:00:21.480 --> 00:00:25.320]  是聖靈讓神的工作在人心裡面去動工
[00:00:25.320 --> 00:00:27.800]  去扭轉你和我的生命
[00:00:27.800 --> 00:00:30.720]  復活節不是單是一個宗教的節日
[00:00:30.720 --> 00:00:32.360]  讓我們有幾天假期
[00:00:32.360 --> 00:00:35.960]  今天好像有很多人去了旅行 我不知道是不是
[00:00:35.960 --> 00:00:37.440]  或者很多人去了娛樂
[00:00:37.440 --> 00:00:39.880]  很多人有很多的消遣
[00:00:39.880 --> 00:00:43.840]  但是復活節是不是給我們這個機會去享受一下呢?
[00:00:43.840 --> 00:00:46.360]  還是復活的主要在我們生命裡面
[00:00:46.360 --> 00:00:48.360]  去造就他特別的工作
[00:00:48.360 --> 00:00:50.840]  去扭轉我們的生命
[00:00:50.840 --> 00:00:54.400]  今天藉著一段很出名的保羅經歷
[00:00:54.400 --> 00:00:58.280]  是他自己的一個生命的轉捩點
[00:00:58.280 --> 00:01:00.160]  幾節的經文跟大家分享
[00:01:00.160 --> 00:01:03.160]  第一節到六節
[00:01:03.160 --> 00:01:05.480]  或者請大家跟我一起同聲讀出來
[00:01:05.480 --> 00:01:06.480]  請讀
[00:01:06.480 --> 00:01:36.440]  (主持人發言)
[00:01:36.480 --> 00:01:52.680]  (主持人發言)
[00:01:52.680 --> 00:01:54.920]  我們知道這個經文的背景是
[00:01:54.920 --> 00:01:58.480]  當初期的教會是因著耶穌復活
[00:01:58.480 --> 00:02:01.560]  這些門徒大義無懼地去傳福音
[00:02:01.560 --> 00:02:04.680]  並且在五重節裡面有三千人信主
[00:02:04.680 --> 00:02:09.040]  接著有五千人信主 這個群體可能超過上萬
[00:02:09.040 --> 00:02:11.640]  因為可能只是介紹男的有這麼多的人
[00:02:11.640 --> 00:02:14.720]  再不算其他的女小朋友可能有幾多萬
[00:02:14.720 --> 00:02:17.280]  我們不知道 一個很大的群體
[00:02:17.280 --> 00:02:19.600]  但是到四堂主第七章
[00:02:19.600 --> 00:02:24.480]  史提反他被攻擊殺害之後
[00:02:24.480 --> 00:02:27.600]  教會就是面對很大的逼迫
[00:02:27.600 --> 00:02:30.840]  一直到第七章 第八章 第九章都是這樣
[00:02:30.840 --> 00:02:33.280]  來到第九章的經文第一節就是說
[00:02:33.280 --> 00:02:36.480]  素來仍然向主的門徒口吐威嚇
[00:02:36.480 --> 00:02:41.760]  兇殺的話 去見大祭司拿一些文書文件來捉拿他們
[00:02:41.760 --> 00:02:45.480]  這裡說到無論男女信奉這裡的人
[00:02:45.480 --> 00:02:47.360]  都要捆綁帶耶路撒冷
[00:02:47.360 --> 00:02:49.400]  不單是捉男的 女的都要捉
[00:02:49.400 --> 00:02:54.520]  所以所有人都被捉拿要帶上耶路撒冷是受罰
[00:02:54.520 --> 00:02:55.360]  監禁
[00:02:55.360 --> 00:02:58.600]  或者有別的經文說到要逼他們去死地
[00:02:58.600 --> 00:03:00.920]  在四堂主第二十二章
[00:03:00.920 --> 00:03:06.000]  或者其他經文說到那種威嚇是很強大
[00:03:06.000 --> 00:03:09.560]  但是這個時候保羅去到接近大馬式
[00:03:09.560 --> 00:03:11.240]  今天的大馬士革的地方
[00:03:11.240 --> 00:03:14.640]  天上的大光照耀著他
[00:03:14.640 --> 00:03:16.720]  四面都照著他
[00:03:16.720 --> 00:03:19.960]  這裡類似是這樣
[00:03:19.960 --> 00:03:22.360]  他就跌倒在地上聽到聲音說
[00:03:22.360 --> 00:03:25.560]  「素羅 素羅 為什麼逼迫我?」
[00:03:25.560 --> 00:03:27.600]  他說「主啊 你是誰?」
[00:03:27.600 --> 00:03:30.480]  主對他說「我就是你所逼迫的耶穌」
[00:03:30.480 --> 00:03:34.880]  「耶穌吩咐他進城 裡面有人告訴他要怎麼做」
[00:03:34.880 --> 00:03:37.400]  這個經歷是保羅一生難忘的經歷
[00:03:37.400 --> 00:03:40.880]  在四堂主裡面有兩次他都重新提過這個經歷
[00:03:40.880 --> 00:03:42.480]  有一點不同的形容
[00:03:42.480 --> 00:03:43.920]  但基本上都是這樣
[00:03:43.920 --> 00:03:46.200]  說到這個大馬式路上的經歷
[00:03:46.200 --> 00:03:48.160]  扭轉了他的生命
[00:03:48.160 --> 00:03:49.920]  其實對保羅而言
[00:03:49.920 --> 00:03:54.480]  他覺得這是一個承接他猶太信仰的經歷
[00:03:54.480 --> 00:03:58.640]  他跟提摩泰說是你接觸你外祖母 你母親的信仰
[00:03:58.640 --> 00:04:01.560]  或者他自己的經歷來說都是接觸他的信仰
[00:04:01.560 --> 00:04:04.840]  在一個由猶太轉入基督的信仰裡面
[00:04:04.840 --> 00:04:07.240]  其實是有連繫性的
[00:04:07.240 --> 00:04:11.800]  因為耶穌就是那個被命定的尼塞亞
[00:04:11.800 --> 00:04:14.080]  在猶太信仰裡面
[00:04:14.080 --> 00:04:17.120]  一起讓他的經歷
[00:04:17.120 --> 00:04:19.840]  在這個故事裡面 或者這個經歷裡面
[00:04:19.840 --> 00:04:23.360]  我想大家去想幾個題目
[00:04:23.360 --> 00:04:27.560]  第一個是很宗教的一個人生
[00:04:27.560 --> 00:04:32.880]  保羅 塑羅的出現在史提反的經歷裡面就已經出現了
[00:04:32.880 --> 00:04:35.560]  因為他似乎是某個職位
[00:04:35.560 --> 00:04:37.760]  有一個少年人叫做塑羅
[00:04:37.760 --> 00:04:40.560]  在這件事件裡面做見證
[00:04:40.560 --> 00:04:43.360]  他是某個身份地位在當中
[00:04:43.360 --> 00:04:45.440]  他已經見證著這個逼迫
[00:04:45.440 --> 00:04:48.880]  有些經學家相信當耶穌被釘十字架的時候
[00:04:48.880 --> 00:04:52.480]  似乎保羅 塑羅不在場的裡面
[00:04:52.480 --> 00:04:53.960]  那個經歷他從來沒有提過
[00:04:53.960 --> 00:04:58.880]  關於耶穌基督被釘死或者復活這些事件
[00:04:58.880 --> 00:05:02.960]  故事他好像遺留了一些經歷在他裡面
[00:05:02.960 --> 00:05:08.600]  但是這次的事情 耶穌基督再一次向我顯現
[00:05:08.600 --> 00:05:12.600]  我不知道大家知不知道這個世界的宗教的分配是怎麼樣
[00:05:12.600 --> 00:05:14.280]  今天想和大家看一看
[00:05:14.280 --> 00:05:15.960]  我們有一個統計
[00:05:15.960 --> 00:05:19.880]  這個是初步一個基礎的統計
[00:05:19.880 --> 00:05:20.920]  是很弱弱的
[00:05:20.920 --> 00:05:27.200]  當我們說到33% 即三分一的人口是天主教 基督教等等的基督信仰
[00:05:27.200 --> 00:05:28.360]  其實很闊
[00:05:28.360 --> 00:05:31.760]  其實基督教 更正教裡面是少
[00:05:31.760 --> 00:05:33.640]  其實不算很多
[00:05:33.640 --> 00:05:35.640]  穆斯林是一個很大的群體
[00:05:35.640 --> 00:05:40.920]  但是大家留意有15-16%左右是沒有宗教的人士
[00:05:40.920 --> 00:05:43.960]  或者印度教 佛教 中國傳統宗教
