
[00:00:00.000 --> 00:00:07.480]  OK 今日跟大家講的題目叫 虛假情真的面貌
[00:00:07.480 --> 00:00:11.680]  當然這個題目是跟今季的季題有關
[00:00:11.680 --> 00:00:14.960]  虛假情真 我經常要講一次
[00:00:14.960 --> 00:00:18.920]  那個情真不是情感的情 是呈現的情
[00:00:18.920 --> 00:00:21.240]  除去虛假 呈現真實
[00:00:21.240 --> 00:00:25.160]  這種是在去年的尋求玄學裏面
[00:00:25.160 --> 00:00:27.560]  其中一個鼓勵我們的地方
[00:00:27.800 --> 00:00:30.760]  要將真實的一面呈現在人的面前
[00:00:30.760 --> 00:00:33.320]  除去虛假是一件很困難的事
[00:00:33.320 --> 00:00:35.040]  我不知道你們同不同意
[00:00:35.040 --> 00:00:38.160]  有些是因為性格的問題
[00:00:38.160 --> 00:00:41.680]  有些是因為生命的有幽暗面的問題
[00:00:41.680 --> 00:00:46.360]  要將自己真面打開給人看
[00:00:46.360 --> 00:00:48.320]  其實很需要勇氣
[00:00:48.320 --> 00:00:50.360]  同時又很需要智慧
[00:00:50.360 --> 00:00:54.320]  如果一個人將他的真面目告訴別人
[00:00:54.320 --> 00:00:56.000]  打開給別人看
[00:00:56.320 --> 00:01:01.640]  其實是要 我想困難通常是那個當事人
[00:01:01.640 --> 00:01:03.640]  他不知道別人怎樣看他
[00:01:03.640 --> 00:01:09.400]  反過來 如果一個人要向另一個人告訴他
[00:01:09.400 --> 00:01:11.400]  他看到他的真面目的時候
[00:01:11.400 --> 00:01:13.400]  那個困難是更高的
[00:01:13.400 --> 00:01:16.200]  因為你要有勇氣表達
[00:01:16.200 --> 00:01:18.200]  謝謝
[00:01:18.200 --> 00:01:21.000]  另外一方面 這個只是我的時間表
[00:01:21.920 --> 00:01:27.360]  另外一方面 聽的人是否準備好去接受呢
[00:01:27.360 --> 00:01:33.080]  這牽涉到很多性格 很多關係 相處的問題
[00:01:33.080 --> 00:01:36.920]  在《聖經》裏面 今天選的這段經文
[00:01:36.920 --> 00:01:40.560]  可能是和生命的幽暗面有關的
[00:01:40.560 --> 00:01:43.760]  在這個虛假 情真 這個面貌裏面
[00:01:43.760 --> 00:01:49.200]  選了《約翰一書》這本書去講
[00:01:49.200 --> 00:01:53.040]  選這本書是因為這本書裏面有一個很特別的地方
[00:01:53.040 --> 00:02:02.480]  就是它有一句說話是充滿在這本書裏面的
[00:02:02.480 --> 00:02:04.880]  或者我們看看這幾節經文好不好
[00:02:04.880 --> 00:02:08.880]  就是《約翰一書》有三節經文 我想大家看一下
[00:02:08.880 --> 00:02:14.000]  《約翰一書》一章六節 二章廿二節和四章二十節
[00:02:14.000 --> 00:02:19.280]  這是我看的時候 或者我講白一點就是John Stock
[00:02:19.280 --> 00:02:25.120]  一個很著名的科文派學者 他點出了這個主線
[00:02:25.120 --> 00:02:28.720]  大家看一下這三節經文 大家讀一次好嗎
[00:02:28.720 --> 00:02:36.160]  好 三個是來自不同的位置的經文同一段說
[00:02:36.160 --> 00:02:39.520]  大家有沒有看到這三節經文有什麼地方是相同的
[00:02:43.280 --> 00:02:47.680]  有一句是一樣的 就是講謊 說謊話
[00:02:47.680 --> 00:02:51.600]  哪些人是講謊話呢 就是那些說我和神一起的
[00:02:51.600 --> 00:02:54.320]  我和神有關係很好的 和神有相交的
[00:02:54.320 --> 00:02:56.960]  我時時都靈修 我時時都和他一起的
[00:02:56.960 --> 00:02:59.360]  有禱讀 處理
[00:02:59.360 --> 00:03:04.000]  但如果他說和神相交 卻仍在黑暗裏面行
[00:03:04.000 --> 00:03:06.320]  就是怎樣 講謊話
[00:03:06.320 --> 00:03:09.520]  第二個怎樣去形容這班人呢
[00:03:09.520 --> 00:03:11.280]  就是誰是講謊話的那些呢
[00:03:11.280 --> 00:03:14.320]  就是那些不認耶穌是基督的
[00:03:14.320 --> 00:03:17.360]  因為在約翰一書裏面的確有些地方很強調
[00:03:17.360 --> 00:03:21.200]  耶穌就是基督 耶穌是成了肉身來
[00:03:21.200 --> 00:03:24.720]  耶穌就是神的兒子 這種這樣的形容
[00:03:24.720 --> 00:03:29.360]  第三個說那些人是講謊話的是什麼呢
[00:03:29.360 --> 00:03:33.280]  就是那些人在關係上 他說愛神的
[00:03:33.280 --> 00:03:37.200]  不過恨他的弟兄 約翰講得很好
[00:03:37.200 --> 00:03:43.360]  他說不愛他所看的弟兄 就不能愛什麼看不到的神
[00:03:43.360 --> 00:03:49.280]  所以這三節聖經其實是用三種不同的角度去講
[00:03:49.280 --> 00:03:50.640]  什麼叫做說謊話
[00:03:50.640 --> 00:03:56.400]  一個是從一個行為 表現 行事為人的方式
[00:03:56.400 --> 00:03:59.040]  第二個就是從一個信仰的角度
[00:03:59.040 --> 00:04:01.200]  他信什麼 真理的角度
