
[00:00:00.000 --> 00:00:05.440]  今天想和大家由第九節再少少重覆
[00:00:05.440 --> 00:00:08.520]  上一次和大家看這個段落只講了兩節聖經
[00:00:08.520 --> 00:00:13.600]  今天主要是和大家由第十一節開始講下去
[00:00:13.600 --> 00:00:16.000]  我們再看第一章第九節
[00:00:16.000 --> 00:00:22.200]  這個成為了整個段落的背景 或者是開場
[00:00:22.200 --> 00:00:25.800]  我們看著經文 經文非常之好
[00:00:25.800 --> 00:00:34.800]  他說:「我,約翰,就是你們的弟兄,在耶穌裡和你們一同患難的角度,在患難的角度忍耐裡有份的,
[00:00:34.800 --> 00:00:41.000]  為神的道並為給耶穌作見證,曾在那名叫拔摩的海島上。」
[00:00:41.000 --> 00:00:44.600]  首先第一件事我們知道約翰是一個什麼地方呢?
[00:00:44.600 --> 00:00:48.200]  是一個叫拔摩海島
[00:00:48.200 --> 00:00:53.600]  這個海島離開那七個教會是有一水之隔的
[00:00:53.600 --> 00:00:55.600]  有一個海隔住了它
[00:00:55.600 --> 00:00:59.600]  上次我也提過約翰在這裡強調什麼呢?
[00:00:59.600 --> 00:01:10.200]  就是他要和這七個教會的弟兄姊妹作出一個認同
[00:01:10.200 --> 00:01:14.800]  譬如如果我們當中有一個姊妹是有老花的
[00:01:14.800 --> 00:01:16.800]  我就隨便說了
[00:01:16.800 --> 00:01:20.200]  這位張國文 是不是叫張國明?
[00:01:20.200 --> 00:01:22.200]  張國文 張國文弟兄
[00:01:22.200 --> 00:01:24.200]  我假設他已經有老花
[00:01:24.200 --> 00:01:26.200]  他就跟我說牧師真是
[00:01:26.200 --> 00:01:29.200]  不知為何看書暗一點也看不到
[00:01:29.200 --> 00:01:31.200]  我說我也是
[00:01:31.200 --> 00:01:32.400]  我也有老花
[00:01:32.400 --> 00:01:34.000]  就是大家的認同
[00:01:34.000 --> 00:01:37.200]  讓他覺得不是只有我一個有老花
[00:01:37.200 --> 00:01:38.400]  雖然這麼年輕
[00:01:38.400 --> 00:01:41.600]  我其實四十多歲已經開始有老花了
[00:01:41.600 --> 00:01:43.600]  所以這是一個認同
[00:01:43.600 --> 00:01:46.400]  就是我約翰是你們的弟兄
[00:01:46.400 --> 00:01:48.400]  所謂稱兄道弟
[00:01:48.400 --> 00:01:50.400]  我們是brother brother
[00:01:50.400 --> 00:01:52.400]  弟兄來的,friend來的
[00:01:52.400 --> 00:01:56.400]  在耶穌基督與你一同患難
[00:01:56.400 --> 00:01:58.400]  一同即是又是一個認同
[00:01:58.400 --> 00:02:01.400]  我們大家其實一起在受苦難
[00:02:01.400 --> 00:02:03.400]  為什麼受苦難呢?
[00:02:03.400 --> 00:02:05.400]  是因為神的道
[00:02:05.400 --> 00:02:07.400]  和為耶穌基督做見證
[00:02:07.400 --> 00:02:12.400]  因為要傳揚神的道、神的真理
[00:02:12.400 --> 00:02:17.400]  特別是為了這位從死裡復活的耶穌
[00:02:17.400 --> 00:02:19.400]  要做出見證
[00:02:19.400 --> 00:02:21.400]  因為耶穌基督已經死了
[00:02:21.400 --> 00:02:23.400]  也復活了
[00:02:23.400 --> 00:02:24.400]  但是又升天了
[00:02:24.400 --> 00:02:26.400]  所以人們再也看不到他了
[00:02:26.400 --> 00:02:28.400]  約翰這個時代是什麼時候?
[00:02:28.400 --> 00:02:29.400]  大約在這個時候
[00:02:29.400 --> 00:02:33.400]  根據歷史學的研究來說
[00:02:33.400 --> 00:02:38.400]  約翰是在多米田羅馬王的時代
[00:02:38.400 --> 00:02:40.400]  被困在白馬海島
[00:02:40.400 --> 00:02:42.400]  而多米田的時代
[00:02:42.400 --> 00:02:46.400]  大約應該是九四至九六年的
[00:02:46.400 --> 00:02:47.400]  九四至九六年
