
[00:00:00.000 --> 00:00:02.000]  各位來賓各位弟子尖輩平安
[00:00:02.000 --> 00:00:06.000]  感謝主今日我們做一次一同的敬拜主
[00:00:06.000 --> 00:00:08.000]  今日是教會所定的領人歸主禮拜
[00:00:08.000 --> 00:00:11.000]  我盼望當中有舞蹈的朋友
[00:00:11.000 --> 00:00:13.000]  有微信主的來賓
[00:00:13.000 --> 00:00:16.000]  都願意能夠留心去聽神的說話
[00:00:16.000 --> 00:00:20.000]  好叫我們都得著這個永恆的生命
[00:00:20.000 --> 00:00:24.000]  剛才我們讀了《約翰福音》十四章六節
[00:00:24.000 --> 00:00:27.000]  耶穌說:我就是道路真理生命
[00:00:27.000 --> 00:00:31.000]  不借著我會有人能到乎那裡去
[00:00:31.000 --> 00:00:36.000]  我就用這個題目叫道路真理生命
[00:00:36.000 --> 00:00:38.000]  在今日一個分享
[00:00:38.000 --> 00:00:40.000]  究竟道路真理生命
[00:00:40.000 --> 00:00:45.000]  我想怎樣用一些動詞在中間去串連它
[00:00:45.000 --> 00:00:50.000]  讓我們能夠好像一起開誠去看到一個說話
[00:00:50.000 --> 00:00:51.000]  我這樣想
[00:00:51.000 --> 00:00:55.000]  我們就要找著這個道路
[00:00:55.000 --> 00:00:57.000]  認識真理
[00:00:57.000 --> 00:00:59.000]  得著生命
[00:00:59.000 --> 00:01:01.000]  找著道路
[00:01:01.000 --> 00:01:03.000]  認識真理
[00:01:03.000 --> 00:01:05.000]  得著生命
[00:01:05.000 --> 00:01:08.000]  其實在我們人生裡
[00:01:08.000 --> 00:01:10.000]  很多時候都是這樣的
[00:01:10.000 --> 00:01:13.000]  我們要找一條路
[00:01:13.000 --> 00:01:14.000]  做一些事情
[00:01:14.000 --> 00:01:15.000]  一些方法
[00:01:15.000 --> 00:01:17.000]  然後得到一些果效
[00:01:17.000 --> 00:01:19.000]  或者得到一些好處
[00:01:19.000 --> 00:01:22.000]  我們在人生裡很多時候都會有這樣的情況
[00:01:22.000 --> 00:01:25.000]  譬如我們讀書的人說
[00:01:25.000 --> 00:01:27.000]  我們找一間好的學校
[00:01:27.000 --> 00:01:29.000]  然後就認識到
[00:01:29.000 --> 00:01:31.000]  得到好的知識
[00:01:31.000 --> 00:01:34.000]  將來有理想的出路
[00:01:34.000 --> 00:01:36.000]  或者我們會想
[00:01:36.000 --> 00:01:40.000]  我們希望找到一個合適的對象
[00:01:40.000 --> 00:01:41.000]  什麼對象?
[00:01:41.000 --> 00:01:42.000]  結婚對象
[00:01:42.000 --> 00:01:44.000]  合適的結婚對象
[00:01:44.000 --> 00:01:48.000]  我們能夠去認識真愛的真諦
[00:01:48.000 --> 00:01:50.000]  建立一個幸福的家庭
[00:01:50.000 --> 00:01:54.000]  建立一個幸福的婚姻的生活
[00:01:54.000 --> 00:01:56.000]  或者我們也不想這些
[00:01:56.000 --> 00:01:57.000]  我們最現實
[00:01:57.000 --> 00:01:58.000]  講賺錢
[00:01:58.000 --> 00:01:59.000]  於是我們就說
[00:01:59.000 --> 00:02:04.000]  我們要找到一個合適的賺錢的方法
[00:02:04.000 --> 00:02:08.000]  能夠認識投資的知識
[00:02:08.000 --> 00:02:11.000]  能夠過一個富貴的生活
[00:02:11.000 --> 00:02:15.000]  很多時候我們都會在人生裡
[00:02:15.000 --> 00:02:16.000]  找一條路
[00:02:16.000 --> 00:02:17.000]  去做一件事
[00:02:17.000 --> 00:02:20.000]  能夠得到一個好處
[00:02:20.000 --> 00:02:21.000]  我們都是這樣
[00:02:21.000 --> 00:02:23.000]  今天不知道你在找什麼
[00:02:23.000 --> 00:02:24.000]  在找哪條路
[00:02:24.000 --> 00:02:25.000]  在走哪條路
[00:02:25.000 --> 00:02:26.000]  在做什麼
[00:02:26.000 --> 00:02:27.000]  我們都會這樣
[00:02:27.000 --> 00:02:31.000]  不過更加我們放下
[00:02:31.000 --> 00:02:34.000]  剛剛在現實生活裡
[00:02:34.000 --> 00:02:39.000]  其實生命裡一個更加大的問題
[00:02:39.000 --> 00:02:42.000]  或者更加和我們有切身關係的
[00:02:42.000 --> 00:02:44.000]  一件很重要的事情
[00:02:44.000 --> 00:02:48.000]  就是耶穌所說的道路、真理、生命
[00:02:48.000 --> 00:02:51.000]  我會這樣去看法
[00:02:51.000 --> 00:02:53.000]  我們要找到一條十字架的道路
[00:02:53.000 --> 00:02:56.000]  能夠認識救贖的真理
[00:02:56.000 --> 00:02:59.000]  以致我們得到永遠的生命
[00:02:59.000 --> 00:03:02.000]  我們要找到一條十字架的道路
[00:03:02.000 --> 00:03:05.000]  認識救贖的真理
[00:03:05.000 --> 00:03:09.000]  能夠得到永遠又豐盛的生命
[00:03:09.000 --> 00:03:10.000]  這是我們需要的
[00:03:10.000 --> 00:03:13.000]  因為這是顯示了我們整個人生
[00:03:13.000 --> 00:03:17.000]  甚至是我們整個人類的前途
[00:03:17.000 --> 00:03:21.000]  開始說耶穌說我是道路
[00:03:21.000 --> 00:03:22.000]  一想起道路
[00:03:22.000 --> 00:03:24.000]  我就想起自己很多的問題
[00:03:24.000 --> 00:03:26.000]  因為我經常要找路
[00:03:26.000 --> 00:03:29.000]  我認路很差很差
[00:03:29.000 --> 00:03:32.000]  經常一出門口
[00:03:32.000 --> 00:03:35.000]  應該轉左就轉右
[00:03:35.000 --> 00:03:37.000]  走一段路才發覺自己走錯路
[00:03:37.000 --> 00:03:39.000]  很多時候都會有這樣的情況
[00:03:39.000 --> 00:03:41.000]  經常要問路要找路
[00:03:41.000 --> 00:03:45.000]  所以就像蒙查查一樣要找路
[00:03:45.000 --> 00:03:46.000]  不過現在好很多
[00:03:46.000 --> 00:03:49.000]  手機裏面有這些地圖幫手
[00:03:49.000 --> 00:03:51.000]  我發覺經常都要找路
[00:03:51.000 --> 00:03:53.000]  特別我發覺在內地
[00:03:53.000 --> 00:03:55.000]  都會有時不認識路問路
[00:03:55.000 --> 00:03:57.000]  問路不知為何
[00:03:57.000 --> 00:04:00.000]  問到指你去那邊的時候
[00:04:00.000 --> 00:04:02.000]  通常都錯的
[00:04:02.000 --> 00:04:03.000]  不知道你們有沒有試過
[00:04:03.000 --> 00:04:05.000]  是你不認識路還是問錯人
[00:04:05.000 --> 00:04:07.000]  通常都錯的
[00:04:07.000 --> 00:04:10.000]  後來問到都相反的
[00:04:10.000 --> 00:04:12.000]  日後你問我這裏我就走那邊
[00:04:12.000 --> 00:04:14.000]  我都學聰明了
[00:04:14.000 --> 00:04:16.000]  不知道是他們不認識路
[00:04:16.000 --> 00:04:19.000]  還是故意不願意幫我們
[00:04:19.000 --> 00:04:21.000]  都有這樣的經驗
[00:04:21.000 --> 00:04:23.000]  但有時人家都問路
[00:04:23.000 --> 00:04:26.000]  有些遊客或不認識路的人問路
[00:04:26.000 --> 00:04:27.000]  我就指你怎樣走
[00:04:27.000 --> 00:04:30.000]  其實都好難指得很清楚
[00:04:30.000 --> 00:04:32.000]  因為又轉彎又向前
[00:04:32.000 --> 00:04:33.000]  轉呀轉呀
[00:04:33.000 --> 00:04:35.000]  很多時候都已經轉錯了
[00:04:35.000 --> 00:04:39.000]  都好難去指得很清楚的方向給人
[00:04:39.000 --> 00:04:41.000]  但我們其實
[00:04:41.000 --> 00:04:43.000]  耶穌說我就是道路
[00:04:43.000 --> 00:04:45.000]  其實好重要
[00:04:45.000 --> 00:04:47.000]  祂不是單單指路給你走
[00:04:47.000 --> 00:04:49.000]  祂本身就是那條路
[00:04:49.000 --> 00:04:50.000]  祂的意思是
[00:04:50.000 --> 00:04:51.000]  我和你一起走這條路
[00:04:51.000 --> 00:04:52.000]  我和你一起去生活
[00:04:52.000 --> 00:04:54.000]  我和你一起的同行
[00:04:54.000 --> 00:04:56.000]  耶穌說我們是同行者
[00:04:56.000 --> 00:04:58.000]  是在我們的生命裏面一起的同行
[00:04:58.000 --> 00:05:00.000]  我記得說到找路
[00:05:00.000 --> 00:05:02.000]  試過一次很久的經驗
[00:05:02.000 --> 00:05:04.000]  很小的時候
[00:05:04.000 --> 00:05:05.000]  我忘記了
[00:05:05.000 --> 00:05:10.000]  我爸爸叫我和哥哥去一個地方
[00:05:10.000 --> 00:05:11.000]  那個地方
[00:05:11.000 --> 00:05:14.000]  我相信現在不在了
[00:05:14.000 --> 00:05:16.000]  但是想起都很可怕
[00:05:16.000 --> 00:05:17.000]  不敢進去
[00:05:17.000 --> 00:05:19.000]  大家猜猜是什麼地方
[00:05:19.000 --> 00:05:21.000]  在九龍城
[00:05:21.000 --> 00:05:22.000]  在九龍城寨
[00:05:22.000 --> 00:05:24.000]  有時候我們很小
[00:05:24.000 --> 00:05:25.000]  十多歲
[00:05:25.000 --> 00:05:28.000]  去那個地方拿些東西
[00:05:28.000 --> 00:05:29.000]  但我不知為什麼
[00:05:29.000 --> 00:05:32.000]  我和哥哥走著走著進去裏面
[00:05:32.000 --> 00:05:34.000]  走到裏面就黑漆漆的
[00:05:34.000 --> 00:05:36.000]  好像看不到天日一樣
[00:05:36.000 --> 00:05:38.000]  好像很多的巷
[00:05:38.000 --> 00:05:40.000]  髒兮兮的
[00:05:40.000 --> 00:05:42.000]  總之都很恐怖
[00:05:42.000 --> 00:05:44.000]  但又不知怎樣去
[00:05:44.000 --> 00:05:46.000]  好像經常紋路
[00:05:46.000 --> 00:05:47.000]  幸好問了一個人
[00:05:47.000 --> 00:05:48.000]  他就很好
[00:05:48.000 --> 00:05:50.000]  帶我走出來那個地方
[00:05:50.000 --> 00:05:53.000]  終於去到要去的目的地
[00:05:53.000 --> 00:05:54.000]  這個是很重要
[00:05:54.000 --> 00:05:56.000]  是能夠和你一起走出來
[00:05:56.000 --> 00:05:58.000]  不然你自己在人生裏面
[00:05:58.000 --> 00:05:59.000]  只給你這條道路
[00:05:59.000 --> 00:06:00.000]  這條路
[00:06:00.000 --> 00:06:02.000]  你很容易很迷惘在裏面
[00:06:02.000 --> 00:06:05.000]  所以耶穌說我就是道路
[00:06:05.000 --> 00:06:08.000]  就是說
[00:06:08.000 --> 00:06:10.000]  祂是本身一條路
[00:06:10.000 --> 00:06:12.000]  這條路有新日活的路
[00:06:12.000 --> 00:06:13.000]  在聖經裏面所說
[00:06:13.000 --> 00:06:16.000]  如果不是直著去
[00:06:16.000 --> 00:06:19.000]  沒有人能夠去到神那裏去
[00:06:19.000 --> 00:06:21.000]  祂是唯一的道路
[00:06:21.000 --> 00:06:22.000]  很多時候我們說
[00:06:22.000 --> 00:06:23.000]  其實人生
[00:06:23.000 --> 00:06:25.000]  我們都好像一條路
[00:06:25.000 --> 00:06:28.000]  我們都會
[00:06:28.000 --> 00:06:30.000]  都要一條屬於自己的路
[00:06:30.000 --> 00:06:32.000]  可能一條很平坦
[00:06:32.000 --> 00:06:33.000]  很廣闊的路
[00:06:33.000 --> 00:06:35.000]  或者一條很崎嶇的路
[00:06:35.000 --> 00:06:37.000]  但總是一條自己的路
[00:06:37.000 --> 00:06:38.000]  有些人就會想
[00:06:38.000 --> 00:06:40.000]  這條路自然會走完
[00:06:40.000 --> 00:06:44.000]  這條路自然會走上堅步走步
[00:06:44.000 --> 00:06:45.000]  就是說
[00:06:45.000 --> 00:06:47.000]  好像命中注定
[00:06:47.000 --> 00:06:48.000]  要認命
[00:06:48.000 --> 00:06:50.000]  就是這樣走的路
[00:06:50.000 --> 00:06:52.000]  人人都是一條這樣的路
[00:06:52.000 --> 00:06:53.000]  每個人都不同
[00:06:53.000 --> 00:06:54.000]  不能去想
[00:06:54.000 --> 00:06:56.000]  不能去比較
