
[00:00:00.000 --> 00:00:03.000]  我相信我們很多人都曾經遭受過被批評
[00:00:03.000 --> 00:00:07.000]  被批評的時候 你內心都會很難受
[00:00:07.000 --> 00:00:10.000]  有時經常都很不安 想起這件事很不忿
[00:00:10.000 --> 00:00:15.000]  於是想著要怎樣還擊回去 說回去才好一點
[00:00:15.000 --> 00:00:18.000]  其實對於遭受批評的時候
[00:00:18.000 --> 00:00:21.000]  你通常會有怎樣的反應呢?
[00:00:21.000 --> 00:00:26.000]  還有你又怎樣去消化自己內心的那種不忿呢?
[00:00:27.000 --> 00:00:30.000]  一般人的反應都有很多種不同的反應
[00:00:30.000 --> 00:00:34.000]  但在這裡我列舉三種 我認為其實都不止的
[00:00:34.000 --> 00:00:36.000]  因為還有很多種反應
[00:00:36.000 --> 00:00:39.000]  第一種我認為是一種叫做還擊的反應
[00:00:39.000 --> 00:00:45.000]  很簡單 別人批評你 你很自然地反應
[00:00:45.000 --> 00:00:47.000]  你這樣說我 我當然會說你
[00:00:47.000 --> 00:00:50.000]  因為很自然 你說我沒用 你怎樣沒用
[00:00:50.000 --> 00:00:52.000]  我怎樣沒用 你很有用 你在哪裏怎樣怎樣
[00:00:52.000 --> 00:00:55.000]  是一種很自然的反應 這種叫做還擊
[00:00:56.000 --> 00:00:58.000]  第二種就不會是這樣
[00:00:58.000 --> 00:01:00.000]  有一種就是這樣
[00:01:00.000 --> 00:01:04.000]  他會和你澄清 我不會和你這麼平和的態度
[00:01:04.000 --> 00:01:07.000]  我覺得你可能有些誤解或者不清楚的情況
[00:01:07.000 --> 00:01:09.000]  我會和你去分析
[00:01:09.000 --> 00:01:12.000]  或者你得到的資料根本很片面 不夠全面
[00:01:12.000 --> 00:01:15.000]  所以我要給你多一點資訊 看回這件事
[00:01:15.000 --> 00:01:18.000]  讓你明白了解的時候 原來是這樣的
[00:01:18.000 --> 00:01:24.000]  意思不是收回可以說明白了 就不再爭論下去
[00:01:25.000 --> 00:01:28.000]  這種叫做澄清 用一些道理去分析
[00:01:28.000 --> 00:01:30.000]  很多很常見的人都會這樣用
[00:01:30.000 --> 00:01:32.000]  我們很多人都會這樣做
[00:01:32.000 --> 00:01:36.000]  第三種我自己認為是清者自清
[00:01:36.000 --> 00:01:38.000]  一些比較有修養的人
[00:01:38.000 --> 00:01:43.000]  他會這樣對別人批評 沒甚麼在意
[00:01:43.000 --> 00:01:48.000]  不會放在心裏 也不會急於和你澄清
[00:01:48.000 --> 00:01:51.000]  清者自清和你說都沒甚麼所謂
[00:01:51.000 --> 00:01:53.000]  不說我也不介意 我也不在乎
[00:01:54.000 --> 00:01:57.000]  我不是管轄 我覺得你的評論根本不合理
[00:01:57.000 --> 00:01:59.000]  不需要和你解釋 解釋也無謂
[00:01:59.000 --> 00:02:02.000]  清者自清的情況
[00:02:02.000 --> 00:02:11.000]  你覺得保羅是以哪一種方式去回應遭受批評
[00:02:11.000 --> 00:02:13.000]  大家都猜到了 是第三種
[00:02:13.000 --> 00:02:16.000]  他不會用第一種馬上還擊你
[00:02:16.000 --> 00:02:19.000]  他不會陳述在這段經文裏面
[00:02:19.000 --> 00:02:22.000]  反而他會用一種情況去回應
[00:02:23.000 --> 00:02:26.000]  基本上你會發覺保羅並不是在回應別人
[00:02:26.000 --> 00:02:28.000]  他在回應自己
