
[00:00:00.000 --> 00:00:03.800]  不知大家有無試過走冤枉路呢
[00:00:03.800 --> 00:00:06.600]  如果大家開車的話,有時我相信大家都試過
[00:00:06.600 --> 00:00:09.620]  明明開緊車,調了個導航,導航失靈
[00:00:09.620 --> 00:00:13.740]  明明十分鐘嘅車程,最後行咗兩個鐘
[00:00:13.740 --> 00:00:18.360]  有陣時我哋喺職場上面拼搏好多年
[00:00:18.360 --> 00:00:21.700]  不過到升職嘅時候,發覺原來隔離嗰個升職
[00:00:21.700 --> 00:00:25.200]  有陣時你會發覺,無論係家庭事業愛情
[00:00:25.200 --> 00:00:28.860]  你花咗好多嘅心血,好多嘅心機
[00:00:28.860 --> 00:00:31.920]  卻似乎一無所得
[00:00:31.920 --> 00:00:35.060]  甚至有時一個意外,一個衝擊
[00:00:35.060 --> 00:00:37.860]  你會發覺多年嘅努力
[00:00:37.860 --> 00:00:39.960]  成為泡影,花為烏有
[00:00:39.960 --> 00:00:43.700]  正所謂一夜回到解放前
[00:00:43.700 --> 00:00:45.600]  當呢啲咁嘅事情發生
[00:00:45.600 --> 00:00:48.520]  當你覺得人生好似停滯不前嘅時候
[00:00:48.520 --> 00:00:51.400]  唔知你嘅感覺係點樣嘅呢
[00:00:51.400 --> 00:00:54.660]  或者好多人都會咁樣祈禱
[00:00:54.660 --> 00:00:57.600]  神呀,點解我仲喺呢份工作嗰度㗎
[00:00:57.600 --> 00:01:00.560]  神呀,點解我嘅家庭嘅景況
[00:01:00.560 --> 00:01:03.160]  仲係咁樣毫無改善㗎
[00:01:03.160 --> 00:01:05.920]  神呀,點解我個病仲未好返㗎
[00:01:05.920 --> 00:01:08.360]  神呀,點解你唔聽我個禱告㗎
[00:01:08.360 --> 00:01:10.660]  好多好多嘅點解
[00:01:10.660 --> 00:01:14.620]  我哋大家都經驗過,頭先所講嘅情況
[00:01:14.620 --> 00:01:16.220]  就好似一個
[00:01:16.220 --> 00:01:20.120]  妙無人煙,相當荒蕪嘅曠野一樣
[00:01:20.120 --> 00:01:25.160]  我哋叫呢個係曠野嘅一個經驗
[00:01:25.160 --> 00:01:28.300]  無任何嘅改變,無論我哋如何嘅努力
[00:01:28.300 --> 00:01:31.560]  我哋就會問,神呀,係咪我走錯路呢
[00:01:31.560 --> 00:01:33.920]  神呀,係咪我走嘅一啲冤枉路呢
[00:01:33.920 --> 00:01:36.860]  點解其他人都係一路嘅向前
[00:01:36.860 --> 00:01:40.100]  我係硬係原地踏步
[00:01:40.100 --> 00:01:41.420]  點解呢
[00:01:41.420 --> 00:01:45.120]  今日嘅經文好長,好多嘅地名,好多嘅人名
[00:01:45.120 --> 00:01:48.600]  但係話俾我哋真係好簡單嘅一個情況
[00:01:48.600 --> 00:01:51.860]  就係當時嘅以色列民
[00:01:51.860 --> 00:01:55.100]  佢哋就好似我哋頭先所講嘅景況一樣
[00:01:55.100 --> 00:01:58.860]  佢哋從埃及去到嘉南所謂嘅應許之地
[00:01:58.860 --> 00:02:00.720]  正常嚟講係十零日嘅啫
[00:02:00.720 --> 00:02:04.260]  不過佢哋竟然走咗四十年
[00:02:04.260 --> 00:02:07.220]  喺人睇嚟呢,嗰條冤枉路啦
[00:02:07.220 --> 00:02:09.960]  十幾日行咗四十年仲唔係走冤枉路
[00:02:09.960 --> 00:02:13.260]  不過喺神嘅眼中睇嚟呢
[00:02:13.260 --> 00:02:15.600]  嗰段路並唔係迷路嚟㗎喎
[00:02:15.600 --> 00:02:17.860]  而係一條管教嘅路
[00:02:17.860 --> 00:02:19.460]  一條重建嘅路
[00:02:19.460 --> 00:02:21.800]  同埋一條修正嘅路
[00:02:21.800 --> 00:02:28.160]  讓呢班原本係叛逆嘅子民能夠重回神嘅道路上面
[00:02:28.160 --> 00:02:29.860]  鼎姐妹
[00:02:29.860 --> 00:02:32.300]  你有冇試過走冤枉路呀
