
[00:00:00.000 --> 00:00:02.500]  各位午安,主內平安
[00:00:02.500 --> 00:00:04.500]  今天是母親節
[00:00:04.500 --> 00:00:10.500]  首先我們感謝我們肉身的母親養育她路
[00:00:10.500 --> 00:00:17.000]  感謝很多我們淑齡的母親給我們有很多的教導和牧養
[00:00:17.000 --> 00:00:21.500]  願意祝福我們的母親身體健康,永有平安氣勒
[00:00:21.500 --> 00:00:23.500]  我們同心的禱告
[00:00:23.500 --> 00:00:26.500]  差的恩主,我們謙卑來到你的跟前
[00:00:26.500 --> 00:00:30.500]  感謝你在創世的時候,你訂立了家庭
[00:00:30.500 --> 00:00:33.500]  讓我們去經歷親情的微善
[00:00:33.500 --> 00:00:37.500]  母親節的日子,我一同去中毒,上帝你的壞語
[00:00:37.500 --> 00:00:40.500]  願你的靈在我當中自由運行
[00:00:40.500 --> 00:00:45.500]  親自的教導,以致無論講的,聽的一同去蒙福
[00:00:45.500 --> 00:00:52.500]  聽我們的禱告,奉靠我救主,耶穌基督,寶貴聖名去求,阿們
[00:00:52.500 --> 00:00:57.500]  慶祝母親節,我想我們很多人都會和父母去吃頓飯,對不對?
[00:00:57.500 --> 00:01:06.500]  問問大家,你覺得是父母陪你吃飯,還是你陪父母吃飯呢?
[00:01:06.500 --> 00:01:13.500]  我和媽媽的關係比較單純,請容讓我
[00:01:13.500 --> 00:01:16.500]  在母親節的日子,歡迎我和我爸爸的關係
[00:01:16.500 --> 00:01:20.500]  爸爸比我大,我想超過四十年,而且讀書不是很多
[00:01:20.500 --> 00:01:25.500]  但做些小生意總算在經濟上中規中矩
[00:01:25.500 --> 00:01:30.500]  在我的成長歷程裡,坦言,如果我回顧我過去
[00:01:30.500 --> 00:01:35.500]  曾經都或多或少帶著功利主義和爸爸建立關係
[00:01:35.500 --> 00:01:42.500]  心態有點複雜,特別是我剛剛移居加拿大的初期
[00:01:42.500 --> 00:01:47.500]  爸爸不懂英文,但他很活躍,於是要花上很大的耐性
[00:01:47.500 --> 00:01:51.500]  他學少少英文回來,你就幫他補習,幫他錄音
[00:01:51.500 --> 00:01:56.500]  每次都要跟進跟出,那時真的覺得挺麻煩
[00:01:56.500 --> 00:02:02.500]  但那時我做的事不是很久,他也是我經濟上最大的支持者
[00:02:02.500 --> 00:02:09.500]  你明白吧?當爸爸的晚年,他開始完完全全腦退化
[00:02:09.500 --> 00:02:13.500]  完全認不到我這個女兒,那時已經完全經濟獨立
