
[00:00:00.000 --> 00:00:03.000]  頂智媒又見面了
[00:00:03.000 --> 00:00:08.000]  願我們因為能夠朝見上帝
[00:00:08.000 --> 00:00:10.000]  我們的心歡喜
[00:00:10.000 --> 00:00:12.000]  記得我小時候
[00:00:12.000 --> 00:00:14.000]  臨過年
[00:00:14.000 --> 00:00:17.000]  我會幫忙遊客聽那個牆
[00:00:17.000 --> 00:00:19.000]  不是我乖
[00:00:19.000 --> 00:00:22.000]  是因為我平時把那個牆畫來畫去
[00:00:22.000 --> 00:00:23.000]  到新年的時候
[00:00:23.000 --> 00:00:27.000]  我就有責任去遊好那棟牆
[00:00:28.000 --> 00:00:31.000]  年尾通常爸爸都要我去剪頭髮
[00:00:31.000 --> 00:00:33.000]  但是我很記得年三十晚
[00:00:33.000 --> 00:00:36.000]  他就會帶我去買新衣
[00:00:36.000 --> 00:00:38.000]  買新鞋
[00:00:38.000 --> 00:00:40.000]  還記得從西環怎麼去搭車
[00:00:40.000 --> 00:00:44.000]  去到北角的國貨公司裡面買
[00:00:44.000 --> 00:00:47.000]  去迎接新一年的到來
[00:00:47.000 --> 00:00:50.000]  願新年
[00:00:50.000 --> 00:00:52.000]  勝舊年
[00:00:52.000 --> 00:00:56.000]  其實是來自宋詞《雙眼兒》
[00:00:56.000 --> 00:00:58.000]  這首詩詞
[00:00:58.000 --> 00:01:03.000]  詩人在內容裡面其實留意到
[00:01:03.000 --> 00:01:05.000]  原來過去一年
[00:01:05.000 --> 00:01:07.000]  人是因為名利
[00:01:07.000 --> 00:01:10.000]  忙忙碌碌都沒什麼機會休息
[00:01:10.000 --> 00:01:13.000]  到除夕的時候才恍然大悟
[00:01:13.000 --> 00:01:15.000]  有一年啊
[00:01:15.000 --> 00:01:18.000]  於是他就覺得自己應該休息一下
[00:01:18.000 --> 00:01:20.000]  有酒就今朝醉
[00:01:20.000 --> 00:01:22.000]  所以他說願新年
[00:01:22.000 --> 00:01:24.000]  勝舊年
[00:01:24.000 --> 00:01:27.000]  這是詩最後的六個字
[00:01:27.000 --> 00:01:31.000]  相信大家都會想新年進步
[00:01:31.000 --> 00:01:32.000]  是不是
[00:01:32.000 --> 00:01:34.000]  如果過去一年
[00:01:34.000 --> 00:01:36.000]  很不順
[00:01:36.000 --> 00:01:37.000]  很不好
[00:01:37.000 --> 00:01:38.000]  很不開心
[00:01:38.000 --> 00:01:39.000]  很多東西
[00:01:39.000 --> 00:01:41.000]  很令我很鬱結
[00:01:41.000 --> 00:01:43.000]  希望新一年有改變
[00:01:43.000 --> 00:01:45.000]  或者相反
[00:01:45.000 --> 00:01:48.000]  過去一年我覺得我人生很順利
[00:01:48.000 --> 00:01:49.000]  很開心
[00:01:49.000 --> 00:01:51.000]  很多成績很滿意
[00:01:51.000 --> 00:01:56.000]  希望新一年是繼續的進步
[00:01:56.000 --> 00:01:59.000]  對於有參與每一年舉辦的
[00:01:59.000 --> 00:02:02.000]  渣打馬拉松的參賽者
[00:02:02.000 --> 00:02:06.000]  刷新個人紀錄應該是他們每一年的什麼
[00:02:06.000 --> 00:02:08.000]  目標
[00:02:08.000 --> 00:02:10.000]  哪怕是快一秒
[00:02:10.000 --> 00:02:11.000]  一秒而已
[00:02:11.000 --> 00:02:14.000]  他都覺得是新年進步了
[00:02:14.000 --> 00:02:16.000]  頂智媚
[00:02:16.000 --> 00:02:23.000]  你想甲辰年比桂貓年
[00:02:23.000 --> 00:02:26.000]  有什麼進步呢
[00:02:26.000 --> 00:02:29.000]  想想
[00:02:29.000 --> 00:02:31.000]  昨天年初一崇拜
[00:02:31.000 --> 00:02:35.000]  順偉長老藉著詩篇二十七篇一節六節
[00:02:35.000 --> 00:02:40.000]  提醒我們要向生命保障的耶和神
[00:02:40.000 --> 00:02:43.000]  祈求一件事
[00:02:43.000 --> 00:02:47.000]  一生一世住在耶話殿中
[00:02:47.000 --> 00:02:48.000]  意思不是說
[00:02:48.000 --> 00:02:50.000]  好像詩人一樣
[00:02:50.000 --> 00:02:52.000]  天天都回來教會
[00:02:52.000 --> 00:02:53.000]  什麼都不用做
[00:02:53.000 --> 00:02:55.000]  不是這個意思
[00:02:55.000 --> 00:02:56.000]  詩人說
[00:02:56.000 --> 00:02:59.000]  瞻仰神的榮美
[00:02:59.000 --> 00:03:01.000]  在祂的殿裏面求問
[00:03:01.000 --> 00:03:04.000]  這個才是詩人最重要
[00:03:04.000 --> 00:03:08.000]  他強調他願意有神的同在
[00:03:08.000 --> 00:03:10.000]  就因為有神的同在
[00:03:10.000 --> 00:03:11.000]  長老提醒我們
[00:03:11.000 --> 00:03:16.000]  我們要對上帝的恩典同在作出回應
[00:03:16.000 --> 00:03:19.000]  換言之他和上帝是有互動的
[00:03:19.000 --> 00:03:22.000]  同在就不是你一面我一面
[00:03:22.000 --> 00:03:24.000]  人在心不在
[00:03:24.000 --> 00:03:27.000]  所以頂智媚
[00:03:27.000 --> 00:03:32.000]  你的信仰有沒有互動
[00:03:32.000 --> 00:03:36.000]  無論是對神對人
[00:03:36.000 --> 00:03:41.000]  還是說我的信仰是躺平的信仰
[00:03:41.000 --> 00:03:43.000]  沒有反應的
[00:03:43.000 --> 00:03:45.000]  而上個主日
[00:03:45.000 --> 00:03:46.000]  培根教師藉著
