
[00:00:00.000 --> 00:00:01.500]  有人的地方
[00:00:01.500 --> 00:00:02.940]  是有磨擦的
[00:00:02.940 --> 00:00:03.980]  大家同意嗎?
[00:00:03.980 --> 00:00:08.080]  所以今天跟大家說的題目叫做大磨小擦
[00:00:08.080 --> 00:00:08.780]  一看下去
[00:00:08.780 --> 00:00:10.620]  哎呀,你說的是婚姻、夫妻關係
[00:00:10.620 --> 00:00:11.580]  我還沒結婚
[00:00:11.580 --> 00:00:14.200]  或者我的配偶已經不在了
[00:00:14.200 --> 00:00:16.360]  事實上人與人相處
[00:00:16.360 --> 00:00:18.540]  無論是跟自己的配偶
[00:00:18.540 --> 00:00:19.780]  兄弟姐妹
[00:00:19.780 --> 00:00:23.020]  你的同事、你的親戚、你的朋友、你的同學
[00:00:23.020 --> 00:00:25.660]  甚至在教會裡的弟兄姊妹
[00:00:25.660 --> 00:00:27.760]  大家都說愛了
[00:00:27.760 --> 00:00:29.480]  都會有磨擦的
[00:00:29.480 --> 00:00:31.000]  所以我希望
[00:00:31.000 --> 00:00:32.580]  當然我們的重點是說
[00:00:32.580 --> 00:00:33.740]  夫妻之間的相處
[00:00:33.740 --> 00:00:35.720]  如何處理大磨小擦的問題
[00:00:35.720 --> 00:00:36.220]  但是
[00:00:36.220 --> 00:00:38.160]  如果你在跟別人相處的時候
[00:00:38.160 --> 00:00:40.720]  時時都會有這樣的情況出現的話
[00:00:40.720 --> 00:00:43.400]  希望今天跟大家分享的原則
[00:00:43.400 --> 00:00:45.800]  都能夠幫助到你們
[00:00:45.800 --> 00:00:47.920]  那麼對夫妻而言
[00:00:47.920 --> 00:00:49.880]  其實磨擦
[00:00:49.880 --> 00:00:51.260]  很多時候
[00:00:51.260 --> 00:00:52.860]  其實在婚前已經開始
[00:00:52.860 --> 00:00:53.600]  不過
[00:00:53.600 --> 00:00:54.820]  結婚之後
[00:00:54.820 --> 00:00:57.320]  可能情況會變本加厲
[00:00:57.320 --> 00:00:58.720]  反應越來越大
[00:00:58.720 --> 00:01:00.560]  大家有沒有見過這樣的情況呢?
[00:01:00.560 --> 00:01:04.680]  還是穿著婚紗的
[00:01:04.680 --> 00:01:06.660]  不過不知道是演戲還是真實的
[00:01:06.660 --> 00:01:08.100]  反應很大
[00:01:08.100 --> 00:01:09.520]  有沒有起過飛腳呢?
[00:01:09.520 --> 00:01:11.840]  希望沒有吧
[00:01:11.840 --> 00:01:14.920]  不過有時候的情況就是這樣
