
[00:00:00.000 --> 00:00:02.960]  咁我哋呢繼續睇我哋呢個嘅series喇
[00:00:02.960 --> 00:00:06.200]  我哋睇下呢喺我生命當中有啲咩節期有啲咩時間呢
[00:00:06.200 --> 00:00:08.580]  係提醒我哋呢啲數量嘅生命
[00:00:08.580 --> 00:00:12.780]  咁所以呢我哋呢今次呢去睇另外一個嘅節期
[00:00:12.780 --> 00:00:16.000]  咁上一次呢我哋提過呢就係豬棚節
[00:00:16.000 --> 00:00:17.280]  Feast of Tabernacle
[00:00:17.280 --> 00:00:19.760]  咁呀啱啱呢個禮拜呢以色列就完結
[00:00:19.760 --> 00:00:22.400]  呢一個嘅即係Sukkut
[00:00:22.400 --> 00:00:24.640]  呢個嘅豬棚節Feast of Tabernacle
[00:00:24.640 --> 00:00:27.600]  咁我今日呢睇乜嘢呢今日睇呢係Shabak
[00:00:27.600 --> 00:00:29.120]  Shabak呢呢個應該好清楚啦
[00:00:29.120 --> 00:00:32.960]  因為呢係七日嘅其中一日
[00:00:32.960 --> 00:00:34.480]  呢一段時間
[00:00:34.480 --> 00:00:36.800]  如果你喺以色列嘅街上面走
[00:00:36.800 --> 00:00:38.480]  我哋就會覺得好新奇
[00:00:38.480 --> 00:00:40.320]  因為禮拜五嘅Sundown
[00:00:40.320 --> 00:00:41.440]  即係日落
[00:00:41.440 --> 00:00:43.440]  到禮拜六嘅日落呢
[00:00:43.440 --> 00:00:45.360]  就係佢哋嘅安息日
[00:00:45.360 --> 00:00:46.640]  即係七日嘅第七
[00:00:46.640 --> 00:00:49.760]  即係一個禮拜嘅第七日
[00:00:49.760 --> 00:00:52.800]  咁所以呢佢哋會街上面冇曬車呀
[00:00:52.800 --> 00:00:55.200]  或者冇人嚟到去行呀等等
[00:00:55.200 --> 00:00:58.160]  咁因為呢喺Shabak嗰度嘅時候
[00:00:58.160 --> 00:00:59.760]  就一切都係靜態嘅
[00:00:59.760 --> 00:01:01.120]  個個都返屋企
[00:01:01.120 --> 00:01:03.680]  然之後呢就唔作工
[00:01:03.680 --> 00:01:04.880]  亦都唔打火
[00:01:04.880 --> 00:01:08.000]  所以呢就唔撳一啲嘅掣呀或者電話
[00:01:08.000 --> 00:01:09.520]  會熄咗佢呀等等
