
[00:00:00.000 --> 00:00:12.000]  今天我們來到教會,教會對我們來說是一個很熟悉的詞。
[00:00:12.000 --> 00:00:22.000]  因爲講到教會的時候,我們想到的是一個地方,一個建築物。
[00:00:22.000 --> 00:00:28.000]  所以今天當我們這個建築物裏面有一個十字架的建築物,
[00:00:28.000 --> 00:00:35.000]  所以我們每次說我們來到教會,就是來到一個地方只有十字架的一個建築物。
[00:00:35.000 --> 00:00:45.000]  其實在聖經裏面教會的原意,
[00:00:49.000 --> 00:00:58.000]  聖經中的原文的意思就是神呼召一羣人,一起敬拜和侍奉他。
[00:00:58.000 --> 00:01:12.000]  在新葉聖經裏面更講到教會,
[00:01:15.000 --> 00:01:19.000]  新葉以身體比喻教會的意義和功能。
[00:01:19.000 --> 00:01:28.000]  所以其實教會的意思就是指人。
[00:01:28.000 --> 00:01:36.000]  是指我們這些因爲耶穌基督的愛和救贖,我們能夠聚在一起。
[00:01:40.000 --> 00:01:47.000]  你和我就是教會的一份子,你和我就聯合在一起成爲教會。
[00:01:47.000 --> 00:01:58.000]  所以我認爲教會應該是有生命力的,應該有充滿活潑盼望的,
[00:01:58.000 --> 00:02:03.000]  因爲你我都是活生生的人,對不對?
[00:02:06.000 --> 00:02:13.000]  活生生的人應該是有生命力,我們還是要充滿盼望。
[00:02:13.000 --> 00:02:20.000]  因爲耶穌來的時候是救贖醫治那些不健康的人。
[00:02:20.000 --> 00:02:29.000]  耶穌說我來是來醫治那些不健康的人才醫得這一生。
[00:02:29.000 --> 00:02:34.000]  我們已經被他救贖,被他醫治了。
[00:02:35.000 --> 00:02:40.000]  所以我們應該充滿盼望,我們應該充滿活力。
[00:02:40.000 --> 00:02:44.000]  這就是教會,這就是我們。
[00:02:44.000 --> 00:02:49.000]  可是很多的時候我們會問,
[00:02:49.000 --> 00:02:57.000]  教會有些信徒就會問,教會應該做什麼?
[00:02:57.000 --> 00:03:01.000]  教會應該做什麼?
[00:03:02.000 --> 00:03:06.000]  上個月我在晨曦禱告會里面分享的時候,
[00:03:06.000 --> 00:03:13.000]  在那個Dawn Service,晨曦禱告會的時候,
[00:03:13.000 --> 00:03:19.000]  我說我們不要求神站在我們這一邊,
[00:03:19.000 --> 00:03:23.000]  我們不要一直跟說神啊,你要站在我這一邊。
[00:03:29.000 --> 00:03:32.000]  我們應該問我們自己,我們是否站在神那一邊?
[00:03:32.000 --> 00:03:39.000]  同樣今天我要大家再一次從神的角度來看,
[00:03:39.000 --> 00:03:44.000]  當我們問神應該做什麼的時候,
[00:03:44.000 --> 00:03:49.000]  教會應該爲神做什麼的時候,
[00:03:49.000 --> 00:03:55.000]  我們應該問神對教會的期望是什麼?
[00:03:58.000 --> 00:04:01.000]  神對你和我的期望是什麼?
[00:04:01.000 --> 00:04:06.000]  這是我們可以這樣反思的。
[00:04:06.000 --> 00:04:12.000]  我今天要從羅馬書第十二章裏面分爲三段,
[00:04:12.000 --> 00:04:15.000]  我們一起來反思神的三個期望。
[00:04:15.000 --> 00:04:22.000]  第一個神的期望是什麼?
[00:04:22.000 --> 00:04:27.000]  神的期望就是要我們保持聖潔。
[00:04:29.000 --> 00:04:32.000]  神的期望就是要我們保持聖潔。
[00:04:32.000 --> 00:04:41.000]  我們來讀第一和第二節,我們請讀英文的來讀。
[00:04:58.000 --> 00:05:03.000]  第一和第二節
[00:05:03.000 --> 00:05:24.000]  保羅在這兩節裏面講說,我們信徒應該活出怎樣的一個生命。
[00:05:27.000 --> 00:05:30.000]  有一句話怎麼說?信仰生活化。
[00:05:30.000 --> 00:05:36.000]  生活基督化。
[00:05:36.000 --> 00:05:42.000]  意思是我們的信仰是從我們的生活表現出來的。
[00:05:42.000 --> 00:05:50.000]  而我們表現出來的時候,應該是讓人家看到我們是信耶穌基督的。
[00:05:54.000 --> 00:05:57.000]  想想我們活的是怎樣的一個生命。
[00:05:57.000 --> 00:06:03.000]  有時我們不敢在人的面前說我是基督徒。
[00:06:03.000 --> 00:06:10.000]  因爲我們沒有活出耶穌基督的生命,所以不敢說你是基督徒。
[00:06:10.000 --> 00:06:18.000]  所以我們傳福音就不敢給人家傳福音了。
[00:06:21.000 --> 00:06:24.000]  或者是你的生命和生活。
[00:06:24.000 --> 00:06:30.000]  人家看到說像你這樣的人是基督徒。
[00:06:30.000 --> 00:06:38.000]  我寧願下地獄我也不要成爲基督徒。
[00:06:38.000 --> 00:06:46.000]  爲什麼?就是因爲我們沒有活出一個基督的生命。
[00:06:50.000 --> 00:06:55.000]  所以保羅在這裏告訴我們,我們要活出怎樣的一個生命。
[00:06:55.000 --> 00:07:02.000]  他講到的是一個聖潔的生活。
