
[00:00:00.000 --> 00:00:02.400]  看耶穌這一段經文
[00:00:02.400 --> 00:00:05.280]  正是整卷《約翰福音》所要說到的
[00:00:05.280 --> 00:00:07.720]  祂要爲我們來犧牲
[00:00:07.720 --> 00:00:09.240]  釘在十字架
[00:00:09.240 --> 00:00:11.880]  整個過程要表達的
[00:00:11.880 --> 00:00:13.680]  祂是這位耶穌
[00:00:13.680 --> 00:00:15.680]  就是猶太人的王
[00:00:15.680 --> 00:00:18.600]  就是全人類的大君王
[00:00:18.600 --> 00:00:21.000]  這個犧牲的過程
[00:00:21.000 --> 00:00:24.000]  又是彰顯祂是神的兒子
[00:00:24.000 --> 00:00:26.040]  那位的羔羊
[00:00:26.040 --> 00:00:27.720]  除去世人罪孽
[00:00:27.720 --> 00:00:33.720]  如果你按主題的思路去看的話
[00:00:33.720 --> 00:00:36.880]  耶穌既然是一個王的話
[00:00:36.880 --> 00:00:40.400]  跟我們世界上的皇帝
[00:00:40.400 --> 00:00:42.760]  或者是那些皇室成員
[00:00:42.760 --> 00:00:45.080]  祂去到任何公衆的地方
[00:00:45.080 --> 00:00:46.280]  你會發現怎樣
[00:00:46.280 --> 00:00:48.480]  有什麼人跟着祂
[00:00:48.480 --> 00:00:51.520]  是有些保鏢
[00:00:51.520 --> 00:00:53.680]  有那些所謂的隨從
[00:00:53.680 --> 00:00:56.560]  因爲這些是貴賓
[00:00:56.560 --> 00:00:59.520]  是國家要保護的
[00:00:59.520 --> 00:01:01.960]  但我們今天看這段經文
[00:01:01.960 --> 00:01:05.880]  你卻發現一件很重要的線索
[00:01:05.880 --> 00:01:08.400]  就是整段經文的脈絡
[00:01:08.400 --> 00:01:10.280]  每一個的情節
[00:01:10.280 --> 00:01:12.600]  都告訴我們
[00:01:12.600 --> 00:01:15.160]  都是按照經上所說
[00:01:15.160 --> 00:01:16.560]  即是說一早
[00:01:16.560 --> 00:01:18.040]  幾百年之前
[00:01:18.040 --> 00:01:19.760]  耶穌未出世之前
[00:01:19.760 --> 00:01:21.560]  在舊約的聖經裏面
[00:01:21.560 --> 00:01:25.760]  那些先知預言的這些很細節的地方
[00:01:25.760 --> 00:01:27.520]  都告訴我們
[00:01:27.520 --> 00:01:30.480]  原來耶穌基督就是要來的
[00:01:30.480 --> 00:01:32.360]  那個真正的尼賽亞
[00:01:32.360 --> 00:01:34.360]  祂爲我們的死
[00:01:34.360 --> 00:01:36.520]  原來都是上帝定義的
[00:01:36.520 --> 00:01:38.600]  要將祂壓傷的
[00:01:38.600 --> 00:01:40.880]  試問這個世界今天有哪個VIP
[00:01:40.880 --> 00:01:42.080]  哪個皇帝
