
[00:00:00.000 --> 00:00:04.720]  今天我們來到馬太福音的時間
[00:00:04.720 --> 00:00:07.600]  因爲你還記得的時候
[00:00:07.600 --> 00:00:13.040]  我們整年都在看馬太福音這一段經文
[00:00:13.040 --> 00:00:15.280]  但是經文都頗長
[00:00:15.280 --> 00:00:16.320]  所以弟兄姊妹
[00:00:16.320 --> 00:00:18.080]  如果你是有聖經的
[00:00:18.080 --> 00:00:20.960]  請你打開十八、十九、二十章
[00:00:20.960 --> 00:00:24.200]  我們都會涉獵了三章的經文
[00:00:24.200 --> 00:00:27.520]  大家都搬到亂七八糟了
[00:00:27.520 --> 00:00:29.520]  不如重溫一下
[00:00:29.520 --> 00:00:32.400]  馬太福音其實是在講天國的福音
[00:00:32.400 --> 00:00:34.040]  大家還記得這個詞
[00:00:34.040 --> 00:00:35.880]  我們走過的日子
[00:00:35.880 --> 00:00:38.120]  從耶穌基督一開始
[00:00:38.120 --> 00:00:41.120]  親自宣講什麼是天國
[00:00:41.120 --> 00:00:42.760]  什麼人適合天國
[00:00:42.760 --> 00:00:45.640]  然後一輪是講
[00:00:45.640 --> 00:00:50.360]  祂如何用神的旗幟證明神的國
[00:00:50.360 --> 00:00:54.280]  接着我們會接觸到耶穌親自呼召門徒
[00:00:54.280 --> 00:00:55.480]  如果你還記得
[00:00:55.480 --> 00:00:58.480]  還在挑戰哪些是真的門徒
[00:00:58.480 --> 00:01:00.760]  哪些是假的門徒
[00:01:00.760 --> 00:01:01.960]  而彼得很好
[00:01:01.960 --> 00:01:04.720]  在中段就幫我們做了一個很好的認訊
[00:01:04.720 --> 00:01:07.440]  就是你是永生神的兒子
[00:01:07.440 --> 00:01:08.440]  但如果你還記得
[00:01:08.440 --> 00:01:11.040]  在當初的講道里面都提醒了
[00:01:11.040 --> 00:01:14.080]  其實彼得和那些門徒當時都不明白自己在講什麼
[00:01:14.080 --> 00:01:16.960]  因爲他們想着那個尼賽亞
[00:01:16.960 --> 00:01:20.320]  和真正在地上出現受苦的基督
[00:01:20.320 --> 00:01:22.400]  是一段很大的距離
[00:01:22.400 --> 00:01:27.280]  接着就來到我們現在這個篇章
[00:01:27.280 --> 00:01:30.480]  這段經文去到這個位置的時候
[00:01:30.480 --> 00:01:34.000]  耶穌是一個臨死之前一段時間
[00:01:34.000 --> 00:01:36.480]  和門徒一起之間的生活
[00:01:36.480 --> 00:01:40.320]  都是一些針對基督徒的教訓
[00:01:40.320 --> 00:01:41.880]  我覺得上帝對我們很好
[00:01:41.880 --> 00:01:44.720]  在我們年頭談馬太福音的時候
[00:01:44.720 --> 00:01:46.920]  我們沒有想過我們當中會遷堂
[00:01:46.920 --> 00:01:49.280]  但偏偏去到現在這個時刻
[00:01:49.280 --> 00:01:51.200]  就是在這段經文裏面
[00:01:51.200 --> 00:01:52.400]  是很適合我們
[00:01:52.400 --> 00:01:54.360]  真的預備我們自己的心
[00:01:54.360 --> 00:01:56.160]  這段經文在講什麼呢
[00:01:56.160 --> 00:01:59.120]  原來上帝不僅是在他的道里面
[00:01:59.120 --> 00:02:01.440]  在宣講裏面去彰顯天國
[00:02:01.440 --> 00:02:05.280]  也不僅是在權能依治裏面去彰顯天國
[00:02:05.280 --> 00:02:06.120]  和旁邊的人說
[00:02:06.120 --> 00:02:11.480]  上帝要在我們當中去彰顯天國
[00:02:11.480 --> 00:02:13.280]  馬太福音是一個很重要的主線
[00:02:13.280 --> 00:02:15.160]  是在講以馬來的神
[00:02:15.160 --> 00:02:17.560]  神如何與人同在呢
[00:02:17.560 --> 00:02:21.560]  當耶穌基督將要受死昇天的時候
[00:02:21.560 --> 00:02:23.720]  再沒有耶穌會在這個地上
[00:02:23.720 --> 00:02:26.240]  但耶穌要透過一羣門徒
[00:02:26.240 --> 00:02:27.680]  就是一羣信祂的人
[00:02:27.680 --> 00:02:31.400]  這個羣體來彰顯祂的榮耀
[00:02:31.400 --> 00:02:36.000]  所以前後已經講了兩個段落
[00:02:36.000 --> 00:02:37.200]  第一個段落就提到
[00:02:37.200 --> 00:02:40.280]  我們成爲天國子民是需要一些特質的
[00:02:40.280 --> 00:02:42.960]  我們如何謙卑尋求神
[00:02:42.960 --> 00:02:44.720]  我們如何彼此饒恕
[00:02:44.720 --> 00:02:47.640]  這些價值觀和外面的世界
[00:02:47.640 --> 00:02:49.960]  是有很大的落差的
[00:02:49.960 --> 00:02:53.000]  剛剛對上那篇就更加困難了
[00:02:53.000 --> 00:02:56.920]  因爲怎樣也要提到所謂婚姻的問題
[00:02:56.920 --> 00:02:58.960]  我還記得我們特意拿了一段出來
[00:02:58.960 --> 00:03:01.000]  起碼先講了什麼是神性婚姻
[00:03:01.000 --> 00:03:02.440]  在預備廣場的時候
[00:03:02.440 --> 00:03:03.440]  同工之間都很擔心
[00:03:03.440 --> 00:03:04.840]  這篇怎麼講
[00:03:04.840 --> 00:03:07.960]  我們一講這些東西就好像很不中聽
[00:03:07.960 --> 00:03:08.920]  因爲很多時候
[00:03:08.920 --> 00:03:10.280]  在姐妹未信主之前
[00:03:10.280 --> 00:03:11.840]  他們可能已經離了婚
[00:03:11.840 --> 00:03:13.560]  婚姻都已經有很多困難
[00:03:13.560 --> 00:03:14.720]  又或者本身
[00:03:14.720 --> 00:03:18.480]  如果我們在想上帝的要求
[00:03:18.480 --> 00:03:20.320]  我們很多都已經犯了罪
[00:03:20.320 --> 00:03:21.600]  罪感恩是什麼呢
[00:03:21.600 --> 00:03:24.040]  就是那個星期我們不用討論廣場
[00:03:24.040 --> 00:03:26.560]  所以大家心裏都放鬆了一下
[00:03:26.560 --> 00:03:27.640]  這次這篇也好
[00:03:27.640 --> 00:03:30.120]  我們下個星期也不用討論廣場
[00:03:30.120 --> 00:03:32.920]  但是上帝想跟我們講些什麼呢
[00:03:32.920 --> 00:03:35.480]  神的道好像有時候很難聽
[00:03:35.480 --> 00:03:36.880]  但是某程度上來講
