
[00:00:00.000 --> 00:00:04.500]  今天我要跟各位分享的信息是我每個月第一個禮拜就要分享的
[00:00:04.500 --> 00:00:08.500]  就是新的意向、新的恩告
[00:00:08.500 --> 00:00:13.000]  記得當我們進入2018年的時候
[00:00:13.000 --> 00:00:15.500]  就是5778年
[00:00:15.500 --> 00:00:17.500]  那麼就是今年的意向
[00:00:17.500 --> 00:00:19.500]  因為七是一個完全
[00:00:19.500 --> 00:00:22.000]  八就是一個新的開始
[00:00:22.000 --> 00:00:25.000]  所以我們就是要有一個新的意向
[00:00:25.000 --> 00:00:27.000]  有一個新的恩告
[00:00:27.000 --> 00:00:28.500]  我記得我在一月的時候
[00:00:28.500 --> 00:00:31.500]  我第一次講的時候我特別說
[00:00:31.500 --> 00:00:37.000]  我們要來面對神挑戰的一個季節
[00:00:37.000 --> 00:00:40.000]  因為在這新的一年
[00:00:40.000 --> 00:00:42.500]  不是說我們就歡歡喜喜
[00:00:42.500 --> 00:00:45.500]  高高興興快快樂樂來領受
[00:00:45.500 --> 00:00:49.000]  乃是新的挑戰要來
[00:00:49.000 --> 00:00:52.500]  甚至於有新的危機、新的困難
[00:00:52.500 --> 00:00:55.000]  但是危機就是轉機
[00:00:55.000 --> 00:00:59.500]  困難我們克服了就讓我們再次升高
[00:00:59.500 --> 00:01:04.500]  所以我們進入一個新的一個年代
[00:01:04.500 --> 00:01:06.500]  新的季節
[00:01:06.500 --> 00:01:11.500]  但是我們要敏銳神季節的轉換
[00:01:11.500 --> 00:01:15.500]  比如說當我們冬天來的時候
[00:01:15.500 --> 00:01:19.500]  我們要記得要當心不要中了流感
[00:01:19.500 --> 00:01:22.500]  注意要穿衣服不要著了涼
[00:01:22.500 --> 00:01:26.000]  當我們夏天的時候要注意蚊蟲
[00:01:26.000 --> 00:01:27.000]  不要吃壞了肚子
[00:01:27.000 --> 00:01:30.000]  所以對我們神進入一個新的季節
[00:01:30.000 --> 00:01:33.000]  我們也要來敏銳一個神
[00:01:33.000 --> 00:01:36.000]  祂的一個新的季節的開始
[00:01:36.000 --> 00:01:42.000]  同時我們要明白神供應的原則
[00:01:42.000 --> 00:01:44.000]  我不止一次說過
[00:01:44.000 --> 00:01:50.000]  神供應我們往往不是現成的果實
[00:01:50.000 --> 00:01:53.000]  祂有的時候供應我們的是種子
[00:01:53.000 --> 00:01:58.000]  所以要由我們去灌溉耕耘、殺種
[00:01:58.000 --> 00:02:00.500]  還有除蟲還有除草
[00:02:00.500 --> 00:02:04.000]  然後就準備再來收割等
[00:02:04.000 --> 00:02:07.000]  所以這是神供應的原則
[00:02:07.000 --> 00:02:11.000]  我們努力的工作、辛勤的工作
[00:02:11.000 --> 00:02:13.000]  我們在求神保守
[00:02:13.000 --> 00:02:17.000]  讓我們有三十倍、六十倍、一百倍的祝福
[00:02:17.000 --> 00:02:20.000]  當然了在那之前
[00:02:20.000 --> 00:02:23.000]  我們還需要有許多的耐心的等候
[00:02:23.000 --> 00:02:26.000]  全人的來配合神
[00:02:26.000 --> 00:02:28.000]  因為祂是神
[00:02:28.000 --> 00:02:30.000]  我們是人
[00:02:30.000 --> 00:02:31.000]  我都一直在講
[00:02:31.000 --> 00:02:34.000]  今天我再講一次
[00:02:34.000 --> 00:02:36.000]  我們姓神
[00:02:36.000 --> 00:02:39.000]  有所謂叫貓神學
[00:02:39.000 --> 00:02:41.000]  有所謂叫狗神學
[00:02:41.000 --> 00:02:44.000]  狗神學是說神啊
[00:02:44.000 --> 00:02:46.000]  你是偉大奇妙神
[00:02:46.000 --> 00:02:50.000]  你供應我、你愛我、你保守我、你帶領我
[00:02:50.000 --> 00:02:52.000]  所以你是我的神
[00:02:52.000 --> 00:02:54.000]  貓神學是說神啊
[00:02:54.000 --> 00:02:55.000]  你是偉大奇妙神
[00:02:55.000 --> 00:02:58.000]  你供應我、保守我、帶領我、你愛我
[00:02:58.000 --> 00:03:01.000]  所以我是你的神
[00:03:01.000 --> 00:03:03.000]  讓我們能夠再一次知道
[00:03:03.000 --> 00:03:09.000]  我們怎麼樣來敬拜、讚美我們的神
[00:03:09.000 --> 00:03:12.000]  不要把神當作是拜拜一樣
[00:03:12.000 --> 00:03:14.000]  好像我來到祂面前向祂來求
[00:03:14.000 --> 00:03:17.000]  從祂內裡來領受恩典與祝福
[00:03:17.000 --> 00:03:19.000]  那是祂要給我們的
[00:03:19.000 --> 00:03:22.000]  但是我們也有我們的功課要做
[00:03:22.000 --> 00:03:23.000]  一、二月
[00:03:23.000 --> 00:03:27.000]  我說我們要來領受展翅上登的恩高
[00:03:27.000 --> 00:03:29.000]  就是如影展翅上登
[00:03:29.000 --> 00:03:31.000]  我們要知道
[00:03:31.000 --> 00:03:33.000]  神
[00:03:33.000 --> 00:03:35.000]  祂的祭節來到的時候
[00:03:35.000 --> 00:03:38.000]  或者神聖靈的風吹來的時候
[00:03:38.000 --> 00:03:40.000]  我們如何抓住這個機會
[00:03:40.000 --> 00:03:43.000]  能夠乘風而上
[00:03:43.000 --> 00:03:46.000]  我們仍然要繼續的
[00:03:46.000 --> 00:03:50.000]  也講到領受耶穌人的恩高等等
[00:03:50.000 --> 00:03:52.000]  還有復活大能的恩高
[00:03:52.000 --> 00:03:54.000]  還有突破的恩高
[00:03:54.000 --> 00:03:58.000]  以及戰勝巨人的恩高
[00:03:58.000 --> 00:04:03.000]  今天我要跟各位來分享的是
[00:04:03.000 --> 00:04:07.000]  我們要來勝過環境
[00:04:07.000 --> 00:04:09.000]  勝過世界的恩高
[00:04:09.000 --> 00:04:11.000]  我們怎麼樣來勝過環境
[00:04:11.000 --> 00:04:14.000]  勝過這個世界
[00:04:14.000 --> 00:04:16.000]  讓我們先從一個
[00:04:16.000 --> 00:04:19.000]  一個童話故事開始好不好
[00:04:19.000 --> 00:04:22.000]  把它放成那個大的那個
[00:04:22.000 --> 00:04:24.000]  那個這個螢幕把它放一下
[00:04:24.000 --> 00:04:27.000]  謝謝你
[00:04:27.000 --> 00:04:29.000]  這個看到這個螢幕
[00:04:29.000 --> 00:04:31.000]  你們覺得這是什麼電影啊
