
[00:00:00.000 --> 00:00:04.360]  我們中國人有一句話叫做半老殺出個情口金
[00:00:04.360 --> 00:00:06.360]  有沒有人未聽過這句話?
[00:00:06.360 --> 00:00:08.360]  應該沒有吧 每個人都聽過
[00:00:08.360 --> 00:00:11.120]  這句話的意思其實就是說
[00:00:11.120 --> 00:00:12.960]  在日常的生活裏面
[00:00:12.960 --> 00:00:17.600]  本來一件按照計劃來執行的事情
[00:00:17.600 --> 00:00:20.240]  突然就出現一個意想不到的人
[00:00:20.240 --> 00:00:25.840]  令到整件事的進行不順利或者出差錯
[00:00:25.840 --> 00:00:29.880]  上一次我們說到路德記第三
[00:00:29.880 --> 00:00:31.880]  第三章的時候
[00:00:31.880 --> 00:00:38.720]  我們說到路德的婆婆南奧米
[00:00:38.720 --> 00:00:43.600]  她為了這個媳婦可以找到一個好歸宿
[00:00:43.600 --> 00:00:48.000]  她就教她晚上的時候去到和祥那裏
[00:00:48.000 --> 00:00:52.160]  因為我們有一個近親叫做波亞斯
[00:00:52.160 --> 00:00:55.520]  你去那裏告訴她 向她求愛
[00:00:55.520 --> 00:00:57.880]  令人很興奮的就是
[00:00:57.880 --> 00:01:03.320]  當路德真的跟著婆婆的指引去做的時候
[00:01:03.320 --> 00:01:06.240]  他向波亞斯主動求婚
[00:01:06.240 --> 00:01:08.640]  得到很正面的回應
[00:01:08.640 --> 00:01:10.640]  波亞斯就跟她說
[00:01:10.640 --> 00:01:12.880]  我女兒 現在你不要怕
[00:01:12.880 --> 00:01:15.480]  你所說的我一定去做
[00:01:15.480 --> 00:01:19.920]  本城的人都知道你是個賢慧的女人
[00:01:19.920 --> 00:01:23.480]  既然神女有心 商王又有夢
[00:01:23.480 --> 00:01:27.200]  事情應該很快就大團圓結局了
[00:01:27.200 --> 00:01:31.040]  聖經作者應該就好像童話故事一樣
[00:01:31.040 --> 00:01:33.040]  在最後加一句就是
[00:01:33.040 --> 00:01:38.080]  波亞斯和路德從此以後就幸福快樂地生活了
[00:01:38.080 --> 00:01:40.080]  就結束了路德記
[00:01:40.080 --> 00:01:44.240]  今天我們讀路德記就可以讀少一章
