
[00:00:00.000 --> 00:00:04.000]  (主席)今天我們研究的經文就是剛剛我們所讀完那一段經文
[00:00:04.000 --> 00:00:06.000]  《羅馬書》的第六章
[00:00:06.000 --> 00:00:09.000]  我們只是研究了九節的聖經
[00:00:09.000 --> 00:00:11.000]  第十五節至到二十三節
[00:00:11.000 --> 00:00:13.000]  但是大家如果有聖經的話
[00:00:13.000 --> 00:00:15.000]  我都很希望你能夠打開聖經
[00:00:15.000 --> 00:00:17.000]  一手打開聖經
[00:00:17.000 --> 00:00:23.000]  一手打開我們今天的程序單裏面的講章的大綱
[00:00:23.000 --> 00:00:25.000]  由第三頁到第五頁
[00:00:25.000 --> 00:00:29.000]  我們一起來思想今天這段很重要的經文
[00:00:29.000 --> 00:00:31.000]  因為我們不單止這段聖經
[00:00:31.000 --> 00:00:35.000]  一會兒我們會引用《羅馬書》的第七章、第八章
[00:00:35.000 --> 00:00:36.000]  所以如果有的話
[00:00:36.000 --> 00:00:41.000]  到時你看到的時候就有很直接的了解
[00:00:41.000 --> 00:00:49.000]  我們在這段日子裏面
[00:00:49.000 --> 00:00:50.000]  好像剛才我們的禱告
[00:00:50.000 --> 00:00:51.000]  紀念香港的中環
[00:00:51.000 --> 00:00:53.000]  我們紀念香港的情況
[00:00:53.000 --> 00:00:55.000]  雖然我們在遠方
[00:00:55.000 --> 00:00:58.000]  我們發覺我們是有很多的失望
[00:00:58.000 --> 00:01:00.000]  我們對人很多的失望
[00:01:00.000 --> 00:01:02.000]  我們有很多的憤怒
[00:01:02.000 --> 00:01:06.000]  我們甚至不單止在遠方的香港
[00:01:06.000 --> 00:01:07.000]  在中國
[00:01:07.000 --> 00:01:08.000]  我們在我們周圍
[00:01:08.000 --> 00:01:09.000]  在加拿大
[00:01:09.000 --> 00:01:10.000]  在多倫多這個地方
[00:01:10.000 --> 00:01:13.000]  我們其實都見到很多人的醜惡
[00:01:13.000 --> 00:01:15.000]  我希望我們今天早上
[00:01:15.000 --> 00:01:18.000]  除了我們看見這些人的醜惡的事實
[00:01:18.000 --> 00:01:22.000]  我們看見那些人所犯的錯之外
[00:01:22.000 --> 00:01:24.000]  今天我們同樣的
[00:01:24.000 --> 00:01:25.000]  有一個很大膽
[00:01:25.000 --> 00:01:27.000]  很坦誠的態度
[00:01:27.000 --> 00:01:30.000]  看回你和我自己的內心
[00:01:30.000 --> 00:01:31.000]  今天這段聖經
[00:01:31.000 --> 00:01:32.000]  如果你問我
[00:01:32.000 --> 00:01:34.000]  我覺得是一個很嚴肅
[00:01:34.000 --> 00:01:37.000]  是很重要很重要的宣佈
[00:01:37.000 --> 00:01:38.000]  是關於你
[00:01:38.000 --> 00:01:40.000]  關於我個人
[00:01:40.000 --> 00:01:41.000]  內心
[00:01:41.000 --> 00:01:45.000]  人性裏面一個很重要的真相
[00:01:45.000 --> 00:01:48.000]  如果你說基督教所講的是福音
[00:01:48.000 --> 00:01:51.000]  福音英文其實就是good news
[00:01:51.000 --> 00:01:52.000]  好消息
[00:01:52.000 --> 00:01:53.000]  有什麼好消息呢
[00:01:53.000 --> 00:01:56.000]  今天這段聖經雖然短短的九節
[00:01:56.000 --> 00:01:59.000]  就是在講一個很重要的好消息
[00:01:59.000 --> 00:02:00.000]  什麼呢
[00:02:00.000 --> 00:02:02.000]  一會兒我跟大家說
[00:02:02.000 --> 00:02:04.000]  這個好消息是關於你
[00:02:04.000 --> 00:02:05.000]  關於我
[00:02:05.000 --> 00:02:07.000]  但是需要你和我
[00:02:07.000 --> 00:02:09.000]  存一個很坦誠的心
[00:02:09.000 --> 00:02:10.000]  今天我不會要求大家
[00:02:10.000 --> 00:02:12.000]  你舉手告訴我你發生了什麼事
[00:02:12.000 --> 00:02:13.000]  但是你自己知道
[00:02:13.000 --> 00:02:14.000]  你知道
[00:02:14.000 --> 00:02:15.000]  天地的主在知
[00:02:15.000 --> 00:02:17.000]  如果今天我們當中有
[00:02:17.000 --> 00:02:20.000]  未成為基督徒的朋友的話
[00:02:20.000 --> 00:02:22.000]  我們歡迎你來聽一聽
[00:02:22.000 --> 00:02:23.000]  來看一看
[00:02:23.000 --> 00:02:25.000]  也都希望你能夠誠意的
[00:02:25.000 --> 00:02:27.000]  打開你的誠心
[00:02:27.000 --> 00:02:28.000]  來看一看
[00:02:28.000 --> 00:02:30.000]  今天我們在聖經裏面
[00:02:30.000 --> 00:02:31.000]  所講到的事實
[00:02:31.000 --> 00:02:33.000]  是不是就是你的事實
