
[00:00:00.000 --> 00:00:03.820]  我想大家在你的人生的經歷裏面
[00:00:03.820 --> 00:00:09.200]  去選擇兩幅圖畫或者是兩個片段
[00:00:09.200 --> 00:00:11.460]  當你與神最親近的時候
[00:00:11.460 --> 00:00:18.460]  你會想起你人生的什麼片段和什麼圖畫
[00:00:18.460 --> 00:00:20.240]  第二個就是
[00:00:20.240 --> 00:00:23.640]  當你人生裏面經歷很害怕的時候
[00:00:23.640 --> 00:00:29.400]  你會想起你的什麼片段和什麼圖畫呢
[00:00:29.400 --> 00:00:32.240]  很親近的時候有些人會想起什麼呢
[00:00:32.240 --> 00:00:35.120]  想起當然是來到教會裏面敬拜
[00:00:35.120 --> 00:00:38.160]  唱詩的時候很親近
[00:00:38.160 --> 00:00:39.880]  有些人會想起
[00:00:39.880 --> 00:00:43.280]  一些片段就是當他去到一個海邊
[00:00:43.280 --> 00:00:46.320]  看著海 看著天空的時候
[00:00:46.320 --> 00:00:50.800]  他覺得在那時候他與上帝是最親近的
[00:00:50.800 --> 00:00:52.200]  有些人覺得
[00:00:52.200 --> 00:00:53.960]  我聽過一個人說
[00:00:53.960 --> 00:00:55.360]  他坐不穩的
[00:00:55.360 --> 00:00:58.720]  當他去做運動或者去行山的時候
[00:00:58.720 --> 00:01:00.920]  他覺得神與他在一起
[00:01:00.920 --> 00:01:05.280]  他覺得他那一刻與神是最親近的
[00:01:05.280 --> 00:01:06.560]  有些人覺得
[00:01:06.560 --> 00:01:09.200]  當他離開去工作的地方
[00:01:09.200 --> 00:01:11.480]  走到郊外的時間
[00:01:11.480 --> 00:01:16.280]  那一刻就是上帝與他同行的時間
[00:01:16.280 --> 00:01:17.920]  而我呢
[00:01:17.920 --> 00:01:20.800]  我與神最親近的片段是什麼呢
[00:01:20.800 --> 00:01:22.760]  就是我早上
[00:01:22.760 --> 00:01:25.240]  逼火車的時候
[00:01:25.240 --> 00:01:29.160]  我經常說火車的經歷
[00:01:29.160 --> 00:01:31.680]  火車有兩段時間是逼死你的
[00:01:31.680 --> 00:01:33.040]  就是早上和晚上的時間
[00:01:33.040 --> 00:01:36.440]  但我偏偏就在早上最逼的時間
[00:01:36.440 --> 00:01:38.440]  與神最親近
[00:01:38.440 --> 00:01:40.240]  因為我在那一刻
[00:01:40.240 --> 00:01:42.280]  有一段長一點的時間
[00:01:42.280 --> 00:01:43.520]  有一個小時的時間
[00:01:43.520 --> 00:01:46.320]  我可以聽著詩歌
[00:01:46.320 --> 00:01:50.680]  在窗口裏面看到吐露港的景色
[00:01:50.680 --> 00:01:52.320]  每一朝的吐露港景色
[00:01:52.320 --> 00:01:55.760]  詩太陽射下來的時候 我覺得上帝一直顯現
[00:01:55.760 --> 00:01:57.120]  我凝望的時間
[00:01:57.120 --> 00:01:59.400]  我心裏面聽著詩歌去敬拜
[00:01:59.400 --> 00:02:01.720]  我覺得那一刻與神最親近
[00:02:01.720 --> 00:02:03.760]  因為我將那一天的侍奉
[00:02:03.760 --> 00:02:05.960]  我所記掛的一切
[00:02:05.960 --> 00:02:09.480]  都在那一刻交託給上帝
[00:02:09.480 --> 00:02:13.080]  有時上帝會叫我看看車廂裏的人
[00:02:13.080 --> 00:02:15.320]  他們是怎樣的
[00:02:15.320 --> 00:02:19.120]  就會讓我去想起一群失散的靈魂
[00:02:19.120 --> 00:02:21.520]  你們呢
[00:02:21.520 --> 00:02:23.480]  當你們與神最親近的時候
[00:02:23.480 --> 00:02:26.600]  你會想起什麼片段呢
[00:02:26.600 --> 00:02:28.320]  另外一幅圖畫
[00:02:28.320 --> 00:02:29.600]  最害怕的時候
[00:02:29.600 --> 00:02:32.480]  人生經歷裏面最害怕的時候
[00:02:32.480 --> 00:02:34.880]  會想起什麼片段呢
