
[00:00:00.000 --> 00:00:05.000]  復古慶再次能夠在當中跟大家分享聖經寶的話語
[00:00:05.000 --> 00:00:07.000]  今天跟大家分享的是
[00:00:07.000 --> 00:00:12.000]  《老九福音》第十六章14至18節這個段落
[00:00:12.000 --> 00:00:16.000]  這個段落是接著之前的一個耶穌的比喻
[00:00:16.000 --> 00:00:19.000]  一個大家很熟悉的比喻
[00:00:19.000 --> 00:00:23.000]  就是不二管家的比喻
[00:00:23.000 --> 00:00:27.000]  講完這個比喻之後就接著這個段落
[00:00:27.000 --> 00:00:32.000]  這個段落我會從貪婪的角度去切入
[00:00:32.000 --> 00:00:35.000]  貪婪是這個段落的論述的焦點
[00:00:35.000 --> 00:00:41.000]  主耶穌很明顯地回應了法利塞人自以為是的態度
[00:00:41.000 --> 00:00:46.000]  同時也將他們因為內心的惡而導致的後果
[00:00:46.000 --> 00:00:49.000]  以一個暗喻的手法展示出來
[00:00:49.000 --> 00:00:54.000]  我分享的重心就集中在耶穌所發出的警告
[00:00:54.000 --> 00:00:58.000]  這個警告為我們帶來一個怎樣的反省
[00:00:58.000 --> 00:01:03.000]  讓我們一起先來祈禱
[00:01:03.000 --> 00:01:05.000]  著求祢的靈與我們同在
[00:01:05.000 --> 00:01:10.000]  讓我們一起來領受主祢的話語
[00:01:10.000 --> 00:01:12.000]  耶穌基督祢寶貴的話語
[00:01:12.000 --> 00:01:16.000]  豐豐富富地印在聖經當中
[00:01:16.000 --> 00:01:19.000]  成為我們的提醒與鼓勵
[00:01:19.000 --> 00:01:26.000]  求祢讓我們同在,禱告奉耶穌基督聖名祈求,阿們
[00:01:26.000 --> 00:01:31.000]  貪婪這是人性最大的問題
[00:01:31.000 --> 00:01:40.000]  貪婪背後一個重要的原因是缺乏安全感,不滿足
[00:01:40.000 --> 00:01:44.000]  所以怎樣去處理貪婪的問題
[00:01:44.000 --> 00:01:47.000]  我會從兩個角度去理解
[00:01:47.000 --> 00:01:50.000]  第一,要有自知之明
[00:01:50.000 --> 00:01:53.000]  知道我是怎樣的一回事
[00:01:53.000 --> 00:01:59.000]  第二,就是要懂得去轉念,轉變方向
[00:01:59.000 --> 00:02:05.000]  聖經很有意思地記載了人性裡面的限制
[00:02:05.000 --> 00:02:14.000]  《曾言》三十篇第七節到第九節就有這樣的記載
[00:02:14.000 --> 00:02:18.000]  作者很有智慧地說
[00:02:18.000 --> 00:02:23.000]  求祢在我未死之先,不要拒絕我
[00:02:23.000 --> 00:02:26.000]  求祢使虛假和謊言遠離我
[00:02:26.000 --> 00:02:30.000]  使我不貧窮也不富足,賜給我需要的飲食
[00:02:30.000 --> 00:02:34.000]  免得我飽足了就不認祢,說也或是誰呢
[00:02:34.000 --> 00:02:40.000]  又恐怕我貧窮就偷竊,以致褻瀆我神的名
[00:02:40.000 --> 00:02:46.000]  《曾言》的智者講出了人在生活上要面對的挑戰
[00:02:46.000 --> 00:02:49.000]  能夠穩定是最重要
[00:02:49.000 --> 00:02:55.000]  但是很微妙地,怎樣去看何謂貧窮和富足呢
[00:02:55.000 --> 00:03:01.000]  《曾言》的智者就說,我要重視祢
[00:03:01.000 --> 00:03:06.000]  當我重視祢的時候,我就知道何謂貧窮和富足
