
[00:00:00.000 --> 00:00:02.000]  各位兄弟妹妹,平安!
[00:00:02.000 --> 00:00:04.000]  各位弟兄姐妹,平安!
[00:00:04.000 --> 00:00:10.000]  在上個主日,我們就一同思想馬太福音第一章裏面的家譜
[00:00:10.000 --> 00:00:15.000]  上個主日,我們一同思想馬太福音第一章的家譜
[00:00:15.000 --> 00:00:22.000]  今天,我們就思想馬太福音家譜之後的第一個段落的單元
[00:00:22.000 --> 00:00:28.000]  今天,我們要思想的是馬太福音家譜之後的第一個段落
[00:00:28.000 --> 00:00:31.000]  剛才主席讀出的經文就說
[00:00:31.000 --> 00:00:36.000]  經文說耶穌基督降生的事記在下面
[00:00:36.000 --> 00:00:40.000]  這裡說到耶穌基督降生的事記在下面
[00:00:40.000 --> 00:00:47.000]  馬太福音的作者在這個段落當中,想我們看到些什麼?
[00:00:47.000 --> 00:00:52.000]  馬太福音的作者在這個段落,想我們可以理解看到什麼呢?
[00:00:52.000 --> 00:00:58.000]  這個段落清楚表示「若失是個異人」
[00:00:58.000 --> 00:01:03.000]  這個段落清楚的說明「若失是個異人」
[00:01:03.000 --> 00:01:07.000]  異在馬太福音是一個很重要的主題
[00:01:07.000 --> 00:01:11.000]  異在馬太福音是一個很重要的主題
[00:01:11.000 --> 00:01:13.000]  英文是「righteousness」
[00:01:13.000 --> 00:01:15.000]  英文是「righteousness」
[00:01:15.000 --> 00:01:20.000]  而我們大家看到前面那一疊書,書名就叫做「異道」
[00:01:20.000 --> 00:01:26.000]  而我們大家看到前面那一疊書,書名就叫做「異道」
[00:01:26.000 --> 00:01:28.000]  「異的道路」
[00:01:28.000 --> 00:01:31.000]  為了了解「異」這個字多一點
[00:01:31.000 --> 00:01:35.000]  在希臘文的聖經字典中提出了三個解釋
[00:01:35.000 --> 00:01:39.000]  為了了了解「異」這個字多一點
[00:01:39.000 --> 00:01:42.000]  在希臘文的聖經字典中提出了三個解釋
[00:01:42.000 --> 00:01:44.000]  在希臘文的聖經字典中提出了三個解釋
[00:01:44.000 --> 00:01:48.000]  在希臘文的聖經字典中提出了三個解釋
[00:01:48.000 --> 00:01:53.000]  這個概括的認識也可能未必真真正正的解釋到今天的意義
[00:01:53.000 --> 00:01:57.000]  「異」講到人的一種公平,fairness
[00:01:57.000 --> 00:01:59.000]  「異」講到人的一種公平
[00:01:59.000 --> 00:02:03.000]  如果一個人願意拯救另外一個人,就是「異」了
[00:02:03.000 --> 00:02:07.000]  如果一個人願意拯救另外一個人,就是「異」了
[00:02:07.000 --> 00:02:12.000]  「異」也可以講到一個人的品格,一個正直的一種素質
[00:02:12.000 --> 00:02:17.000]  「異」也可以講到一個人的品格,一個正直的素質
[00:02:17.000 --> 00:02:23.000]  「異」這個字在華人文化裏面其實也有著很重要的意義
[00:02:23.000 --> 00:02:26.000]  「異」在華人文化裏面也有很重要的意義
[00:02:26.000 --> 00:02:29.000]  如果我問下大家,你想不想到
[00:02:29.000 --> 00:02:33.000]  甚麼四字詞語是有個「異」字的,你想不想到
[00:02:33.000 --> 00:02:36.000]  我想問問大家有四個字的成語裏面
[00:02:36.000 --> 00:02:39.000]  是有些甚麼包含「異」這個字的
[00:02:39.000 --> 00:02:42.000]  我一上網看就發現原來是多到數不完
[00:02:42.000 --> 00:02:45.000]  我上網查了一下,真的看也看不完
[00:02:45.000 --> 00:02:49.000]  讚人的就有「異博雲天」
[00:02:49.000 --> 00:02:52.000]  那稱讚人的有「異博雲天」
[00:02:52.000 --> 00:02:55.000]  很少聽,「異眾恩心」
[00:02:55.000 --> 00:02:57.000]  「異眾恩心」
[00:02:57.000 --> 00:03:00.000]  不過其實我發現「鬧人」的原來是多很多的
[00:03:00.000 --> 00:03:04.000]  我發現罵人的「異」的成語更加多
[00:03:04.000 --> 00:03:05.000]  「見利忘義」
[00:03:05.000 --> 00:03:06.000]  「見利忘義」
[00:03:06.000 --> 00:03:07.000]  「假仁假義」
[00:03:07.000 --> 00:03:08.000]  「假仁假義」
[00:03:08.000 --> 00:03:09.000]  「不信棄義」
[00:03:09.000 --> 00:03:11.000]  「不信棄義」
[00:03:11.000 --> 00:03:15.000]  不知道是不是罵人的用得多些,所以就比較多
[00:03:15.000 --> 00:03:19.000]  不知道是不是罵人的特別多,所以就特別多這個成語
[00:03:19.000 --> 00:03:23.000]  有時候我們聽到的就是可能在理解一件事情的時候
[00:03:23.000 --> 00:03:26.000]  都會聽過甚麼叫做「斷章取義」
[00:03:26.000 --> 00:03:29.000]  有時候當我們想要去理解一件事的時候
