
[00:00:00.000 --> 00:00:04.960]  讓我們先做一次同心的禱告
[00:00:04.960 --> 00:00:07.680]  上主我們要獻上感恩
[00:00:07.680 --> 00:00:11.760]  祢的愛讓我們今天能夠相聚
[00:00:11.760 --> 00:00:16.800]  祢更讓我們今天可以在這麼舒服的環境裡面去專心崇拜祢
[00:00:16.800 --> 00:00:20.240]  願祢讓我們真的去安靜、等候
[00:00:20.240 --> 00:00:23.360]  並且禱告求祢與我們同在
[00:00:23.360 --> 00:00:26.480]  又願僕人口中的言語與頂指勃之間的心思意念
[00:00:26.480 --> 00:00:30.680]  蒙聖名的啟迪、蒙主的月立、禱告奉耶穌基督的名
[00:00:30.680 --> 00:00:33.040]  Amen
[00:00:33.040 --> 00:00:33.760]  各位電視節目的觀眾朋友
[00:00:33.760 --> 00:00:35.680]  今天想跟大家分享這段經文
[00:00:35.680 --> 00:00:37.680]  剛剛林牧師去讀出
[00:00:37.680 --> 00:00:40.240]  你也可以翻開聖經去看一看
[00:00:40.240 --> 00:00:44.040]  《馬克福音》的第一章
[00:00:44.040 --> 00:00:47.400]  當我們在顯現期的第三個主日裡面
[00:00:47.400 --> 00:00:50.640]  我們去思考耶穌基督
[00:00:50.640 --> 00:00:53.160]  開始出來傳道一些事蹟
[00:00:53.160 --> 00:00:57.760]  今天這段經文就是剛剛耶穌一出來傳道
[00:00:57.760 --> 00:00:59.400]  第一件祂要做的事
[00:00:59.400 --> 00:01:00.360]  又或者這麼說
[00:01:00.360 --> 00:01:01.640]  當祂出來傳道的時候
[00:01:01.640 --> 00:01:05.960]  祂先去面對的第一班人就是祂的門徒
[00:01:05.960 --> 00:01:10.120]  所以這裡說的是耶穌基督去呼召這班門徒
[00:01:10.120 --> 00:01:12.080]  但在呼召門徒以先
[00:01:12.080 --> 00:01:13.760]  聖經裡面很清楚
[00:01:13.760 --> 00:01:20.520]  由十四節開始說就是耶穌基督宣講祂的信息是什麼
[00:01:20.520 --> 00:01:22.760]  《馬克福音》第一章第十四節這樣說
[00:01:22.760 --> 00:01:24.560]  當約翰下監之後
[00:01:24.560 --> 00:01:28.520]  耶穌去到加利利宣講上帝的福音
[00:01:28.520 --> 00:01:29.880]  祂就說
[00:01:29.880 --> 00:01:31.400]  日期滿了
[00:01:31.400 --> 00:01:33.920]  上帝的國近了
[00:01:33.920 --> 00:01:35.360]  你們要悔改
[00:01:35.360 --> 00:01:37.480]  順福音
[00:01:37.480 --> 00:01:40.680]  兄弟姐妹這段話你們熟不熟悉
[00:01:40.680 --> 00:01:43.400]  耶穌基督在世的時候說過很多話
[00:01:43.400 --> 00:01:45.280]  我們聖經裡面有很多耶穌的話語
[00:01:45.280 --> 00:01:46.840]  很多教訓
[00:01:46.840 --> 00:01:48.240]  有些是比喻
[00:01:48.240 --> 00:01:50.040]  有些是勉勵
[00:01:50.040 --> 00:01:52.960]  但這段話在《馬克福音》記載裡面
[00:01:52.960 --> 00:01:57.560]  就是耶穌第一句向人去宣講的說話
[00:01:57.560 --> 00:01:59.600]  祂說日期滿了
[00:01:59.600 --> 00:02:02.960]  上帝的國近了
[00:02:02.960 --> 00:02:04.520]  很想今天和大家思索一個問題
[00:02:04.520 --> 00:02:07.960]  什麼叫做日期滿了呢
[00:02:07.960 --> 00:02:11.120]  我不知道你對日期有什麼感受
[00:02:11.120 --> 00:02:12.040]  這個問題很奇怪
[00:02:12.040 --> 00:02:13.720]  對日期會有感受嗎
[00:02:13.720 --> 00:02:14.760]  有的
[00:02:14.760 --> 00:02:15.880]  當你年輕的時候
[00:02:15.880 --> 00:02:17.440]  不知道你覺得日子過得快一點
[00:02:17.440 --> 00:02:20.640]  還是當你成長之後覺得日子過得快一點呢
[00:02:20.640 --> 00:02:23.760]  話說昨晚我和一班舊同學聊天見面
[00:02:23.760 --> 00:02:25.320]  那班舊同學有些當中
[00:02:25.320 --> 00:02:26.760]  可能超過20年沒見過了
[00:02:26.760 --> 00:02:28.440]  因為是中學的時候的同學
[00:02:28.440 --> 00:02:29.760]  一見面的時候
[00:02:29.760 --> 00:02:31.040]  有些人的樣子一模一樣
[00:02:31.040 --> 00:02:33.920]  好像停留在當日的畫面
[00:02:33.920 --> 00:02:35.360]  我的老師他分享一件事
[00:02:35.360 --> 00:02:37.280]  他說他是中學的老師
[00:02:37.280 --> 00:02:39.080]  他不斷看到所有人進來
[00:02:39.080 --> 00:02:40.720]  所有同學就是十幾歲
[00:02:40.720 --> 00:02:42.640]  到20歲之前就離開了
[00:02:42.640 --> 00:02:44.680]  他說他的人生就像一個窗口
[00:02:44.680 --> 00:02:47.200]  看著一些青年人的成長
[00:02:47.200 --> 00:02:49.320]  十幾歲到20歲左右
[00:02:49.320 --> 00:02:50.720]  接著就沒有了
[00:02:50.720 --> 00:02:51.920]  可能下一次見面的時候
[00:02:51.920 --> 00:02:53.680]  過了幾十年之後就見到他
[00:02:53.680 --> 00:02:55.640]  已經是我的子女一家大小了
[00:02:55.640 --> 00:02:59.440]  時間好像突然間跳了很遠
[00:02:59.440 --> 00:03:01.000]  日期時間對不同的人來說
[00:03:01.000 --> 00:03:03.440]  可能有不同的體會或者感受
[00:03:03.440 --> 00:03:06.000]  可能在你的生命當中有些日子
[00:03:06.000 --> 00:03:09.520]  我們經常說的道日如年
[00:03:09.520 --> 00:03:11.400]  辛苦的日子可能會是
[00:03:11.400 --> 00:03:12.880]  有時候我們都說快樂的日子
[00:03:12.880 --> 00:03:14.520]  就不知道時間過了
[00:03:14.520 --> 00:03:15.920]  這麼快就完了
[00:03:15.920 --> 00:03:17.680]  怎麼這麼快呢
[00:03:17.680 --> 00:03:19.280]  我不知道崇拜坐在這裡聽道
[00:03:19.280 --> 00:03:21.920]  對他來說是道日如年還是快樂時間過
[00:03:21.920 --> 00:03:24.520]  希望不要道日如年這麼辛苦
[00:03:24.520 --> 00:03:27.240]  但原來時間對不同的人有不同的概念
[00:03:27.240 --> 00:03:31.240]  當耶穌一開始說這句日期滿了
[00:03:31.240 --> 00:03:34.200]  耶穌心目中是有一個對象
[00:03:34.200 --> 00:03:36.600]  或者一個時間的觀念
[00:03:36.600 --> 00:03:39.680]  什麼叫做日期滿了呢
[00:03:39.680 --> 00:03:40.720]  為什麼滿了呢
[00:03:40.720 --> 00:03:41.840]  究竟怎麼數的呢
[00:03:41.840 --> 00:03:43.600]  從什麼時候開始數的呢
[00:03:43.600 --> 00:03:45.280]  很多學者甚至很多人很有興趣
[00:03:45.280 --> 00:03:47.360]  翻開聖經期望找到很多密碼
[00:03:47.360 --> 00:03:48.640]  究竟怎麼數
[00:03:48.640 --> 00:03:50.200]  由創數一直數
[00:03:50.200 --> 00:03:51.600]  數到耶穌再數
[00:03:51.600 --> 00:03:54.160]  期望數到什麼時候耶穌再回來
[00:03:54.160 --> 00:03:56.080]  所以很多人不停地估計
[00:03:56.080 --> 00:03:59.600]  耶穌多少年多少月多少日就回來了
[00:03:59.600 --> 00:04:01.440]  不過我在這裡也說了很多次
[00:04:01.440 --> 00:04:02.360]  任何人估計
