
[00:00:00.000 --> 00:00:03.400]  他們現在最大劑的問題
[00:00:03.400 --> 00:00:06.500]  他們要回家,回不了家,為什麼呢?
[00:00:06.500 --> 00:00:09.400]  因為上帝在伊甸園的門口
[00:00:09.400 --> 00:00:11.620]  預備了
[00:00:11.620 --> 00:00:14.120]  有一個天使
[00:00:14.120 --> 00:00:17.620]  基路柏,還有火焰轉動的劍
[00:00:17.620 --> 00:00:19.920]  獨經員幫我讀一讀
[00:00:19.920 --> 00:00:24.800]  耶和華就驅逐他出伊甸園
[00:00:24.800 --> 00:00:27.300]  耶和華把那人趕出去
[00:00:27.300 --> 00:00:29.300]  就在伊甸園東邊
[00:00:29.300 --> 00:00:33.100]  刺激路柏和,發出火焰轉動的劍
[00:00:33.100 --> 00:00:35.100]  把守聖命樹的道路
[00:00:35.100 --> 00:00:37.600]  所以他現在回不了家,為什麼呢?
[00:00:37.600 --> 00:00:39.600]  因為有火焰
[00:00:39.600 --> 00:00:41.600]  因為有火焰,他回不了家
[00:00:41.600 --> 00:00:42.600]  OK
[00:00:42.600 --> 00:00:45.600]  回不了這個伊甸園
[00:00:45.600 --> 00:00:47.100]  創世了伊甸園
[00:00:47.100 --> 00:00:51.100]  不要緊,現在我們多了一個伊甸園的後門
[00:00:51.100 --> 00:00:52.100]  叫做應許之地
[00:00:52.100 --> 00:00:53.600]  大家明白我說什麼嗎?
[00:00:53.600 --> 00:00:55.100]  如果你可以想像
[00:00:55.100 --> 00:00:56.600]  伊甸園有前門和後門
[00:00:56.600 --> 00:00:58.600]  現在伊甸園
[00:00:58.600 --> 00:01:00.600]  前門就回不了去
[00:01:00.600 --> 00:01:02.600]  因為有天使
[00:01:02.600 --> 00:01:04.600]  有基路柏在,還有火焰
[00:01:04.600 --> 00:01:06.600]  你可以試一下衝
[00:01:06.600 --> 00:01:08.600]  不過你死無全屍
[00:01:08.600 --> 00:01:10.600]  你被上帝審判
[00:01:10.600 --> 00:01:12.600]  所以你回不回到家,回不了
[00:01:12.600 --> 00:01:14.600]  不緊要
[00:01:14.600 --> 00:01:15.600]  現在你弄弄
[00:01:15.600 --> 00:01:17.600]  有另一個應許之地
[00:01:17.600 --> 00:01:19.600]  牛奶軟物之地
[00:01:19.600 --> 00:01:22.600]  很像樣子,很像伊甸園
[00:01:22.600 --> 00:01:25.600]  現在我們可不可以走後門
[00:01:25.600 --> 00:01:27.600]  回家呢?
[00:01:27.600 --> 00:01:29.600]  行不行?
[00:01:29.600 --> 00:01:31.600]  前門有火
[00:01:31.600 --> 00:01:33.600]  後門有什麼?
[00:01:33.600 --> 00:01:35.600]  後門有水
[00:01:35.600 --> 00:01:37.600]  後門有水
[00:01:37.600 --> 00:01:38.600]  為什麼我這樣說呢?
[00:01:38.600 --> 00:01:40.600]  因為如果你記得
[00:01:40.600 --> 00:01:42.600]  最後意識的人,不是當時
[00:01:42.600 --> 00:01:44.600]  當時文數記13章14章
[00:01:44.600 --> 00:01:46.600]  結果就不能進入
[00:01:46.600 --> 00:01:47.600]  OK
