
[00:00:00.000 --> 00:00:04.000]  如果我們真的如主席所說
[00:00:04.000 --> 00:00:07.000]  我們自身是一個原始的森林
[00:00:07.000 --> 00:00:11.000]  我想我們每一個都更加的開心
[00:00:11.000 --> 00:00:13.000]  更加的單純
[00:00:13.000 --> 00:00:18.000]  更加與這位創造的主更緊密的關係
[00:00:18.000 --> 00:00:19.000]  可惜
[00:00:19.000 --> 00:00:21.000]  時代的進步
[00:00:21.000 --> 00:00:23.000]  石屎的森林
[00:00:23.000 --> 00:00:29.000]  科技反而帶來我們與上帝創造主大自然的分離
[00:00:29.000 --> 00:00:33.000]  剛才所讀的兩節聖經金句
[00:00:33.000 --> 00:00:36.000]  我相信任何人聽到的時候
[00:00:36.000 --> 00:00:38.000]  我們都會感到興奮
[00:00:38.000 --> 00:00:41.000]  凡你們祈求的就給你們
[00:00:41.000 --> 00:00:43.000]  尋找的就尋見
[00:00:43.000 --> 00:00:46.000]  叩門的就給你開門
[00:00:46.000 --> 00:00:49.000]  這是第九節所說的訊息
[00:00:49.000 --> 00:00:52.000]  如果是這樣的時候
[00:00:52.000 --> 00:00:54.000]  我們的偶像黃先生
[00:00:54.000 --> 00:00:56.000]  他可以走到一邊了
[00:00:56.000 --> 00:01:00.000]  但事實在我們的經歷裡面
[00:01:00.000 --> 00:01:04.000]  有時候我們都不是真的我們祈求的
[00:01:04.000 --> 00:01:06.000]  上帝會給我們的
[00:01:06.000 --> 00:01:10.000]  尋找有時候我們都是看不見的
[00:01:10.000 --> 00:01:13.000]  我們仍然迷失在大海洋的裡面
[00:01:13.000 --> 00:01:16.000]  以致我們會感覺到失落
[00:01:16.000 --> 00:01:19.000]  甚至懷疑我的信仰是不是真實
[00:01:19.000 --> 00:01:22.000]  我們的主是不是信實的主
[00:01:22.000 --> 00:01:26.000]  可能人因為往往基於這些經歷
[00:01:26.000 --> 00:01:34.000]  於是他們不敢向上帝有任何的要求
[00:01:34.000 --> 00:01:37.000]  總之每個禮拜乖乖的來崇拜已經很好了
[00:01:37.000 --> 00:01:40.000]  祈禱?沒什麼需要
[00:01:40.000 --> 00:01:42.000]  上帝都不知道在哪裡
[00:01:42.000 --> 00:01:44.000]  上帝都不一定聽我的祈禱
[00:01:44.000 --> 00:01:49.000]  加上人自己一種的性格
[00:01:49.000 --> 00:01:52.000]  面皮要薄薄
[00:01:52.000 --> 00:01:56.000]  怎麼能夠開口向上帝祈禱呢?
[00:01:56.000 --> 00:02:00.000]  怎麼能夠開口向人有任何要求呢?
[00:02:00.000 --> 00:02:03.000]  這種自我形象
[00:02:03.000 --> 00:02:06.000]  加上對一些所求的人一種的認識
[00:02:06.000 --> 00:02:11.000]  他怎麼會幫我呢?多餘了
[00:02:11.000 --> 00:02:14.000]  往往令到我們基督徒
[00:02:14.000 --> 00:02:16.000]  對於祈禱有一種卻步
[00:02:16.000 --> 00:02:18.000]  有一種保留
[00:02:18.000 --> 00:02:20.000]  沒有信心
[00:02:20.000 --> 00:02:23.000]  但聖經很清楚提醒我們
[00:02:23.000 --> 00:02:25.000]  禱告是很重要的
[00:02:25.000 --> 00:02:30.000]  而耶穌也多次的來教導有關禱告的事情
[00:02:30.000 --> 00:02:33.000]  在盧卡芬第十一章一至十三節
[00:02:33.000 --> 00:02:36.000]  耶穌又再一次來教導祈禱
