
[00:00:00.000 --> 00:00:01.600]  等姐妹平安
[00:00:01.600 --> 00:00:05.800]  今天是7月2號 昨天是7月1號
[00:00:05.800 --> 00:00:07.400]  7月1號你們去了哪裏
[00:00:07.400 --> 00:00:09.800]  有甚麼事做
[00:00:09.800 --> 00:00:13.800]  7月1號沒事做嗎
[00:00:13.800 --> 00:00:14.800]  在家中休息嗎
[00:00:14.800 --> 00:00:18.480]  應該有些人出去游泳
[00:00:18.480 --> 00:00:20.320]  有些人出去逛街
[00:00:20.320 --> 00:00:23.600]  又或者有些人去遊行
[00:00:23.600 --> 00:00:28.160]  我去探望醫院
[00:00:28.160 --> 00:00:30.440]  所以有些事都做不到
[00:00:30.440 --> 00:00:32.560]  等姐妹
[00:00:32.560 --> 00:00:35.560]  你們怎樣看香港
[00:00:35.560 --> 00:00:38.240]  你們喜歡香港嗎
[00:00:38.240 --> 00:00:41.320]  不喜歡沒有理由坐在這裏
[00:00:41.320 --> 00:00:42.840]  沒有理由住在這裏
[00:00:42.840 --> 00:00:45.240]  所以你們一定喜歡香港
[00:00:45.240 --> 00:00:47.760]  在我這個年紀
[00:00:47.760 --> 00:00:50.240]  我這個年紀是50歲以上
[00:00:50.240 --> 00:00:51.760]  至到60歲
[00:00:51.760 --> 00:00:53.560]  又或者更多
[00:00:53.560 --> 00:00:57.680]  在香港生活了很長日子
[00:00:58.320 --> 00:01:00.160]  我差不多60年了
[00:01:00.160 --> 00:01:03.920]  大家是否都是
[00:01:03.920 --> 00:01:07.000]  應該有兩班不同的人
[00:01:07.000 --> 00:01:08.320]  一班是
[00:01:08.320 --> 00:01:10.640]  在國內來的
[00:01:10.640 --> 00:01:13.680]  國內來在香港生活的請舉一舉手
[00:01:13.680 --> 00:01:16.640]  不是在香港出生的 簡單地說
[00:01:16.640 --> 00:01:19.760]  都有三分之一
[00:01:19.760 --> 00:01:22.320]  其他都是在香港出生的
[00:01:22.320 --> 00:01:24.920]  甚麼
[00:01:28.640 --> 00:01:30.200]  我是在香港出生的
[00:01:30.200 --> 00:01:32.360]  在香港出生清楚一點的請舉一舉手
[00:01:32.360 --> 00:01:35.520]  三分之二 應該是三分之二
[00:01:35.520 --> 00:01:39.080]  三分之一是在國內來的
[00:01:39.080 --> 00:01:42.240]  我們這一輩成長的
[00:01:42.240 --> 00:01:44.280]  香港是怎樣的呢
[00:01:44.280 --> 00:01:46.480]  如果我們當中的年青人
[00:01:46.480 --> 00:01:49.040]  想了解一下父母的生活是怎樣的
[00:01:49.040 --> 00:01:50.560]  先看一看片段
[00:01:50.560 --> 00:01:55.760]  我們這一輩
[00:01:55.760 --> 00:01:57.960]  是嬰兒潮長大的
[00:01:57.960 --> 00:02:00.240]  嬰兒潮是第二次世界大戰
[00:02:00.240 --> 00:02:02.840]  1945年之後到1964年
[00:02:02.840 --> 00:02:04.880]  這段時間叫嬰兒潮
[00:02:04.880 --> 00:02:07.600]  我們就是在這段時間長大的一班人
[00:02:07.600 --> 00:02:10.280]  我們在香港長大
[00:02:10.280 --> 00:02:11.480]  所以
[00:02:11.480 --> 00:02:13.720]  一定很喜歡香港
[00:02:13.720 --> 00:02:18.120]  然後經歷過八九民運
[00:02:18.120 --> 00:02:19.480]  經歷過九七
