
[00:00:00.000 --> 00:00:03.060]  我們中國人差不多整個月
[00:00:03.060 --> 00:00:06.400]  由農歷年前後都有很多不同的慶祝準備
[00:00:06.400 --> 00:00:07.940]  猶太人也是
[00:00:07.940 --> 00:00:10.240]  他都有整個月
[00:00:10.240 --> 00:00:13.060]  要去到做不同的節旗
[00:00:13.060 --> 00:00:15.880]  他也有他們不同的集中和食物
[00:00:15.880 --> 00:00:20.220]  例如他過年雖然沒有我們吃得那麼豐富
[00:00:20.220 --> 00:00:21.760]  那麼多食物
[00:00:21.760 --> 00:00:24.320]  但是他都有特色的食物會吃
[00:00:24.320 --> 00:00:27.140]  例如他會吃蘋果
[00:00:27.140 --> 00:00:31.620]  令人記得起天地創造的時侯伊甸園
[00:00:31.620 --> 00:00:36.020]  他們會用蘋果點一些蜂蜜去吃
[00:00:36.020 --> 00:00:37.260]  預備一樣東西
[00:00:37.260 --> 00:00:41.340]  預備來年他們的生命會甜甜蜜蜜的
[00:00:41.340 --> 00:00:44.780]  或者他們一生裡面都是很甜的
[00:00:44.780 --> 00:00:46.980]  有上帝在裡面
[00:00:46.980 --> 00:00:50.600]  他們不僅如此,他們會吃魚頭
[00:00:50.600 --> 00:00:52.740]  但是不吃魚尾
[00:00:52.740 --> 00:00:55.460]  不知道大家猜不猜得到為什麼
[00:00:55.460 --> 00:00:57.460]  挺有趣的,因為
[00:00:57.460 --> 00:01:03.300]  他期盼,他希望他們作首不作尾
[00:01:03.300 --> 00:01:06.980]  所以不吃魚尾,生命紀28張
[00:01:06.980 --> 00:01:10.260]  而今天我想說的不僅是他們的習俗
[00:01:10.260 --> 00:01:11.780]  我想說的是
[00:01:11.780 --> 00:01:14.660]  上帝在3500年前
[00:01:14.660 --> 00:01:18.900]  當他帶領以色列人離開埃及的時侯
[00:01:18.900 --> 00:01:22.100]  第一次過新年的時侯
[00:01:22.100 --> 00:01:25.540]  上帝設立了三個節旗
[00:01:25.540 --> 00:01:28.500]  很想他們遵守,是上帝親自設立
[00:01:28.500 --> 00:01:33.060]  而三個節旗相當有意思的
[00:01:33.060 --> 00:01:37.300]  記載在《文書記》的29張
[00:01:37.300 --> 00:01:39.780]  我們今天會用這三個節旗
