
[00:00:00.000 --> 00:00:01.200]  感謝主
[00:00:01.200 --> 00:00:03.200]  各位兄弟姐妹平安
[00:00:03.200 --> 00:00:06.640]  在這一刻實在太需要平安
[00:00:06.640 --> 00:00:09.040]  耶穌基督在復活之後
[00:00:09.040 --> 00:00:12.800]  在門徒的房間裡
[00:00:12.800 --> 00:00:16.480]  祂們一句話是「願你們平安」
[00:00:16.480 --> 00:00:19.680]  所以平安就是神賜給我們
[00:00:19.680 --> 00:00:23.120]  在過去日子、今天和未來
[00:00:23.120 --> 00:00:26.320]  我們其實最需要最需要的
[00:00:26.320 --> 00:00:29.760]  今天是福音主日
[00:00:29.760 --> 00:00:32.720]  我受召命要傳福音
[00:00:32.720 --> 00:00:34.480]  所以這是我很開心的日子
[00:00:34.480 --> 00:00:36.320]  可以和大家分享
[00:00:36.320 --> 00:00:39.040]  一個很久以來
[00:00:39.040 --> 00:00:40.960]  都成為我們教會
[00:00:40.960 --> 00:00:42.560]  基督徒圈子
[00:00:42.560 --> 00:00:43.680]  一節的經文
[00:00:43.680 --> 00:00:44.960]  一節這麼多
[00:00:44.960 --> 00:00:48.560]  就是《約翰福音》第三章第十六節
[00:00:48.560 --> 00:00:50.320]  這一節的經文
[00:00:50.320 --> 00:00:53.040]  很多基督徒都倒背如流
[00:00:53.040 --> 00:00:55.200]  講完又講
[00:00:55.200 --> 00:00:58.160]  因為神的恩典是講個不完的
[00:00:58.160 --> 00:01:00.960]  請聽我讀一次
[00:01:00.960 --> 00:01:03.280]  聖經是這樣說的
[00:01:03.280 --> 00:01:05.200]  「神愛世人
[00:01:05.200 --> 00:01:09.040]  甚至將他的獨生子賜給他們
[00:01:09.040 --> 00:01:11.360]  叫一切信他的
[00:01:11.360 --> 00:01:12.720]  不致滅亡
[00:01:12.720 --> 00:01:14.960]  凡得永生」
[00:01:14.960 --> 00:01:16.080]  一節經文
[00:01:16.080 --> 00:01:17.680]  相當寶貴
[00:01:17.680 --> 00:01:19.200]  整本聖經
[00:01:19.200 --> 00:01:20.480]  濃縮起來
[00:01:20.480 --> 00:01:23.040]  要講一句話去傳福音
[00:01:23.040 --> 00:01:24.720]  我覺得這句話
[00:01:24.720 --> 00:01:29.520]  是非常完整和豐盛的
[00:01:29.520 --> 00:01:31.120]  神愛世人
[00:01:31.120 --> 00:01:34.640]  甚至將他的獨生子賜給他們
[00:01:34.640 --> 00:01:36.400]  其實基督教的圈子
[00:01:36.400 --> 00:01:38.000]  教會
[00:01:38.000 --> 00:01:40.160]  時常都提到愛
[00:01:40.160 --> 00:01:42.560]  甚至我們很多首詩歌
[00:01:42.560 --> 00:01:43.760]  都是講愛
[00:01:43.760 --> 00:01:45.760]  愛愛愛愛愛
[00:01:45.760 --> 00:01:47.520]  甚至可以這樣說
[00:01:47.520 --> 00:01:49.520]  在教會基督徒來說
[00:01:49.520 --> 00:01:54.080]  我們好像很英然地去明白什麼叫做愛
[00:01:54.080 --> 00:01:56.960]  但是暫時未信主的親友
[00:01:56.960 --> 00:02:00.160]  很可能對這個愛還未觸摸得到
[00:02:00.160 --> 00:02:01.120]  很簡單
[00:02:01.120 --> 00:02:02.240]  因為我們很多時候
