
[00:00:00.000 --> 00:00:06.360]  如果你有正經的,請你一路打開《但義利書》第一章
[00:00:06.360 --> 00:00:08.360]  我們一齊看
[00:00:08.360 --> 00:00:11.280]  第一,我們先看看PowerPoint
[00:00:11.280 --> 00:00:14.200]  第一章第一節到第七節
[00:00:14.200 --> 00:00:18.280]  我們了解一下但義利當時的處境是怎樣
[00:00:18.280 --> 00:00:22.840]  第一,我們知道從第一章七節裏面
[00:00:22.840 --> 00:00:26.040]  我們知道本來但義利,周浩軒就講到
[00:00:26.040 --> 00:00:29.640]  他是一個猶太人,沒錯,他是一個猶太人
[00:00:29.640 --> 00:00:34.880]  並且是一個猶太人皇室的後裔
[00:00:34.880 --> 00:00:40.160]  所以他的身份其實很尊貴,是一個皇室的後裔
[00:00:40.160 --> 00:00:46.440]  但很可惜,因為猶太國在公元前大約605年時
[00:00:46.440 --> 00:00:49.000]  被巴比倫入侵
[00:00:49.000 --> 00:00:57.800]  其實在當時裏面,有一批人被擄
[00:00:57.800 --> 00:01:02.520]  所以但義利,我們知道他還有三個朋友
[00:01:02.520 --> 00:01:04.520]  是在那個行列裏面
[00:01:04.520 --> 00:01:07.200]  我們不知道他的父母有沒有被擄
[00:01:07.200 --> 00:01:15.320]  但我們知道但義利當時本來是一個很有身份的人
[00:01:15.320 --> 00:01:17.760]  或者在皇室裏面長大的人
[00:01:17.760 --> 00:01:21.440]  但怎樣,成為一個被擄的人
[00:01:21.440 --> 00:01:24.560]  在心靈上受到極大的創傷
[00:01:24.560 --> 00:01:28.000]  突然整個地位不同了
[00:01:28.000 --> 00:01:33.280]  第二,我們看到,其實但義利剛才他們講到
[00:01:33.280 --> 00:01:37.360]  他是一個很聰明的人,不是比十個人厲害
[00:01:37.360 --> 00:01:39.040]  一會兒我們會再講
[00:01:39.040 --> 00:01:42.920]  他就說,聖經第四節裏面提到
[00:01:42.920 --> 00:01:47.360]  他知識和聰明是兼備的
[00:01:47.360 --> 00:01:54.200]  但很可惜,他被強行要同化,是甚麼意思呢
[00:01:54.200 --> 00:01:57.200]  在當中裏面,我們知道
[00:01:57.200 --> 00:02:03.040]  聖經記載,在這班被揀選的人中間
[00:02:03.040 --> 00:02:05.960]  當時揀選了很多年青人,很多年少的人
[00:02:05.960 --> 00:02:13.200]  因為最容易被改變,最容易被誣告
[00:02:13.200 --> 00:02:16.160]  但義利當時裏面,我們估他
[00:02:16.160 --> 00:02:18.920]  如果是一個少年的人,是十三至十八歲
[00:02:18.920 --> 00:02:22.760]  我們這樣看,是一個像大家一樣的年紀的人
[00:02:22.760 --> 00:02:25.880]  在當中裏面,一班人被擄
[00:02:25.880 --> 00:02:31.520]  並且皇帝揀選了一些很年少的人
[00:02:31.520 --> 00:02:35.400]  想他們在中間裏面,是一些精英
[00:02:35.400 --> 00:02:39.360]  精英中的精英,好像你現在參加精英班
[00:02:39.360 --> 00:02:43.640]  在學校裏面,可能你已經在那班裏面
[00:02:43.640 --> 00:02:47.400]  在那級裏面都很厲害,但原來還有一班精英班
[00:02:47.400 --> 00:02:50.400]  精英班當中可能怎樣,再揀選幾個出來
[00:02:50.400 --> 00:02:55.040]  是特別怎樣,要學當時加勒底人的文字
[00:02:55.040 --> 00:02:57.320]  即是巴比倫國,即是很簡單
[00:02:57.320 --> 00:03:02.840]  即是你現在給的,假設你去到俄羅斯
[00:03:02.840 --> 00:03:05.640]  要學俄文,去到的時候
[00:03:05.640 --> 00:03:09.880]  在當中裏面,他們面對還有一個問題
[00:03:09.880 --> 00:03:15.120]  大家要知道,當這樣被挑選的時候
[00:03:15.120 --> 00:03:20.440]  其實就惹來自己同胞,同輩的一些非議
[00:03:20.440 --> 00:03:24.040]  因為如果要這樣被揀選受訓的時候
[00:03:24.040 --> 00:03:26.880]  聖經說是三年的受訓
