
[00:00:00.000 --> 00:00:02.000]  第一次會早晨
[00:00:02.000 --> 00:00:04.000]  我們一起禱告
[00:00:04.000 --> 00:00:08.000]  只要我們來到你面前
[00:00:08.000 --> 00:00:10.000]  今天是你的主日
[00:00:10.000 --> 00:00:12.000]  讓我們全心全意去見拜你
[00:00:12.000 --> 00:00:15.000]  讓我們全心全意聆聽你的說話
[00:00:15.000 --> 00:00:17.000]  讓我們在生命當中
[00:00:17.000 --> 00:00:20.000]  知道你是一個怎樣的上帝
[00:00:20.000 --> 00:00:22.000]  讓我們明白真理
[00:00:22.000 --> 00:00:24.000]  以致我們在生命當中能夠的著力量
[00:00:24.000 --> 00:00:25.000]  聽到禱告
[00:00:25.000 --> 00:00:27.000]  奉主保貴耶穌名字祈禱
[00:00:29.000 --> 00:00:32.000]  我不知道第一次會信耶穌
[00:00:32.000 --> 00:00:34.000]  或者在信仰當中的時候
[00:00:34.000 --> 00:00:36.000]  有沒有發出一個這樣的禱告
[00:00:36.000 --> 00:00:39.000]  神啊!為什麼你不幫我?
[00:00:39.000 --> 00:00:43.000]  很多時候在我們生命的歷程當中
[00:00:43.000 --> 00:00:45.000]  可能去到最低潮的時候
[00:00:45.000 --> 00:00:47.000]  我都會問,是不是可以幫我?
[00:00:47.000 --> 00:00:50.000]  或者在生命歷程低潮的時候
[00:00:50.000 --> 00:00:52.000]  都甚至會向神說
[00:00:52.000 --> 00:00:53.000]  為什麼你不幫我?
[00:00:53.000 --> 00:00:54.000]  我這樣幫你
[00:00:54.000 --> 00:00:56.000]  我這樣向你和我信靠你
[00:00:56.000 --> 00:00:58.000]  為什麼你不幫我呢?
[00:01:00.000 --> 00:01:02.000]  可能這個不幫我
[00:01:02.000 --> 00:01:04.000]  你會對上帝有份失望
[00:01:04.000 --> 00:01:06.000]  同樣這個問題
[00:01:06.000 --> 00:01:09.000]  我想發生在摩西的時候
[00:01:09.000 --> 00:01:10.000]  他都會問
[00:01:10.000 --> 00:01:12.000]  都會向上帝說
[00:01:12.000 --> 00:01:13.000]  為什麼你不幫我?
[00:01:13.000 --> 00:01:15.000]  在《出一及記》
[00:01:15.000 --> 00:01:17.000]  五章二十二至三次經的時候
[00:01:17.000 --> 00:01:18.000]  他說主啊!
[00:01:18.000 --> 00:01:20.000]  這群百姓
[00:01:20.000 --> 00:01:24.000]  為什麼要苦對這群百姓呢?
[00:01:24.000 --> 00:01:25.000]  他問了一個問題
[00:01:25.000 --> 00:01:26.000]  為什麼要苦對百姓?
[00:01:26.000 --> 00:01:27.000]  問了一個問題
[00:01:27.000 --> 00:01:30.000]  為什麼要打發我來呢?
[00:01:30.000 --> 00:01:32.000]  是你叫我來的
[00:01:32.000 --> 00:01:35.000]  你在《出一及記》三章的時候
[00:01:35.000 --> 00:01:37.000]  耶和華呼召摩西
[00:01:37.000 --> 00:01:40.000]  叫摩西去到法老跟他說
[00:01:40.000 --> 00:01:42.000]  達用他的百姓離開埃及
[00:01:42.000 --> 00:01:44.000]  好去侍奉他
[00:01:44.000 --> 00:01:46.000]  是你叫我去的
[00:01:46.000 --> 00:01:48.000]  但是現在我跟法老說了
[00:01:48.000 --> 00:01:50.000]  法老說不認識你
[00:01:50.000 --> 00:01:51.000]  接著就說
[00:01:51.000 --> 00:01:53.000]  你這群以色列人懶惰
[00:01:53.000 --> 00:01:55.000]  所以不給草你
[00:01:55.000 --> 00:01:58.000]  你要繼續做更多的磚
[00:01:58.000 --> 00:01:59.000]  草就不給你了
[00:01:59.000 --> 00:02:00.000]  你要自己找
[00:02:00.000 --> 00:02:03.000]  但是你要給足夠的磚
[00:02:03.000 --> 00:02:05.000]  令到以色列的百姓
