
[00:00:00.000 --> 00:00:04.760]  這個昨天第一場第二場
[00:00:04.760 --> 00:00:08.680]  那繼續今天從第三場
[00:00:08.680 --> 00:00:13.280]  不過今天好像人少了一點點
[00:00:13.280 --> 00:00:16.280]  不過還好我所看的就是說
[00:00:16.280 --> 00:00:21.040]  該來的都來了
[00:00:21.040 --> 00:00:22.840]  我們一起來思考
[00:00:22.840 --> 00:00:27.600]  昨天我思考了宣教的意象
[00:00:27.600 --> 00:00:33.400]  主要的是著重點是在我們個人方面
[00:00:33.400 --> 00:00:37.800]  我們個人自己跟神的一個關係的建立
[00:00:37.800 --> 00:00:42.200]  個人跟神的關係的一個年冠
[00:00:42.200 --> 00:00:47.600]  接下來我有講到宣教的技巧
[00:00:47.600 --> 00:00:50.240]  那也是比較屬於個人的
[00:00:50.240 --> 00:00:53.920]  你怎麼傳福音這個方面的
[00:00:53.920 --> 00:00:57.840]  昨天到最後的話
[00:00:57.840 --> 00:01:01.840]  弟兄就稱呼我是陳長老
[00:01:01.840 --> 00:01:03.240]  陳錯了
[00:01:03.240 --> 00:01:04.800]  不過也沒錯
[00:01:04.800 --> 00:01:07.160]  因為我以前就是陳長老
[00:01:07.160 --> 00:01:10.320]  我也在教會案例過長老
[00:01:10.320 --> 00:01:13.600]  所以我就想到了被你一叫
[00:01:13.600 --> 00:01:16.080]  讓我又回想到我的從前
[00:01:16.080 --> 00:01:19.600]  從前的話也是從平信徒開始
[00:01:19.600 --> 00:01:21.000]  也就像昨天所講的
[00:01:21.000 --> 00:01:25.160]  去宣教以後開始被逼上講台
[00:01:25.160 --> 00:01:25.920]  講到了
[00:01:25.920 --> 00:01:27.560]  講完到以後回來
[00:01:27.560 --> 00:01:28.960]  人家講你在外面講到
[00:01:28.960 --> 00:01:31.000]  你再回來也要講到
[00:01:31.000 --> 00:01:32.560]  回來也講到了
[00:01:32.560 --> 00:01:35.160]  後來就變成教會案例長老
[00:01:35.160 --> 00:01:38.440]  就順其自然就案例陳長老了
[00:01:38.440 --> 00:01:41.280]  那長老以後神又呼召我
[00:01:41.280 --> 00:01:42.480]  已經有呼召我了
[00:01:42.480 --> 00:01:44.200]  我說跟神講五年
[00:01:44.200 --> 00:01:46.040]  結果神的感動
[00:01:46.040 --> 00:01:50.440]  四年我就全時間就辭掉IBM的工作
[00:01:50.440 --> 00:01:53.200]  我就出來讀神學院了
[00:01:53.200 --> 00:01:55.920]  出來讀完神學院
[00:01:55.920 --> 00:01:58.960]  出來服侍神的時候
[00:01:58.960 --> 00:02:00.840]  就做了傳道了
[00:02:00.840 --> 00:02:04.760]  傳道在教會裡頭
[00:02:04.760 --> 00:02:06.760]  四年的傳道以後
[00:02:06.760 --> 00:02:10.080]  後來在案例成為牧師
[00:02:10.080 --> 00:02:11.640]  我的過程就是
[00:02:11.640 --> 00:02:13.920]  讓你們也稍微了解一下
