
[00:00:00.000 --> 00:00:03.900]  好,我們一直在看這個舊約身經
[00:00:03.900 --> 00:00:06.580]  我們很強調舊約身經是一個影子
[00:00:06.580 --> 00:00:08.580]  它不是最後的真體
[00:00:08.580 --> 00:00:10.580]  在整個過程當中
[00:00:10.580 --> 00:00:12.580]  我們要看到
[00:00:12.580 --> 00:00:14.580]  不只單單舊約的故事
[00:00:14.580 --> 00:00:16.580]  而是舊約的故事怎麼樣去
[00:00:16.580 --> 00:00:20.080]  指向主耶穌基督與祂的救恩
[00:00:20.080 --> 00:00:23.580]  我們剛剛讀過的是摩西的五經
[00:00:23.580 --> 00:00:26.580]  很多時候我們有時候去考試
[00:00:26.580 --> 00:00:28.580]  讀完上一年所讀的
[00:00:28.580 --> 00:00:30.580]  考完試我們就拜拜了
[00:00:30.580 --> 00:00:32.580]  以前的東西全部忘記
[00:00:32.580 --> 00:00:35.580]  但是讀聖經其實不能這樣
[00:00:35.580 --> 00:00:38.580]  原來摩西五經對我們非常重要
[00:00:38.580 --> 00:00:41.580]  儘管我們現在已經出了摩西五經
[00:00:41.580 --> 00:00:43.580]  上個禮拜、前個禮拜
[00:00:43.580 --> 00:00:46.580]  我都在跟大家討論這個約書亞記
[00:00:46.580 --> 00:00:49.580]  今天會去講釋師記
[00:00:49.580 --> 00:00:51.580]  下個禮拜講路德記
[00:00:51.580 --> 00:00:54.580]  其實這些書已經假釋
[00:00:54.580 --> 00:00:57.580]  你都還記得摩西五經裏面
[00:00:57.580 --> 00:00:59.580]  講過的東西
[00:00:59.580 --> 00:01:01.580]  雖然我們不需要完全記得
[00:01:01.580 --> 00:01:02.580]  所有的東西
[00:01:02.580 --> 00:01:05.580]  但是我們大概對那些書本
[00:01:05.580 --> 00:01:07.580]  都應該有一些大綱的瞭解
[00:01:07.580 --> 00:01:11.580]  創世記是講墮落救贖三部曲
[00:01:11.580 --> 00:01:15.580]  出埃及記偶像之家逃生記
[00:01:15.580 --> 00:01:19.580]  立位記聖潔君王寶慧師
[00:01:19.580 --> 00:01:23.580]  民宿記曠野中的大叛逆
[00:01:23.580 --> 00:01:28.580]  最後聖明記心受隔離深愛主
[00:01:28.580 --> 00:01:31.580]  這是我們之前所談過的
[00:01:31.580 --> 00:01:34.580]  然後我們說在背後
[00:01:34.580 --> 00:01:39.580]  在最終的指向是主耶穌基督的實質家
[00:01:39.580 --> 00:01:41.580]  前兩個禮拜我們在看約書亞記
[00:01:41.580 --> 00:01:44.580]  我給他一個名堂叫做
[00:01:44.580 --> 00:01:49.580]  書見恩仇盡應許
[00:01:49.580 --> 00:01:54.580]  書是代表了摩西五經
[00:01:54.580 --> 00:01:59.580]  見是因爲他們要進入迦南之地
[00:01:59.580 --> 00:02:02.580]  要去打聖戰
[00:02:02.580 --> 00:02:08.580]  應許之地是摩西亞記的一個主題
[00:02:08.580 --> 00:02:13.580]  他們要進入迦南要打那場戰爭
[00:02:13.580 --> 00:02:15.580]  但是這個戰爭不是他們自己去打
[00:02:15.580 --> 00:02:18.580]  是上帝爲他們而打
[00:02:18.580 --> 00:02:22.580]  你怎麼可以得到上帝的保守
