
[00:00:00.000 --> 00:00:02.000]  OK,大英智媒早晨
[00:00:02.000 --> 00:00:05.000]  今天齋齋一堂
[00:00:05.000 --> 00:00:08.000]  這麼多的大英智媒聯合一起敬拜
[00:00:08.000 --> 00:00:09.000]  很開心
[00:00:09.000 --> 00:00:13.000]  我們聽到之前先低頭祈禱
[00:00:13.000 --> 00:00:20.000]  七天父上帶我們感恩
[00:00:20.000 --> 00:00:23.000]  因為是主你自己的恩典
[00:00:23.000 --> 00:00:27.000]  你呼籲我們再次聚集在你的聖殿當中
[00:00:27.000 --> 00:00:29.000]  來敬拜你
[00:00:29.000 --> 00:00:31.000]  主我們懇求你自己這個時候
[00:00:31.000 --> 00:00:32.000]  特別是這個時候
[00:00:32.000 --> 00:00:34.000]  你安靜我們的心
[00:00:34.000 --> 00:00:37.000]  也讓我們有謙卑的心來領受主
[00:00:37.000 --> 00:00:39.000]  你要對我們說的話
[00:00:39.000 --> 00:00:41.000]  再透過你僕人的口
[00:00:41.000 --> 00:00:44.000]  同時透過祂所準備的信息
[00:00:44.000 --> 00:00:48.000]  讓你的話語進入我們的心中
[00:00:48.000 --> 00:00:50.000]  主我們懇求你自己使用你的僕人
[00:00:50.000 --> 00:00:53.000]  也使用祂所準備的信息
[00:00:53.000 --> 00:00:54.000]  交託給你
[00:00:54.000 --> 00:00:56.000]  奉主耶穌基督的聖名
[00:00:56.000 --> 00:00:59.000]  阿們
[00:00:59.000 --> 00:01:04.000]  斐利門書就是我們剛才所讀的經文
[00:01:04.000 --> 00:01:10.000]  請問大家知道有幾張?
[00:01:10.000 --> 00:01:12.000]  有些人
[00:01:12.000 --> 00:01:14.000]  只有一張
[00:01:14.000 --> 00:01:17.000]  斐利門書就是保羅所寫的
[00:01:17.000 --> 00:01:19.000]  十三封的書信當中
[00:01:19.000 --> 00:01:23.000]  比較特別的一封書信
[00:01:23.000 --> 00:01:27.000]  這封信有三個特點
[00:01:27.000 --> 00:01:30.000]  讓我們知道它跟另外十二封書信
[00:01:30.000 --> 00:01:33.000]  其實有所分別
[00:01:33.000 --> 00:01:35.000]  第一個分別
[00:01:35.000 --> 00:01:37.000]  就是一個很短的書信
[00:01:37.000 --> 00:01:40.000]  它只有二十五節
[00:01:40.000 --> 00:01:42.000]  其實在新約聖經中
[00:01:42.000 --> 00:01:44.000]  不只是斐利門書
[00:01:44.000 --> 00:01:47.000]  是有一張的經文
[00:01:47.000 --> 00:01:51.000]  還知道有哪些書卷是一張的?
[00:01:51.000 --> 00:01:56.000]  新約
[00:01:56.000 --> 00:01:57.000]  好了
[00:01:57.000 --> 00:02:00.000]  答案揭曉
[00:02:00.000 --> 00:02:02.000]  就是約翰二書
[00:02:02.000 --> 00:02:04.000]  約翰三書
[00:02:04.000 --> 00:02:06.000]  同時就是尤大書
[00:02:06.000 --> 00:02:09.000]  但是其他的三卷書
[00:02:09.000 --> 00:02:11.000]  都不是保羅所寫的
[00:02:11.000 --> 00:02:14.000]  所以以保羅所寫的書信來說
