
[00:00:00.000 --> 00:00:03.520]  各位聽眾,今日的題目是人在世圖拼博士
[00:00:03.520 --> 00:00:07.080]  我們看貼薩諾尼加前書五章一至十一節
[00:00:07.080 --> 00:00:11.520]  我真的很喜歡看一些電影
[00:00:11.520 --> 00:00:17.000]  什麼類型的電影呢?其中一種電影就是一些末日災難的電影
[00:00:17.000 --> 00:00:22.920]  特別是明日之後,末日救未來,日本沉沒等等這些
[00:00:22.920 --> 00:00:25.560]  說到這個世界快要完結
[00:00:25.560 --> 00:00:28.680]  好像有點變態,這個世界快要沒有了
[00:00:31.000 --> 00:00:37.880]  有時我常常在想,當這個世界末日將到的時候
[00:00:37.880 --> 00:00:41.880]  我最想做些什麼呢?
[00:00:41.880 --> 00:00:45.880]  如果這個世界只剩下三天的時間
[00:00:45.880 --> 00:00:49.880]  你第一時間你會做些什麼呢?
[00:00:55.880 --> 00:01:02.880]  你會用什麼樣的態度、心態去面對你現在的生活
[00:01:02.880 --> 00:01:06.880]  如果你知道這個世界的末日將要到了
[00:01:06.880 --> 00:01:12.880]  跟你現在一直這樣生活的時候有什麼不同呢?
[00:01:12.880 --> 00:01:18.880]  上次我們看貼薩諾尼加前書的時候
[00:01:18.880 --> 00:01:23.880]  第四章十三節說到輪到睡了的人
[00:01:23.880 --> 00:01:28.880]  就說到當時貼薩諾尼加教會的弟兄姊妹問了一條問題
[00:01:28.880 --> 00:01:33.880]  當已經信了耶穌的那些人,但是他們死了
[00:01:33.880 --> 00:01:37.880]  當主再回來的時候怎麼辦呢?
[00:01:37.880 --> 00:01:41.880]  所以貼薩諾尼加前書第四章上次說
[00:01:41.880 --> 00:01:45.880]  其實主耶穌基督已經預備了他們一份
[00:01:45.880 --> 00:01:50.880]  當那一天的時候,他們會被提到天上
[00:01:51.880 --> 00:01:56.880]  但是這次我們看看貼薩諾尼加前書第五章
[00:01:56.880 --> 00:02:00.880]  同樣圍繞著一個問題,就是主再回來的問題
[00:02:00.880 --> 00:02:04.880]  當時這一班弟兄姊妹又有疑問
[00:02:04.880 --> 00:02:07.880]  哎呀,當耶穌基督再回來的時候
[00:02:07.880 --> 00:02:10.880]  我會不會仍然在生呢?
[00:02:10.880 --> 00:02:13.880]  他什麼時候回來呢?
[00:02:13.880 --> 00:02:16.880]  你告訴我,讓我好好預備一下
[00:02:18.880 --> 00:02:21.880]  所以我們看到這裡
[00:02:21.880 --> 00:02:24.880]  第一節到第二節,我們請大家一起讀
[00:02:24.880 --> 00:02:26.880]  預備,1,2,3
[00:02:26.880 --> 00:02:43.880]  所以你看到這裡一開始就說到主再回來的時候
[00:02:43.880 --> 00:02:47.880]  日期,其實保羅很清楚地告訴這班信徒
[00:02:47.880 --> 00:02:50.880]  其實真的不用再告訴他們
[00:02:50.880 --> 00:02:53.880]  因為保羅已經說了很多次,說完又說
[00:02:53.880 --> 00:02:55.880]  主是會再回來
[00:02:55.880 --> 00:02:58.880]  但是什麼時候呢?
[00:02:58.880 --> 00:03:01.880]  我們地上沒有人知道
[00:03:01.880 --> 00:03:10.880]  反而保羅這裡不是解答他們時間日期的問題
[00:03:10.880 --> 00:03:13.880]  保羅是很想告訴這班弟兄姊妹
[00:03:13.880 --> 00:03:17.880]  當你們知道主耶穌基督會再回來
[00:03:17.880 --> 00:03:21.880]  你們用什麼身份,你自己用什麼心態
[00:03:21.880 --> 00:03:24.880]  在這個等候的日子裡
