
[00:00:00.000 --> 00:00:03.000]  可能大家都看過這幅畫
[00:00:03.000 --> 00:00:08.000]  到處都會看到梵高所畫的星空
[00:00:08.000 --> 00:00:12.000]  梵高這個時候是有精神病
[00:00:12.000 --> 00:00:14.000]  他在精神病院看出去
[00:00:14.000 --> 00:00:17.000]  其實精神病人當然心裡有很多複雜的意念
[00:00:17.000 --> 00:00:19.000]  很多的困難
[00:00:19.000 --> 00:00:21.000]  但他看出去的天空是很美的
[00:00:21.000 --> 00:00:23.000]  他畫了這幅畫
[00:00:23.000 --> 00:00:25.000]  原來精神病院也挺好住的
[00:00:25.000 --> 00:00:26.000]  我看到
[00:00:26.000 --> 00:00:28.000]  因為看下去景色也很美
[00:00:28.000 --> 00:00:30.000]  但他覺得天空更美
[00:00:30.000 --> 00:00:32.000]  有藍色的天空
[00:00:32.000 --> 00:00:34.000]  那些很大的星星
[00:00:34.000 --> 00:00:36.000]  以及月亮
[00:00:36.000 --> 00:00:38.000]  還有灰色的雲
[00:00:38.000 --> 00:00:42.000]  梵高很喜歡看天上的星
[00:00:42.000 --> 00:00:44.000]  好像這裡在那些
[00:00:44.000 --> 00:00:47.000]  大城市外面的海灣對面
[00:00:47.000 --> 00:00:49.000]  雖然是十九世紀
[00:00:49.000 --> 00:00:52.000]  那些城市已經有很多的燈光
[00:00:52.000 --> 00:00:54.000]  但天上的繁星
[00:00:54.000 --> 00:00:56.000]  仍然顯得很美麗
[00:00:56.000 --> 00:01:01.000]  他能夠注意到天上有星
[00:01:01.000 --> 00:01:06.000]  這裡是一些咖啡室
[00:01:06.000 --> 00:01:08.000]  在法國巴黎的咖啡室
[00:01:08.000 --> 00:01:13.000]  這些地方很多人喜歡喝咖啡
[00:01:13.000 --> 00:01:16.000]  但很奇怪
[00:01:16.000 --> 00:01:21.000]  梵高發現在咖啡室上有星空
[00:01:21.000 --> 00:01:25.000]  天上的星宿仍然這麼美麗
[00:01:25.000 --> 00:01:27.000]  當他在野地上走過
[00:01:27.000 --> 00:01:31.000]  我們看見在野地的月亮和星星
[00:01:31.000 --> 00:01:36.000]  讓我們知道天地充滿了美
[00:01:36.000 --> 00:01:40.000]  梵高畫了這麼多天上的星
[00:01:40.000 --> 00:01:45.000]  但其實他的心有很多苦楚
[00:01:45.000 --> 00:01:49.000]  我們年輕時流行這首歌
[00:01:49.000 --> 00:01:51.000]  不知道大家認不認識
[00:01:51.000 --> 00:01:52.000]  Starry Night
