
[00:00:00.000 --> 00:00:03.480]  我們一起有個祈禱作為開始
[00:00:03.480 --> 00:00:05.120]  慈悲仁愛的天父
[00:00:05.120 --> 00:00:06.480]  我們仰望祢
[00:00:06.480 --> 00:00:07.880]  求祢的聖言
[00:00:07.880 --> 00:00:11.200]  觸動、根生、改變我們的生命
[00:00:11.200 --> 00:00:14.240]  讓我們不只是增加頭腦的知識
[00:00:14.240 --> 00:00:15.840]  我們求主祢
[00:00:15.840 --> 00:00:17.760]  用祢的主權
[00:00:17.760 --> 00:00:19.480]  驅拆我們的生命
[00:00:19.480 --> 00:00:21.440]  活在祢的心意裡
[00:00:21.440 --> 00:00:24.120]  幫助孩子宣講祢的話語清楚
[00:00:24.120 --> 00:00:26.080]  我們同心謙卑領受
[00:00:26.080 --> 00:00:26.840]  禱告
[00:00:26.840 --> 00:00:28.720]  奚奉耶穌基督命求
[00:00:28.720 --> 00:00:30.240]  阿門
[00:00:30.240 --> 00:00:33.120]  今日的講題叫做《活出外》
[00:00:33.120 --> 00:00:34.320]  為了要配合
[00:00:34.320 --> 00:00:38.080]  千脈浸信教會的主題
[00:00:38.080 --> 00:00:39.120]  因為有兩句
[00:00:39.120 --> 00:00:40.720]  一句叫做幸福人生
[00:00:40.720 --> 00:00:42.400]  一句叫做活出外
[00:00:42.400 --> 00:00:44.240]  我沒可能講完兩句
[00:00:44.240 --> 00:00:45.680]  我今天就講一句
[00:00:45.680 --> 00:00:46.760]  講一句
[00:00:46.760 --> 00:00:48.800]  我就會想著
[00:00:48.800 --> 00:00:50.680]  《活出外》這個主題
[00:00:50.680 --> 00:00:53.040]  在舊約裡面的版本
[00:00:53.040 --> 00:00:54.840]  很想和大家分享
[00:00:54.840 --> 00:00:56.680]  因為我們經常聽得多的
[00:00:56.680 --> 00:00:58.440]  就是新約的版本
[00:00:58.440 --> 00:01:00.720]  就是耶穌基督為我們的罪而死
[00:01:00.720 --> 00:01:02.000]  在十字架上
[00:01:02.000 --> 00:01:04.520]  成為那個挽回祭
[00:01:04.520 --> 00:01:05.840]  這受賜愛了
[00:01:05.840 --> 00:01:07.320]  這是我們很出名
[00:01:07.320 --> 00:01:09.320]  也經常提到的
[00:01:09.320 --> 00:01:10.840]  就是《讓翰一書》
[00:01:10.840 --> 00:01:13.120]  第四章裡面的內容
[00:01:13.120 --> 00:01:15.080]  今天我們很想回歸
[00:01:15.080 --> 00:01:18.360]  就是耶穌基督曾經引用過兩段經文
[00:01:18.360 --> 00:01:20.440]  兩段都是屬於舊約
[00:01:20.440 --> 00:01:23.800]  一段就是盡心盡性盡力
[00:01:23.800 --> 00:01:26.000]  去愛耶和華祢的神
[00:01:26.000 --> 00:01:29.560]  第二段就是要愛倫舍如同自己
[00:01:29.560 --> 00:01:31.280]  原來這兩段經文
[00:01:31.280 --> 00:01:33.840]  不是耶穌基督自我的創作
[00:01:33.840 --> 00:01:36.520]  而是引用舊約的兩段經文
[00:01:36.520 --> 00:01:40.920]  一段就是盡心盡性盡力去愛耶和華
[00:01:40.920 --> 00:01:43.440]  就是來自《生命記》第六章
[00:01:43.440 --> 00:01:46.120]  那個愛倫舍如同自己
