
[00:00:00.000 --> 00:00:03.000]  在和平的日子
[00:00:03.000 --> 00:00:06.000]  和平好像可有可無
[00:00:06.000 --> 00:00:09.000]  但是當和平缺席時
[00:00:09.000 --> 00:00:12.000]  我們期待和平早日回來
[00:00:12.000 --> 00:00:14.000]  這是我今天早上
[00:00:14.000 --> 00:00:16.000]  在想爲這篇講道
[00:00:16.000 --> 00:00:18.000]  想一個開場白的時候
[00:00:18.000 --> 00:00:19.000]  我在想
[00:00:19.000 --> 00:00:21.000]  我要講什麼關於和平呢
[00:00:21.000 --> 00:00:23.000]  我就想到了這句話
[00:00:23.000 --> 00:00:26.000]  真的是
[00:00:26.000 --> 00:00:29.000]  我也是有罪的
[00:00:29.000 --> 00:00:32.000]  因爲我把上帝賜給我們的和平呢
[00:00:32.000 --> 00:00:36.000]  常常都當作是理所當然
[00:00:36.000 --> 00:00:38.000]  當作是可有可無
[00:00:38.000 --> 00:00:39.000]  但是
[00:00:39.000 --> 00:00:42.000]  當和平好像缺席的時候
[00:00:42.000 --> 00:00:46.000]  我們真的是很期待和平早日回來
[00:00:46.000 --> 00:00:50.000]  讓我們一起同心禱告
[00:00:50.000 --> 00:00:54.000]  天父上帝我們來到你跟前
[00:00:54.000 --> 00:00:58.000]  我們求你讓我們的心被你打開
[00:00:58.000 --> 00:01:00.000]  祝福我們的心
[00:01:00.000 --> 00:01:02.000]  讓我們的心
[00:01:02.000 --> 00:01:04.000]  好像一片豪土
[00:01:04.000 --> 00:01:05.000]  謙卑的
[00:01:05.000 --> 00:01:08.000]  領袖你自己的話語
[00:01:08.000 --> 00:01:09.000]  以致我們明白
[00:01:09.000 --> 00:01:12.000]  你對我們個人所說的話
[00:01:12.000 --> 00:01:13.000]  我們將禱告
[00:01:13.000 --> 00:01:14.000]  奉主耶穌基督的名
[00:01:14.000 --> 00:01:15.000]  祈求
[00:01:15.000 --> 00:01:16.000]  阿們
[00:01:16.000 --> 00:01:17.000]  觀衆姐妹
[00:01:17.000 --> 00:01:19.000]  讓我先把這段經文
[00:01:19.000 --> 00:01:21.000]  讀一遍給大家聽
[00:01:21.000 --> 00:01:23.000]  我讀的時候也稍微解釋一下
[00:01:23.000 --> 00:01:25.000]  這段經文的大概的內容
[00:01:25.000 --> 00:01:27.000]  以致我們等一下
[00:01:27.000 --> 00:01:28.000]  我們可以從這裏學習
[00:01:28.000 --> 00:01:31.000]  關於做和平之子的什麼功課
[00:01:31.000 --> 00:01:32.000]  我們就會更清楚
[00:01:32.000 --> 00:01:35.000]  這段經文講了些什麼
[00:01:35.000 --> 00:01:36.000]  聖經這麼說
[00:01:36.000 --> 00:01:40.000]  在十度行傳第六章第一到第七節
[00:01:40.000 --> 00:01:41.000]  他說
[00:01:41.000 --> 00:01:42.000]  那時
[00:01:42.000 --> 00:01:44.000]  門徒爭多
[00:01:44.000 --> 00:01:46.000]  有說希臘話的猶太人
[00:01:46.000 --> 00:01:49.000]  向希伯來人發怨言
[00:01:49.000 --> 00:01:52.000]  因爲在天天的供給上
[00:01:52.000 --> 00:01:54.000]  忽略了他們的寡婦
[00:01:54.000 --> 00:01:56.000]  所以聖經一開始
[00:01:56.000 --> 00:01:58.000]  告訴我們
[00:01:58.000 --> 00:02:00.000]  使徒早期的門徒
[00:02:00.000 --> 00:02:02.000]  他們遇到了一個問題
[00:02:02.000 --> 00:02:03.000]  人越來越多
[00:02:03.000 --> 00:02:04.000]  有些人
[00:02:04.000 --> 00:02:06.000]  他喫飯的東西
[00:02:06.000 --> 00:02:08.000]  的事情被忽略了
[00:02:08.000 --> 00:02:11.000]  然後就向那些負責的人
[00:02:11.000 --> 00:02:13.000]  去埋怨
[00:02:13.000 --> 00:02:14.000]  就是我們今天說的
[00:02:14.000 --> 00:02:16.000]  投訴
[00:02:16.000 --> 00:02:17.000]  那麼
[00:02:17.000 --> 00:02:19.000]  十二使徒叫衆門徒來
[00:02:19.000 --> 00:02:20.000]  對他們說
[00:02:20.000 --> 00:02:22.000]  我們撇下神的道
[00:02:22.000 --> 00:02:23.000]  去管理飯食
[00:02:23.000 --> 00:02:25.000]  原是不合宜的
[00:02:25.000 --> 00:02:26.000]  所以弟兄們
[00:02:26.000 --> 00:02:28.000]  當從你們中間
[00:02:28.000 --> 00:02:29.000]  選出七個
[00:02:29.000 --> 00:02:31.000]  有好名聲
[00:02:31.000 --> 00:02:32.000]  被聖靈充滿
[00:02:32.000 --> 00:02:34.000]  智慧充足的人
[00:02:34.000 --> 00:02:36.000]  我們就派他們
[00:02:36.000 --> 00:02:37.000]  管理這事
[00:02:37.000 --> 00:02:39.000]  但我們要專心
[00:02:39.000 --> 00:02:41.000]  以祈禱傳道爲事
[00:02:41.000 --> 00:02:43.000]  這幾節經文
[00:02:43.000 --> 00:02:44.000]  讓我們看見十二使徒
[00:02:44.000 --> 00:02:46.000]  他們在處理這件問題
[00:02:46.000 --> 00:02:48.000]  他們就告訴衆人
[00:02:48.000 --> 00:02:49.000]  他們決定
[00:02:49.000 --> 00:02:51.000]  要怎樣的處理
[00:02:51.000 --> 00:02:52.000]  這件事情
[00:02:52.000 --> 00:02:54.000]  他們自己去處理
[00:02:54.000 --> 00:02:55.000]  他們自己下當
[00:02:55.000 --> 00:02:57.000]  他們就讓他們
[00:02:57.000 --> 00:02:58.000]  在衆人當中
[00:02:58.000 --> 00:03:00.000]  選出七個人來處理
[00:03:00.000 --> 00:03:01.000]  第五節
[00:03:01.000 --> 00:03:03.000]  大衆都喜悅這話
[00:03:03.000 --> 00:03:05.000]  就揀選了
[00:03:05.000 --> 00:03:06.000]  史提反
[00:03:06.000 --> 00:03:07.000]  乃是大有信心
[00:03:07.000 --> 00:03:09.000]  聖靈充滿的人
[00:03:09.000 --> 00:03:10.000]  又揀選斐利
[00:03:10.000 --> 00:03:12.000]  波羅哥羅
[00:03:12.000 --> 00:03:13.000]  尼加諾
[00:03:13.000 --> 00:03:14.000]  提門
[00:03:14.000 --> 00:03:15.000]  巴米納
[00:03:15.000 --> 00:03:17.000]  並敬猶太教的
[00:03:17.000 --> 00:03:20.000]  安提阿仁尼格拉
[00:03:20.000 --> 00:03:22.000]  叫他們站在使徒面前
[00:03:22.000 --> 00:03:23.000]  使徒禱告了
[00:03:23.000 --> 00:03:26.000]  就按手在他們的頭上
[00:03:26.000 --> 00:03:27.000]  基本上
[00:03:27.000 --> 00:03:29.000]  他們就揀選了這七個人
[00:03:29.000 --> 00:03:30.000]  然後
[00:03:30.000 --> 00:03:32.000]  使徒就爲他們禱告
[00:03:32.000 --> 00:03:33.000]  第七節
[00:03:33.000 --> 00:03:35.000]  神的道興旺起來
[00:03:35.000 --> 00:03:36.000]  在耶路撒冷
[00:03:36.000 --> 00:03:37.000]  門徒
[00:03:37.000 --> 00:03:38.000]  樹木增加增
[00:03:38.000 --> 00:03:40.000]  的甚多
[00:03:40.000 --> 00:03:41.000]  也有許多祭司
[00:03:41.000 --> 00:03:43.000]  信從了這道
