
[00:00:00.000 --> 00:00:05.000]  師父多謝您給我們能夠再次對您的說話有這樣的機會去打開言讀
[00:00:05.000 --> 00:00:10.000]  求您賜我們每一個人有一個隨著聖靈引導的心智
[00:00:10.000 --> 00:00:12.000]  保障我們去聽到的道理
[00:00:12.000 --> 00:00:14.000]  不單止藏在心裡
[00:00:14.000 --> 00:00:18.000]  並且能夠看得通、看得透並付諸於實行
[00:00:18.000 --> 00:00:19.000]  求您與我們同在
[00:00:19.000 --> 00:00:25.000]  讓我們每一個都能夠以真道去活出我們每一個屬神子民的生命
[00:00:25.000 --> 00:00:31.000]  親愛的主,感謝您給我們今天能夠有這個機會打開您的說話
[00:00:31.000 --> 00:00:56.000]  來到研讀您的聖言
[00:00:56.000 --> 00:00:57.000]  求您的幫助
[00:00:57.000 --> 00:01:00.000]  使我們能夠在今天的講道裡面
[00:01:00.000 --> 00:01:04.000]  我們再次能夠不單止學習主理的道理
[00:01:04.000 --> 00:01:06.000]  也同時能夠付諸於實行
[00:01:06.000 --> 00:01:09.000]  使我們能夠完完全全地
[00:01:09.000 --> 00:01:11.000]  站在主理的道理當中
[00:01:11.000 --> 00:01:13.000]  考上祢的職業
[00:01:13.000 --> 00:01:15.000]  我們大家恭祝耶穌的名聲
[00:01:15.000 --> 00:01:16.000]  Amen
[00:01:16.000 --> 00:01:22.000]  我們今天活在一個民主的社會制度之下
[00:01:22.000 --> 00:01:25.000]  我們今天活在一個民主的社會制度之下
[00:01:25.000 --> 00:01:29.000]  民主的最大的特色就是有選舉權
[00:01:29.000 --> 00:01:32.000]  民主最大的特色就是有選舉權
[00:01:32.000 --> 00:01:34.000]  為什麼要有選舉呢?
[00:01:34.000 --> 00:01:35.000]  為什麼要進行選舉呢?
[00:01:35.000 --> 00:01:37.000]  選舉最主要的目的
[00:01:37.000 --> 00:01:39.000]  選舉最主要的目的是?
[00:01:39.000 --> 00:01:43.000]  就是找出大眾能夠認同的一個看法
[00:01:43.000 --> 00:01:45.000]  就是能夠找出大眾所認同的看法
[00:01:45.000 --> 00:01:50.000]  因此選舉在背後有一個很重要的原則存在
[00:01:50.000 --> 00:01:54.000]  而選舉其實有一個很重要的原則藏在背後
[00:01:54.000 --> 00:01:58.000]  就是必須是少數服從多數
[00:01:58.000 --> 00:02:00.000]  那就是必須少數服從多數
[00:02:00.000 --> 00:02:03.000]  今天我們這個整個世界環球的風氣
[00:02:03.000 --> 00:02:07.000]  都奉這個少數服從多數這個觀念
[00:02:07.000 --> 00:02:09.000]  去成為金科玉律
[00:02:09.000 --> 00:02:12.000]  就是說今天在這個全世界裡面
