
[00:00:00.000 --> 00:00:03.080]  我們先讀一段經文
[00:00:03.080 --> 00:00:08.100]  在《出埃及記》三章
[00:00:08.100 --> 00:00:13.160]  摩西對神說
[00:00:13.160 --> 00:00:15.880]  我是什麼人
[00:00:15.880 --> 00:00:19.600]  竟能去見法老
[00:00:19.600 --> 00:00:24.480]  把以色列人從埃及領出來呢
[00:00:24.480 --> 00:00:28.920]  神說我必與你同在
[00:00:29.920 --> 00:00:32.080]  這就是我差派你去
[00:00:32.080 --> 00:00:34.160]  給你的憑據
[00:00:34.160 --> 00:00:38.400]  你把百姓從埃及領出來之後
[00:00:38.400 --> 00:00:42.160]  你們必在這山上侍奉神
[00:00:42.160 --> 00:00:45.000]  我們同心圖個
[00:00:45.000 --> 00:00:52.600]  親愛的主 我們仰望你
[00:00:52.600 --> 00:00:54.320]  我們懇求你恩待我們
[00:00:55.120 --> 00:00:59.840]  幾位眾弟兄姊妹們在今天虔守主餐之前
[00:00:59.840 --> 00:01:02.920]  我們一同去聽你的話語
[00:01:02.920 --> 00:01:06.640]  求你的話語在我們的生命裡面
[00:01:06.640 --> 00:01:09.240]  也在我們口的當中
[00:01:09.240 --> 00:01:12.640]  讓我們常常經歷到你的同在
[00:01:12.640 --> 00:01:15.120]  主我們仰望你
[00:01:15.120 --> 00:01:17.000]  我們愛你
[00:01:17.000 --> 00:01:21.080]  我們的禱告是奉主耶穌基督明自求
[00:01:21.080 --> 00:01:22.520]  阿們
[00:01:25.920 --> 00:01:30.280]  今天我會跟大家說摩西的故事
[00:01:30.280 --> 00:01:37.400]  上個月吳家麒傳道
[00:01:37.400 --> 00:01:45.200]  跟我們一班兒幼的女兒妹妹說道、說故事
[00:01:45.200 --> 00:01:50.160]  他們舉手很興奮地做作答的功夫
[00:01:51.000 --> 00:01:55.320]  今天我也想跟你們說一個故事
[00:01:55.320 --> 00:01:58.360]  希望你們在當中記得這個故事
[00:01:58.360 --> 00:02:02.480]  記得摩西這位人物在你生命裡面
[00:02:02.480 --> 00:02:06.400]  學校她是與神同行
