
[00:00:00.000 --> 00:00:09.800]  我們在前面一段時間 講到家庭的關係
[00:00:09.800 --> 00:00:13.300]  我們花了三次的時間 來講到夫妻關係
[00:00:13.300 --> 00:00:16.500]  可以看見家庭關係是一個非常重要的
[00:00:16.500 --> 00:00:18.300]  特別是夫妻關係
[00:00:18.300 --> 00:00:24.700]  所以你夫妻在一起 你跟他講說你很重要
[00:00:24.700 --> 00:00:29.200]  缺一不可 不能只有太太也要先生
[00:00:29.200 --> 00:00:31.300]  也不能只有先生要太太
[00:00:31.300 --> 00:00:37.500]  夫妻兩個人都共同來建造一個和樂的家庭
[00:00:37.500 --> 00:00:41.900]  那麼其實接著保羅就講到第六章第一節到第四節
[00:00:41.900 --> 00:00:44.700]  是講到做父母親的該怎麼樣子教孩子
[00:00:44.700 --> 00:00:47.700]  做兒女的該如何孝順父母親
[00:00:47.700 --> 00:00:50.500]  這一段聲經我就把它skip掉了
[00:00:50.500 --> 00:00:55.300]  為什麼 因為去年的父親節
[00:00:55.300 --> 00:00:57.800]  如果你記性好的話 我都記得
[00:00:57.800 --> 00:01:03.200]  去年的父親節我提早就把它講了
[00:01:03.200 --> 00:01:06.600]  可以再講了 不過我想還是新鮮點好了
[00:01:06.600 --> 00:01:11.900]  所以今天我就要講第五節到第九節
[00:01:11.900 --> 00:01:15.500]  這還是講關係 講什麼呢
[00:01:15.500 --> 00:01:19.500]  講到基督徒在工作的時候
[00:01:19.500 --> 00:01:22.600]  我們現在流行的這個叫做職場
[00:01:22.600 --> 00:01:26.300]  marketplace 在職場的關係
[00:01:26.300 --> 00:01:28.000]  做員工的 做老闆的
[00:01:28.000 --> 00:01:29.800]  我們當中有做老闆的 是不是
[00:01:29.800 --> 00:01:32.500]  也有做員工的 有沒有
[00:01:32.500 --> 00:01:34.300]  所以我們都需要知道
[00:01:34.300 --> 00:01:37.200]  那成為一個基督徒之後該怎麼辦
[00:01:37.200 --> 00:01:39.600]  當時候保羅寫這段聖經的時候是因為
[00:01:39.600 --> 00:01:42.300]  羅馬帝國統一天下的時候
[00:01:42.300 --> 00:01:45.600]  當時候據說從各國俘虜來的
[00:01:45.600 --> 00:01:47.300]  或者是各式各樣的因素
[00:01:47.300 --> 00:01:52.000]  他們成為奴隸的大概有六千萬
[00:01:52.000 --> 00:01:55.300]  所以當時有很多人他做奴隸
[00:01:55.300 --> 00:01:57.600]  那麼他信了耶穌
[00:01:57.600 --> 00:02:03.500]  這時候他要怎麼樣子來做一個基督徒的奴隸呢
[00:02:03.500 --> 00:02:05.900]  但有的主人是基督徒
[00:02:05.900 --> 00:02:09.600]  怎麼樣子做一個基督徒的主人呢
[00:02:09.600 --> 00:02:12.000]  應用在我們今天來講
[00:02:12.000 --> 00:02:17.500]  其實工作是在我們人生當中很大的部分
[00:02:17.500 --> 00:02:20.700]  我們當中 我稍微做個調查
[00:02:20.700 --> 00:02:24.300]  我們當中有多少已經退休了
[00:02:24.300 --> 00:02:26.300]  沒有在工作的
[00:02:26.300 --> 00:02:28.000]  簡單說就是沒工作的
[00:02:28.000 --> 00:02:30.400]  就請舉手 不管是不退休
[00:02:30.400 --> 00:02:32.200]  好不好 舉一下手 舉高一點
[00:02:32.200 --> 00:02:35.300]  這些都是幸福人士
[00:02:35.300 --> 00:02:38.000]  舉高一點 舉高一點
[00:02:38.000 --> 00:02:40.900]  就是睡覺可以睡到自然醒的
[00:02:40.900 --> 00:02:43.500]  請放下
[00:02:43.500 --> 00:02:47.700]  可能大概佔了三分之一
[00:02:47.700 --> 00:02:54.000]  那其他應該都是所謂的有工作的對不對
[00:02:54.000 --> 00:02:58.400]  有多少人很享受自己工作的
[00:02:58.400 --> 00:03:01.400]  舉一下手
[00:03:01.400 --> 00:03:10.500]  不錯 感謝讚美主
[00:03:10.500 --> 00:03:12.500]  根據統計
[00:03:12.500 --> 00:03:20.600]  在美國大概年齡在24到35歲之間的這些職場人員
