
[00:00:00.000 --> 00:00:07.000]  今天我很想跟大家一起看傳道書當中的一個信息
[00:00:07.000 --> 00:00:13.000]  特別是最近我自己有時看新聞
[00:00:13.000 --> 00:00:19.000]  都發覺原來在疫情裏面有很多不同的意見
[00:00:19.000 --> 00:00:21.000]  關乎政府也好
[00:00:21.000 --> 00:00:24.000]  關乎每一個不同的人也好
[00:00:24.000 --> 00:00:28.000]  有一個是我以前曾經講到的時候都提過
[00:00:28.000 --> 00:00:32.000]  是近這段日子在網絡上也好
[00:00:32.000 --> 00:00:35.000]  在一些地方出現過的躺平
[00:00:35.000 --> 00:00:39.000]  到底香港現有的狀況
[00:00:39.000 --> 00:00:44.000]  是否真的好像這個躺平的意思呢
[00:00:44.000 --> 00:00:51.000]  傳道書其實是一本書可能對弟兄姊妹來說有熟悉的
[00:00:51.000 --> 00:00:56.000]  可能有時剛回來教會不久的弟兄姊妹也未必看過不太熟悉
[00:00:56.000 --> 00:01:03.000]  有機會大家可以希望能夠回去看一下傳道書
[00:01:03.000 --> 00:01:06.000]  看完之後不知道大家會不會覺得
[00:01:06.000 --> 00:01:13.000]  傳道書會不會是一位躺平信徒的告白呢
[00:01:13.000 --> 00:01:21.000]  其實可能你不需要看完整本傳道書都會有些感覺也好
[00:01:21.000 --> 00:01:24.000]  你大概看傳道書的頭三章左右
[00:01:24.000 --> 00:01:27.000]  你大概都可以有少少覺得
[00:01:27.000 --> 00:01:35.000]  傳道書會不會好像一個躺平信徒所講所經歷的東西呢
[00:01:35.000 --> 00:01:42.000]  所以我今天大概會抽一部份傳道書的經文
[00:01:42.000 --> 00:01:44.000]  和大家來思考一下
[00:01:44.000 --> 00:01:49.000]  傳道書裏面我先想和大家看幾節的經文
[00:01:49.000 --> 00:01:53.000]  主要來自第一章和第十二章
[00:01:53.000 --> 00:01:57.000]  這裡講到傳道者說
[00:01:57.000 --> 00:02:04.000]  虛空的虛空 虛空的虛空 凡事都是虛空
[00:02:04.000 --> 00:02:12.000]  我見日光之下所作的一切事 都是虛空 都是暴風
[00:02:12.000 --> 00:02:14.000]  第十二章
[00:02:14.000 --> 00:02:20.000]  在者傳道者因有智慧 仍將知識教訓眾人
[00:02:20.000 --> 00:02:26.000]  又默想 又考察 又陳述許多真言
[00:02:26.000 --> 00:02:30.000]  傳道者專心尋求可喜悅的言語
[00:02:30.000 --> 00:02:34.000]  是憑正直寫的誠實話
[00:02:34.000 --> 00:02:37.000]  十三、十四節是十二章
[00:02:37.000 --> 00:02:40.000]  也是整個傳道書最後的兩節經文
[00:02:40.000 --> 00:02:42.000]  這些事都已聽見了
[00:02:42.000 --> 00:02:47.000]  總之就是敬畏神 謹守他的誡命
[00:02:47.000 --> 00:02:50.000]  這是人所當盡的本分
