
[00:00:00.000 --> 00:00:03.540]  咁我哋繼續去思考詩篇裡面嘅說話
[00:00:03.540 --> 00:00:06.500]  咁我哋呢個series都係會講幾篇嘅詩篇
[00:00:06.500 --> 00:00:08.500]  上一次講到137篇係咪
[00:00:08.500 --> 00:00:10.500]  我知道呢我哋網路會斷咗嘅
[00:00:10.500 --> 00:00:13.500]  咁我希望呢能夠有時間可以錄返
[00:00:13.500 --> 00:00:15.500]  即係137篇係咪斷咗一半
[00:00:15.500 --> 00:00:17.000]  後面嗰半冇咗
[00:00:17.000 --> 00:00:19.000]  不過未有時間去錄返
[00:00:19.000 --> 00:00:25.000]  不過今次我哋睇呢個嘅詩篇第十九篇
[00:00:25.000 --> 00:00:27.000]  我哋先嚟讀
[00:00:27.000 --> 00:00:32.000]  諸天術說 神的榮耀 窮莊傳揚他的作為
[00:00:32.000 --> 00:00:35.000]  天天發出言語 夜夜傳出知識
[00:00:35.000 --> 00:00:38.000]  沒有話語沒有言詞
[00:00:38.000 --> 00:00:40.000]  人也聽不到他們的聲音
[00:00:40.000 --> 00:00:44.000]  他們的聲音全遍全地
[00:00:44.000 --> 00:00:47.000]  他們的言語全遍地極
[00:00:47.000 --> 00:00:51.000]  神在他們中間為太陽安設咗帳幕
[00:00:51.000 --> 00:00:54.000]  呢個係詩篇第十九篇頭一半
[00:00:54.000 --> 00:00:57.000]  呢度每時每刻話畀我哋聽原來整個宇宙
[00:00:57.000 --> 00:00:59.000]  喺度講緊說話
[00:00:59.000 --> 00:01:02.000]  喺度對我哋去到發出言語
[00:01:02.000 --> 00:01:04.000]  但係呢啲言語好奇怪
[00:01:04.000 --> 00:01:06.000]  佢話無言也無語
[00:01:06.000 --> 00:01:08.000]  但係繼續去到講說話
[00:01:08.000 --> 00:01:11.000]  好明顯就唔係講緊我哋人講嘅human language
[00:01:11.000 --> 00:01:15.000]  但係佢係好清楚嚟到去發出一啲嘅訊息
[00:01:15.000 --> 00:01:17.000]  就係講到上帝嘅榮耀
[00:01:17.000 --> 00:01:21.000]  上帝嘅嗰個權能
[00:01:21.000 --> 00:01:23.000]  喺邊度睇到
[00:01:23.000 --> 00:01:26.000]  喺呢個世界宇宙裡面睇到
[00:01:26.000 --> 00:01:29.000]  我哋每踏足呢個世界每一步
[00:01:29.000 --> 00:01:32.000]  都係屬於上帝嘅領域
[00:01:32.000 --> 00:01:35.000]  上帝自己嘅property嚟嘅
[00:01:35.000 --> 00:01:37.000]  諗清楚我哋每一個square inch
[00:01:37.000 --> 00:01:40.000]  每一個嘅平方寸
[00:01:40.000 --> 00:01:43.000]  都係屬於上帝嘅
[00:01:43.000 --> 00:01:45.000]  喺我屋企附近
[00:01:45.000 --> 00:01:48.000]  最近有一間屋就係出賣
[00:01:48.000 --> 00:01:50.000]  即係佢去到賣出嚟
[00:01:50.000 --> 00:01:52.000]  放喺market嗰度
[00:01:52.000 --> 00:01:54.000]  咁我就同我個仔就
[00:01:54.000 --> 00:01:56.000]  八卦我哋走去睇下
[00:01:56.000 --> 00:01:58.000]  唔係因為我哋有錢買屋
[00:01:58.000 --> 00:02:00.000]  我哋冇錢買屋
[00:02:00.000 --> 00:02:02.000]  但係我哋見到佢整咗咁耐
[00:02:02.000 --> 00:02:04.000]  翻身過咁我哋入去睇一睇
[00:02:04.000 --> 00:02:06.000]  入到去嘅時候
[00:02:06.000 --> 00:02:08.000]  我哋發現冇人
[00:02:08.000 --> 00:02:10.000]  晏晝嘅時候
[00:02:10.000 --> 00:02:12.000]  open house嘅時候走入去
[00:02:12.000 --> 00:02:14.000]  但係我感覺好新鮮
[00:02:14.000 --> 00:02:16.000]  因為一間空嘅屋
[00:02:16.000 --> 00:02:18.000]  一間完全裝修好曬
[00:02:18.000 --> 00:02:20.000]  裝修得好靚嘅一間細屋
[00:02:20.000 --> 00:02:22.000]  但係入到去嘅時候
[00:02:22.000 --> 00:02:24.000]  我哋就同我個仔
[00:02:24.000 --> 00:02:26.000]  快啲我哋因為趕時間要走
[00:02:26.000 --> 00:02:28.000]  咁我哋入去上到去樓上
[00:02:28.000 --> 00:02:30.000]  跟住再落返嚟
[00:02:30.000 --> 00:02:32.000]  見到有幾個房咁得得
[00:02:32.000 --> 00:02:34.000]  有個感覺就係
[00:02:34.000 --> 00:02:36.000]  嗰個地方唔係屬於我
[00:02:36.000 --> 00:02:38.000]  係屬於人哋
[00:02:38.000 --> 00:02:40.000]  同我自己入屋係唔同
[00:02:40.000 --> 00:02:42.000]  同我自己住嘅地方係唔同
[00:02:42.000 --> 00:02:44.000]  因為Owner說唔係我度
[00:02:44.000 --> 00:02:46.000]  其實我哋
[00:02:46.000 --> 00:02:48.000]  行我哋嘅每一日
[00:02:48.000 --> 00:02:50.000]  每一步嘅時候
[00:02:50.000 --> 00:02:52.000]  其實都應該有一個咁樣嘅感覺
[00:02:52.000 --> 00:02:54.000]  個感覺就係呢個
[00:02:54.000 --> 00:02:56.000]  係上帝嘅property
[00:02:56.000 --> 00:02:58.000]  呢個宇宙係上帝所創造
[00:02:58.000 --> 00:03:00.000]  係屬於佢嘅
[00:03:00.000 --> 00:03:02.000]  沒有話語沒有言詞
[00:03:02.000 --> 00:03:04.000]  人也聽不到
[00:03:04.000 --> 00:03:06.000]  他們嘅聲音
[00:03:06.000 --> 00:03:08.000]  但係每一天去到述說
[00:03:08.000 --> 00:03:10.000]  時時刻刻嘅
[00:03:10.000 --> 00:03:12.000]  嚟到去傳揚
[00:03:12.000 --> 00:03:14.000]  話畀我哋聽原來呢個宇宙
[00:03:14.000 --> 00:03:16.000]  係講緊
[00:03:16.000 --> 00:03:18.000]  上帝嘅存在
[00:03:18.000 --> 00:03:20.000]  上帝嘅glory
[00:03:20.000 --> 00:03:22.000]  上帝嘅榮耀
[00:03:22.000 --> 00:03:24.000]  等於你去到
[00:03:24.000 --> 00:03:26.000]  睇一幅好靚嘅畫咁樣
[00:03:26.000 --> 00:03:28.000]  好靚嘅藝術品咁樣
[00:03:28.000 --> 00:03:30.000]  藝術品係同你講緊
[00:03:30.000 --> 00:03:32.000]  背後嗰一位
[00:03:32.000 --> 00:03:34.000]  藝術家
[00:03:34.000 --> 00:03:36.000]  佢嘅偉大佢嘅智慧
[00:03:36.000 --> 00:03:38.000]  詩篇十九篇
[00:03:38.000 --> 00:03:42.000]  去到提醒我哋
[00:03:42.000 --> 00:03:44.000]  雖然聽唔見但係佢話呢
[00:03:44.000 --> 00:03:46.000]  講緊上帝嘅榮耀
[00:03:46.000 --> 00:03:48.000]  上個星期二大家知道
[00:03:48.000 --> 00:03:50.000]  有單大新聞
[00:03:50.000 --> 00:03:52.000]  同太空有關
[00:03:52.000 --> 00:03:54.000]  大家有冇留意
[00:03:54.000 --> 00:03:56.000]  大家冇咩留意啲
[00:03:56.000 --> 00:03:58.000]  大家都係諗住食
[00:03:58.000 --> 00:04:00.000]  有咩好食有咩好飲
[00:04:00.000 --> 00:04:02.000]  有咩新嘅餐館開等等
[00:04:02.000 --> 00:04:04.000]  上個星期二有單好大好大嘅新聞
[00:04:04.000 --> 00:04:06.000]  全球
[00:04:06.000 --> 00:04:08.000]  所謂震驚全球嘅一單新聞
[00:04:08.000 --> 00:04:10.000]  就係2021年
[00:04:10.000 --> 00:04:12.000]  12月嘅時候
[00:04:12.000 --> 00:04:14.000]  總署就發射咗一個嘅
[00:04:14.000 --> 00:04:16.000]  望遠鏡
[00:04:16.000 --> 00:04:18.000]  上到去
[00:04:18.000 --> 00:04:20.000]  太空
[00:04:20.000 --> 00:04:22.000]  嗰個望遠鏡叫做
[00:04:22.000 --> 00:04:24.000]  James Webb Space Telescope
[00:04:24.000 --> 00:04:26.000]  佢就
[00:04:26.000 --> 00:04:28.000]  彈咗呢個嘢上去
[00:04:28.000 --> 00:04:30.000]  然之後呢一路向
[00:04:30.000 --> 00:04:32.000]  深嘅太空呢去進發
[00:04:32.000 --> 00:04:34.000]  跟住上個星期二
[00:04:34.000 --> 00:04:36.000]  就第一次傳送
[00:04:36.000 --> 00:04:38.000]  幾張嘅相片返嚟
[00:04:38.000 --> 00:04:40.000]  大概幾張
[00:04:40.000 --> 00:04:42.000]  五六七張
[00:04:42.000 --> 00:04:44.000]  返嚟地球
[00:04:44.000 --> 00:04:46.000]  然之後太空總署NASA就收到
[00:04:46.000 --> 00:04:48.000]  然之後就將佢公佈出嚟
[00:04:48.000 --> 00:04:50.000]  呢個呢係
[00:04:50.000 --> 00:04:52.000]  有史以嚟
[00:04:52.000 --> 00:04:54.000]  第一次睇見嗰個
[00:04:54.000 --> 00:04:56.000]  deep space
[00:04:56.000 --> 00:04:58.000]  裏面以前未睇過嘅
[00:04:58.000 --> 00:05:00.000]  一百年前
[00:05:00.000 --> 00:05:02.000]  我哋所知道呢個嘅
[00:05:02.000 --> 00:05:04.000]  宇宙即係得一個嘅
[00:05:04.000 --> 00:05:06.000]  銀河系galaxy
[00:05:06.000 --> 00:05:08.000]  而家當然我哋越嚟越知多
