
[00:00:00.000 --> 00:00:04.000]  明天早上,讓我再次同心祈禱
[00:00:04.000 --> 00:00:09.000]  天母上帝,我們感謝祢讓我們一起敬拜祢
[00:00:09.000 --> 00:00:14.000]  主耶穌求祢在我們中間親自對我們說話
[00:00:14.000 --> 00:00:17.000]  聖靈願意在我們中間隨意運行
[00:00:17.000 --> 00:00:21.000]  幫助我們能夠保守聖靈所賜合而為一的心
[00:00:21.000 --> 00:00:24.000]  我們願意將整個敬拜獻給祢,求祢原諒
[00:00:24.000 --> 00:00:27.000]  多謝聽我們祈禱奉主耶穌的名號
[00:00:29.000 --> 00:00:31.000]  剛才當詩歌唱到
[00:00:31.000 --> 00:00:34.000]  竭力保守聖靈所賜合而為一的心
[00:00:34.000 --> 00:00:35.000]  其實很有意思的
[00:00:35.000 --> 00:00:39.000]  受詩歌來自《已不鎖書》第四章
[00:00:39.000 --> 00:00:41.000]  今天講少少
[00:00:41.000 --> 00:00:44.000]  特別講到聖靈所賜合而為一的心
[00:00:44.000 --> 00:00:46.000]  講一些題外話
[00:00:46.000 --> 00:00:48.000]  不過這些題外話我相信是重要的
[00:00:48.000 --> 00:00:50.000]  為什麼講題外話呢
[00:00:50.000 --> 00:00:53.000]  其實我見我很欣賞弟兄姊妹
[00:00:53.000 --> 00:00:56.000]  其實都很準時參加崇拜
[00:00:56.000 --> 00:00:59.000]  但我見不同的弟兄姊妹都很困擾
[00:00:59.000 --> 00:01:01.000]  為什麼很困擾呢
[00:01:01.000 --> 00:01:06.000]  通常帶著敬拜的就很準時開始崇拜
[00:01:06.000 --> 00:01:10.000]  回來的弟兄姊妹就很準時參與崇拜
[00:01:10.000 --> 00:01:14.000]  但我時時見到弟兄姊妹回來崇拜的時候
[00:01:14.000 --> 00:01:15.000]  就不停看手錶
[00:01:15.000 --> 00:01:16.000]  我明明是準時的
[00:01:16.000 --> 00:01:20.000]  為什麼開始崇拜又好像我遲到呢
[00:01:20.000 --> 00:01:22.000]  知不知道原因是什麼
[00:01:22.000 --> 00:01:23.000]  我想沒有人知道的
[00:01:23.000 --> 00:01:25.000]  是後面有一個古惑的鐘
[00:01:26.000 --> 00:01:29.000]  這個古惑的鐘其實出什麼問題呢
[00:01:29.000 --> 00:01:32.000]  其實每個人的態度都很對
[00:01:32.000 --> 00:01:33.000]  很想準時崇拜
[00:01:33.000 --> 00:01:34.000]  所以帶敬拜的
[00:01:34.000 --> 00:01:36.000]  幾時都要看著後面的鐘
[00:01:36.000 --> 00:01:37.000]  一準時就開始了
[00:01:37.000 --> 00:01:39.000]  準時不開始就被人罵了
[00:01:39.000 --> 00:01:43.000]  為什麼有些早回來的我不開始崇拜
[00:01:43.000 --> 00:01:46.000]  回來的弟兄姊妹都是很準時崇拜的
[00:01:46.000 --> 00:01:49.000]  但從來沒有人知道這個鐘是古惑的鐘
[00:01:49.000 --> 00:01:51.000]  這個鐘其實是刻意調快的
[00:01:51.000 --> 00:01:53.000]  其實不會調慢的
[00:01:53.000 --> 00:01:56.000]  可以跟學校溝通一下調慢準時就可以了
[00:01:56.000 --> 00:01:57.000]  其實就是知道那些講員
[00:01:57.000 --> 00:01:59.000]  我這些長氣沉氣的
[00:01:59.000 --> 00:02:01.000]  所以學校通常有些要放學
[00:02:01.000 --> 00:02:02.000]  有些校巴
[00:02:02.000 --> 00:02:03.000]  那些家長來到
[00:02:03.000 --> 00:02:07.000]  如果遲遲那些家長接不到放學
[00:02:07.000 --> 00:02:10.000]  那些校巴排著隊接不到
[00:02:10.000 --> 00:02:11.000]  就很大問題了
[00:02:11.000 --> 00:02:13.000]  那些家長就吵了
[00:02:13.000 --> 00:02:15.000]  所以後面的鐘是調快了三分鐘
[00:02:15.000 --> 00:02:18.000]  所以帶敬拜的其實是準時帶敬拜
[00:02:18.000 --> 00:02:21.000]  回來崇拜的弟兄姊妹都是準時回來崇拜
[00:02:21.000 --> 00:02:23.000]  不過經常有這樣的誤差
[00:02:23.000 --> 00:02:26.000]  我都見到每個人回來都看手錶
[00:02:26.000 --> 00:02:28.000]  其實你的手錶是沒有壞的
[00:02:28.000 --> 00:02:30.000]  帶敬拜那個也很認真的
[00:02:30.000 --> 00:02:31.000]  所以大家都沒有錯
[00:02:31.000 --> 00:02:32.000]  錯就錯在那個鐘
[00:02:32.000 --> 00:02:34.000]  這個是一個古惑的鐘
[00:02:34.000 --> 00:02:35.000]  所以我講一次的時候
[00:02:35.000 --> 00:02:37.000]  希望無論帶敬拜也好
[00:02:37.000 --> 00:02:39.000]  弟兄姊妹回來也好
[00:02:39.000 --> 00:02:43.000]  我想如果日後你慢了兩三分鐘
[00:02:43.000 --> 00:02:44.000]  我們不會覺得你遲
[00:02:44.000 --> 00:02:46.000]  其實那些弟兄姊妹是準時回來的
[00:02:46.000 --> 00:02:47.000]  為什麼要講呢
[00:02:47.000 --> 00:02:49.000]  因為講的是保守聖靈所賜合而為一的心
[00:02:49.000 --> 00:02:51.000]  我不想因為那個鐘
[00:02:51.000 --> 00:02:53.000]  就搞到我明明是準時回來
[00:02:53.000 --> 00:02:54.000]  但那個又是準時帶
[00:02:54.000 --> 00:02:55.000]  但大家都不明白
[00:02:55.000 --> 00:02:57.000]  為什麼每次回來都不準時呢
[00:02:57.000 --> 00:02:59.000]  所以告訴你一個奧秘
[00:02:59.000 --> 00:03:00.000]  就是古惑的鐘
[00:03:00.000 --> 00:03:01.000]  問題在那個鐘上
[00:03:01.000 --> 00:03:03.000]  不是在那個人上
[00:03:03.000 --> 00:03:06.000]  今天跟大家分享的時候
[00:03:06.000 --> 00:03:08.000]  昨天一起去
[00:03:08.000 --> 00:03:10.000]  有很多弟兄姊妹出席婚禮
[00:03:10.000 --> 00:03:11.000]  我想去婚禮的時候
[00:03:11.000 --> 00:03:12.000]  大家都很歡喜快樂
[00:03:12.000 --> 00:03:14.000]  一起見證著弟兄姊妹
[00:03:14.000 --> 00:03:16.000]  在神的面前提結婚盟
[00:03:16.000 --> 00:03:18.000]  我見弟兄姊妹有很多彼此的配搭
[00:03:18.000 --> 00:03:20.000]  無論在昨天裡面有主席
[00:03:20.000 --> 00:03:22.000]  有訊息 有分享 有禱告
[00:03:22.000 --> 00:03:24.000]  有獻詩 有招待
[00:03:24.000 --> 00:03:26.000]  很多弟兄姊妹一起去歡喜快樂
[00:03:26.000 --> 00:03:28.000]  為著我們的弟兄姊妹
[00:03:28.000 --> 00:03:30.000]  我們獻上感恩
[00:03:30.000 --> 00:03:34.000]  婚禮裡面很多時候都會講的經文
[00:03:34.000 --> 00:03:35.000]  我們很熟悉
[00:03:35.000 --> 00:03:36.000]  哥倫多前書第十三章
[00:03:36.000 --> 00:03:38.000]  我想已熟能詳的經文
