
[00:00:00.000 --> 00:00:04.320]  (主席)剛才聽到師班的獻唱
[00:00:04.320 --> 00:00:08.920]  可能之前有些心靈相通
[00:00:08.920 --> 00:00:10.920]  所以我題目都改了
[00:00:10.920 --> 00:00:13.120]  經文是一樣的,沒有變
[00:00:13.120 --> 00:00:14.720]  題目改了
[00:00:14.720 --> 00:00:19.520]  題目是《孩子是我們的希望》
[00:00:19.520 --> 00:00:22.520]  我們首先有個禱告
[00:00:22.520 --> 00:00:25.520]  親愛的聖靈,我們在向你禱告
[00:00:25.520 --> 00:00:29.320]  求主祢,藉著祢的聖導、鼓勵
[00:00:29.320 --> 00:00:31.520]  和安慰我們眾人
[00:00:31.520 --> 00:00:33.520]  也因著祢的聖導
[00:00:33.520 --> 00:00:36.520]  讓我們生命得到更新
[00:00:36.520 --> 00:00:39.520]  而將自己獻上
[00:00:39.520 --> 00:00:41.520]  聽我們的禱告
[00:00:41.520 --> 00:00:43.520]  是奉基督耶穌命求
[00:00:43.520 --> 00:00:48.520]  很多人會這樣說
[00:00:48.520 --> 00:00:51.520]  孩子是我們的希望
[00:00:51.520 --> 00:00:54.520]  是我們的未來
[00:00:55.520 --> 00:01:01.520]  但如果根據勞工和福利局局長羅志光
[00:01:01.520 --> 00:01:08.520]  在2018年8月12日的網誌這樣寫
[00:01:08.520 --> 00:01:11.520]  香港的生育率
[00:01:11.520 --> 00:01:15.520]  可能是世界上最低的
[00:01:15.520 --> 00:01:19.520]  即是說每一名女子
[00:01:19.520 --> 00:01:24.520]  只有低於1.126個孩子
[00:01:25.520 --> 00:01:28.520]  但這個數目為何不準確呢?
[00:01:28.520 --> 00:01:33.520]  因為裡面包括一些外籍的傭工
[00:01:33.520 --> 00:01:36.520]  在香港生育的小孩
[00:01:36.520 --> 00:01:39.520]  但他們未必會留在香港
[00:01:39.520 --> 00:01:46.520]  也包括一些雙非或單非的人士
[00:01:46.520 --> 00:01:52.520]  所以羅志光說香港的生育率
[00:01:52.520 --> 00:01:54.520]  可能是世界上最低
[00:01:54.520 --> 00:01:59.520]  數字比起什麼都是誠實
[00:01:59.520 --> 00:02:02.520]  就是說出香港人
[00:02:02.520 --> 00:02:08.520]  根本上是不相信孩子是我們的希望
[00:02:08.520 --> 00:02:12.520]  由當長大了的孩子
[00:02:12.520 --> 00:02:15.520]  成為了青年的時候
[00:02:15.520 --> 00:02:17.520]  我們也會問
[00:02:17.520 --> 00:02:20.520]  我們的青年人
[00:02:20.520 --> 00:02:23.520]  是否成為我們的希望呢?
[00:02:23.520 --> 00:02:28.520]  當我們的政府和政黨
[00:02:28.520 --> 00:02:34.520]  紛紛以要讓青年人看到希望
[00:02:34.520 --> 00:02:37.520]  為題去表達意見
[00:02:37.520 --> 00:02:41.520]  甚至在策劃香港的未來的時候
[00:02:41.520 --> 00:02:45.520]  看不見希望的青年人
[00:02:45.520 --> 00:02:51.520]  又如何成為我們的希望呢?
[00:02:51.520 --> 00:02:55.520]  香港當下的處境
[00:02:55.520 --> 00:02:58.520]  就和我們剛剛所讀的呼音書裡面
[00:02:58.520 --> 00:03:00.520]  路加呼音第一章裡面描述
[00:03:00.520 --> 00:03:04.520]  有關於瑪麗亞和伊麗莎白
[00:03:04.520 --> 00:03:08.520]  因為懷孕的喜悅和希望
[00:03:08.520 --> 00:03:13.520]  就成為了一個很強烈的對比
[00:03:13.520 --> 00:03:15.520]  我們會問
[00:03:15.520 --> 00:03:19.520]  伊麗莎白的喜悅和希望
[00:03:19.520 --> 00:03:25.520]  是否因為她年紀這麼大才懷孕
[00:03:25.520 --> 00:03:28.520]  所以她看得見希望呢?
[00:03:28.520 --> 00:03:31.520]  同樣我們也會去問
[00:03:31.520 --> 00:03:37.520]  是否因為瑪麗亞因性命懷孕
[00:03:37.520 --> 00:03:42.520]  所以她才看得見希望
[00:03:42.520 --> 00:03:47.520]  才可以有這份的喜悅呢?
[00:03:47.520 --> 00:03:50.520]  從天使對伊麗莎白所說
[00:03:50.520 --> 00:03:54.520]  和瑪麗亞自身所說
[00:03:54.520 --> 00:03:59.520]  他們看見孩子就看見希望
[00:03:59.520 --> 00:04:03.520]  不是因為有利的外在環境
[00:04:03.520 --> 00:04:07.520]  也不是因為他們的富足
