
[00:00:00.000 --> 00:00:05.120]  今天很想跟大家說一些
[00:00:05.120 --> 00:00:09.720]  我們生命裏面的一些挫折
[00:00:09.720 --> 00:00:11.400]  或者是一些「雨」的事
[00:00:11.400 --> 00:00:17.720]  或者是一些難忘的「雨事」
[00:00:17.720 --> 00:00:21.400]  話說中學水運會的時候
[00:00:21.400 --> 00:00:25.640]  杜牧師在講台上又不做啦啦隊
[00:00:25.640 --> 00:00:27.640]  你知道做水運會很悶的
[00:00:27.640 --> 00:00:29.680]  水運會沒什麼好做的
[00:00:29.680 --> 00:00:32.240]  唯有打一下遊戲機
[00:00:32.240 --> 00:00:35.160]  杜牧師那段時間其實也有遊戲機的
[00:00:35.160 --> 00:00:38.240]  不過那些遊戲機就沒大家那麼好玩的
[00:00:38.240 --> 00:00:40.200]  主要就是
[00:00:40.200 --> 00:00:41.160]  笑死你了
[00:00:41.160 --> 00:00:43.080]  就是那個計算機裏面
[00:00:43.080 --> 00:00:45.160]  有些數字這樣
[00:00:45.160 --> 00:00:47.080]  加上10那些就打
[00:00:47.080 --> 00:00:50.600]  打完之後數字就一路快快地加進來
[00:00:50.600 --> 00:00:52.200]  越打越快的時候
[00:00:52.200 --> 00:00:55.520]  如果趕不及就會輸了
[00:00:55.520 --> 00:01:00.400]  在牧師很興高采烈地打遊戲機的時候
[00:01:00.400 --> 00:01:02.400]  打數字的時候
[00:01:02.400 --> 00:01:05.280]  突然間老師一經過的時候
[00:01:05.280 --> 00:01:10.840]  就說水運會不准打機的
[00:01:10.840 --> 00:01:13.200]  我們要沒收你那部機
[00:01:13.200 --> 00:01:16.680]  你要去校務處
[00:01:16.680 --> 00:01:19.600]  放完假之後在校務處找回我
[00:01:19.600 --> 00:01:21.240]  才給你
[00:01:21.240 --> 00:01:23.960]  幸好不用家長才給
[00:01:23.960 --> 00:01:25.840]  因為我聽女兒說
[00:01:25.840 --> 00:01:28.960]  現在如果在上課
[00:01:28.960 --> 00:01:33.520]  打電話講電話響都不行的
[00:01:33.520 --> 00:01:36.040]  我不知道你們學校有沒有這樣的規矩
[00:01:36.040 --> 00:01:38.520]  不可以給你電話響的
[00:01:38.520 --> 00:01:42.760]  電話響都沒收你那部機的
[00:01:42.760 --> 00:01:45.480]  所以其實我們都發現
[00:01:45.480 --> 00:01:49.920]  其實很多長輩都經常給我們一些驚嚇的
[00:01:49.920 --> 00:01:53.280]  經常都讓我們覺得不安的
[00:01:53.280 --> 00:01:57.800]  但是在自己的生命裏面又覺得
[00:01:57.800 --> 00:02:02.280]  有時長輩對我們的提醒是很重要的
[00:02:02.280 --> 00:02:03.360]  是很好的
[00:02:03.360 --> 00:02:05.560]  因為他提醒我的時候
