
[00:00:00.000 --> 00:00:04.400]  作爲牧師很多時候都會在教會帶大家一起祈禱的
[00:00:04.400 --> 00:00:06.600]  我不知道大家有沒有留意過一樣東西
[00:00:06.600 --> 00:00:08.480]  後來我自己才發現
[00:00:08.480 --> 00:00:10.000]  在我祈禱裏面
[00:00:10.000 --> 00:00:13.920]  經常都會說到一兩句聖經的
[00:00:13.920 --> 00:00:17.680]  剛讀完聖經應該會留意
[00:00:17.680 --> 00:00:19.480]  我最初沒留意後來有人跟我說
[00:00:19.480 --> 00:00:22.080]  就說牧師其實經常祈禱伴侶就是
[00:00:22.080 --> 00:00:24.760]  求神保守你的心 請我保守一切
[00:00:24.760 --> 00:00:27.000]  我都不太覺得
[00:00:27.000 --> 00:00:29.240]  被人提醒之後我發現好像是
[00:00:29.240 --> 00:00:32.240]  直到昨天
[00:00:32.240 --> 00:00:34.320]  就是昨天早上有人在講道講的這段
[00:00:34.320 --> 00:00:36.400]  到晚上臨睡我和老婆祈禱
[00:00:36.400 --> 00:00:37.440]  祈禱伴侶
[00:00:37.440 --> 00:00:39.480]  我都說了這一句
[00:00:39.480 --> 00:00:42.400]  當然不是因爲我祈禱經常講
[00:00:42.400 --> 00:00:44.200]  所以今天要和你講
[00:00:44.200 --> 00:00:46.440]  而且如果你還記得上個星期
[00:00:46.440 --> 00:00:48.400]  上個星期誰有聽到駱姑娘講道
[00:00:48.400 --> 00:00:50.400]  搶着她的手
[00:00:50.400 --> 00:00:51.800]  放下放下
[00:00:51.800 --> 00:00:53.280]  大家真的很乖
[00:00:53.280 --> 00:00:55.160]  她講盼望是吧
[00:00:55.160 --> 00:00:56.240]  講信心
[00:00:56.240 --> 00:00:57.800]  特別在最後講到
[00:00:57.800 --> 00:01:00.160]  我們靈魂的惱
[00:01:00.160 --> 00:01:03.200]  講到那時候我心裏就馬上出來了
[00:01:03.200 --> 00:01:06.000]  當我們在講靈魂的惱的時候
[00:01:06.000 --> 00:01:08.720]  是一個新心靈的問題
[00:01:08.720 --> 00:01:10.560]  新心靈的問題
[00:01:10.560 --> 00:01:12.480]  在基督徒和我們在神面前
[00:01:12.480 --> 00:01:14.240]  我們的生命是如何呢
[00:01:14.240 --> 00:01:15.640]  這個我們相信
[00:01:15.640 --> 00:01:17.720]  是每一個人都很關心的一件事
[00:01:17.720 --> 00:01:19.640]  乃至於是在上個星期開始
[00:01:19.640 --> 00:01:22.440]  這封聖經就很快飄出來了
[00:01:22.440 --> 00:01:24.240]  當你讀完這封聖經
[00:01:24.240 --> 00:01:25.760]  剛剛針研第四章
[00:01:25.760 --> 00:01:27.120]  我們很明顯會看到
[00:01:27.120 --> 00:01:28.440]  其實想講什麼
[00:01:28.440 --> 00:01:30.000]  要留心聽我的言辭
[00:01:30.000 --> 00:01:31.520]  質疑聽我的話語
[00:01:31.520 --> 00:01:33.480]  很明顯的提醒我們每一個信耶穌的人
[00:01:33.480 --> 00:01:35.920]  我們應該是讀神的話的
[00:01:35.920 --> 00:01:38.840]  因爲神的話語是保存生命的
[00:01:38.840 --> 00:01:41.000]  更是我們生命的良藥
[00:01:41.000 --> 00:01:43.520]  所以對聖經熟悉是很重要的
[00:01:43.520 --> 00:01:44.360]  是不是啊
[00:01:44.360 --> 00:01:46.200]  是,很重要
[00:01:46.200 --> 00:01:47.360]  逼你說是
[00:01:47.360 --> 00:01:49.120]  不過有一件事
[00:01:49.120 --> 00:01:51.280]  是剛剛這個星期三的組裝訓練之後
[00:01:51.280 --> 00:01:52.520]  我決定悔改的
[00:01:52.520 --> 00:01:54.040]  就是在過去幾年
[00:01:54.040 --> 00:01:58.440]  我很記得我的講道事實上是
[00:01:58.440 --> 00:02:00.280]  就是按照篇章去的
[00:02:00.280 --> 00:02:01.640]  所以大部分時間
[00:02:01.640 --> 00:02:02.640]  你開始的時候
[00:02:02.640 --> 00:02:03.520]  寫完這封聖經
[00:02:03.520 --> 00:02:05.560]  你就不用再理會聖經了
[00:02:05.560 --> 00:02:08.040]  結果我們還是不太熟悉聖經的那一種
[00:02:08.040 --> 00:02:10.640]  在剛剛這個星期的組裝訓練裏面
[00:02:10.640 --> 00:02:12.880]  我們有功課
[00:02:12.880 --> 00:02:14.840]  功課呢
