
[00:00:00.000 --> 00:00:02.820]  大補堂今年的主題是「照明人生」
[00:00:02.820 --> 00:00:06.520]  目的是幫助我們的頂尖會明白自己人生的照明
[00:00:06.520 --> 00:00:09.820]  繼而經歷一個豐盛又滿足的生命
[00:00:09.820 --> 00:00:11.240]  什麼是照明呢?
[00:00:11.240 --> 00:00:13.520]  又重溫一下 很久沒有跟大家說了
[00:00:13.520 --> 00:00:14.900]  什麼是照明呢?
[00:00:14.900 --> 00:00:16.100]  我們記得
[00:00:16.100 --> 00:00:21.620]  楊依華「神創造人,向人發出呼召,人以生命來對回應」
[00:00:21.620 --> 00:00:22.940]  這個就是照明
[00:00:22.940 --> 00:00:24.700]  所以照明包含三個觀念
[00:00:24.700 --> 00:00:28.020]  我們要相信我們記得是上帝創造人
[00:00:28.020 --> 00:00:30.800]  並且在創造人的時候就呼籲每一個人
[00:00:30.800 --> 00:00:32.800]  都有個別和獨特的心意
[00:00:32.800 --> 00:00:34.520]  是上帝給我們的
[00:00:34.520 --> 00:00:36.800]  神在創造人之後就呼喚人
[00:00:36.800 --> 00:00:39.480]  要按這個心意來對活出來
[00:00:39.480 --> 00:00:42.020]  有呼召或者呼喚的部分
[00:00:42.020 --> 00:00:44.220]  第三就是人怎樣去回應
[00:00:44.220 --> 00:00:48.220]  人是用整個的生命來對回應上帝這個呼召
[00:00:48.220 --> 00:00:52.300]  活出上帝做他本初的形象
[00:00:52.300 --> 00:00:55.040]  我們崇拜裡面有分三段時間
[00:00:55.040 --> 00:00:58.120]  一至四月跟頂尖會說人生是需要有照明
[00:00:58.120 --> 00:01:00.380]  很想頂尖會找到你人生的照明
[00:01:00.380 --> 00:01:02.660]  或者知道要找自己人生的照明
[00:01:02.660 --> 00:01:04.660]  以致你知道接下來的日子
[00:01:04.660 --> 00:01:05.900]  你是要怎樣過
[00:01:05.900 --> 00:01:06.960]  我們生活的目標
[00:01:06.960 --> 00:01:08.520]  我們整個生命的目的
[00:01:08.520 --> 00:01:10.020]  我們的意義在哪裡
[00:01:10.020 --> 00:01:11.660]  你說怎樣找呢?
[00:01:11.660 --> 00:01:13.320]  如果人生的照明
[00:01:13.320 --> 00:01:14.460]  可以說容易
[00:01:14.460 --> 00:01:16.260]  也可以說不容易
[00:01:16.260 --> 00:01:19.060]  其中一部分我們要回顧的
[00:01:19.060 --> 00:01:19.920]  回顧什麼呢?
[00:01:19.920 --> 00:01:21.280]  用什麼來對回顧呢?
[00:01:21.280 --> 00:01:23.780]  用上帝的說話幫助我們
[00:01:23.780 --> 00:01:26.640]  回顧我們整個生命和向前望
[00:01:26.640 --> 00:01:29.360]  同樣地用我們人生的經驗來對回顧
[00:01:29.360 --> 00:01:33.460]  好叫我們發現上帝在我們生命上的足跡
[00:01:33.460 --> 00:01:37.240]  也發現我們真正的自己是個怎樣的自己
[00:01:37.240 --> 00:01:40.360]  這個講到我講照明人生系列的第六講
[00:01:40.360 --> 00:01:44.040]  回顧人生的轉捩點
[00:01:44.040 --> 00:01:47.220]  我們每個人都有一些故事
[00:01:47.220 --> 00:01:51.180]  有些故事可能是你生命裡面改變了你的
[00:01:51.180 --> 00:01:53.400]  你覺得你整個人生就不同了
[00:01:53.400 --> 00:01:54.920]  今天我要介紹一個人物
[00:01:54.920 --> 00:01:56.840]  他是雅各
[00:01:56.840 --> 00:02:00.580]  很想從雅各人生的轉捩點
[00:02:00.580 --> 00:02:04.720]  來看看上帝怎樣幫助他
[00:02:04.720 --> 00:02:07.480]  走出他生命的一個困局
[00:02:07.480 --> 00:02:10.960]  從而他以前是怎樣靠自己
[00:02:10.960 --> 00:02:14.040]  跟著他怎樣按神的心意
[00:02:14.040 --> 00:02:16.960]  去活出他自己人生的照明
[00:02:16.960 --> 00:02:18.120]  雅各
[00:02:18.120 --> 00:02:20.760]  他生命經歷一個關口
[00:02:20.760 --> 00:02:22.200]  很重要
[00:02:22.200 --> 00:02:25.440]  講到雅各不知道大家對他有多少的認識
[00:02:25.440 --> 00:02:26.960]  很多人講雅各的時候
[00:02:26.960 --> 00:02:29.360]  就會將他人生分為兩大部分
[00:02:29.360 --> 00:02:32.000]  他人生的上半場和他人生的下半場
[00:02:32.000 --> 00:02:33.720]  中間有一個轉捩點
[00:02:33.720 --> 00:02:36.760]  他人生的上半場是在兩個地方住過
[00:02:36.760 --> 00:02:38.400]  第一個地方在迦南
[00:02:38.400 --> 00:02:39.520]  在這裡發生什麼事呢
[00:02:39.520 --> 00:02:40.640]  他跟哥哥一起出生
[00:02:40.640 --> 00:02:43.840]  他爸爸媽媽是以撒和利伯加
[00:02:43.840 --> 00:02:45.360]  他哥哥比他早一點
[00:02:45.360 --> 00:02:46.560]  孖山的
[00:02:46.560 --> 00:02:48.000]  他就跟著哥哥
[00:02:48.000 --> 00:02:49.760]  雅各的名字就是抓住的意思
[00:02:49.760 --> 00:02:52.640]  因為他出生的時候就抓住哥哥的腳跟
[00:02:52.640 --> 00:02:55.440]  其實上帝在雅各和以素的身上
[00:02:55.440 --> 00:02:56.960]  有他定的旨意
[00:02:56.960 --> 00:03:00.760]  他說將來是會大的服侍小的
[00:03:00.760 --> 00:03:02.520]  小的會怎樣起來
[00:03:02.520 --> 00:03:06.080]  雅各至少就知道上帝在他身上的計劃
[00:03:06.080 --> 00:03:07.560]  不過他是用了自己的方法
[00:03:07.560 --> 00:03:10.040]  想著可以承傳上帝的應許
[00:03:10.040 --> 00:03:11.320]  他用了兩個方法
[00:03:11.320 --> 00:03:12.080]  一是什麼呢
[00:03:12.080 --> 00:03:15.560]  以紅豆湯來換取哥哥長子的名分
[00:03:15.560 --> 00:03:16.600]  有沒有這個印象
[00:03:16.600 --> 00:03:19.200]  你回內教會聽過這個聖經故事
[00:03:19.200 --> 00:03:20.640]  第二是什麼呢
[00:03:20.640 --> 00:03:22.920]  到爸爸年紀大了
[00:03:22.920 --> 00:03:24.040]  他很喜歡吃野味
[00:03:24.040 --> 00:03:26.560]  就叫哥哥去打野味回來
[00:03:26.560 --> 00:03:30.160]  好叫他臨死之前可以為哥哥來一對祝福
[00:03:30.160 --> 00:03:32.400]  這番話被媽媽聽到
