
[00:00:00.000 --> 00:00:03.000]  頂姊妹,你預備好了沒有?
[00:00:03.000 --> 00:00:05.120]  預備什麼?
[00:00:05.120 --> 00:00:08.480]  預備敬拜上帝囉!
[00:00:08.480 --> 00:00:12.120]  如果大家剛才留心,你化道呢,
[00:00:12.120 --> 00:00:16.180]  讀讀下的時候呢,開始的時候有些窒窒,
[00:00:16.180 --> 00:00:19.780]  臨到尾的時候,一大段聲音不同了,
[00:00:19.780 --> 00:00:24.000]  這個一會兒我會解釋,這個涉及到分段的問題。
[00:00:24.000 --> 00:00:26.480]  今天是什麼日子呀?
[00:00:26.480 --> 00:00:29.060]  有沒有人生日呀今天?
[00:00:30.200 --> 00:00:32.340]  今天是6月4號,
[00:00:32.340 --> 00:00:35.020]  我有位朋友的電話,
[00:00:35.020 --> 00:00:37.980]  最後的四個字是8964,
[00:00:37.980 --> 00:00:39.220]  真的很容易記。
[00:00:39.220 --> 00:00:43.280]  有人預備了今晚有些事做,
[00:00:43.280 --> 00:00:47.720]  你預備做些什麼呢?
[00:00:47.720 --> 00:00:50.100]  今天是什麼日子呀?
[00:00:50.100 --> 00:00:54.400]  試問告訴你,今天是教會歷史裡面很重要的日子,
[00:00:54.400 --> 00:00:57.700]  就是紀念聖靈降臨的日子。
[00:00:58.700 --> 00:01:02.000]  聖靈降臨重不重要呀?
[00:01:02.000 --> 00:01:03.740]  為什麼聖靈要降臨呀?
[00:01:03.740 --> 00:01:06.020]  如果聖靈真的沒有降臨的時候,
[00:01:06.020 --> 00:01:09.160]  你猜歷史會變成怎樣呢?
[00:01:09.160 --> 00:01:13.460]  我很喜歡問一個問題,
[00:01:13.460 --> 00:01:15.900]  頂姊妹,
[00:01:15.900 --> 00:01:19.580]  你人生目標是什麼呢?
[00:01:19.580 --> 00:01:22.780]  如果要你說一件事,
[00:01:22.780 --> 00:01:25.040]  你說什麼呢?
[00:01:26.540 --> 00:01:28.740]  很多吧,有些很熟悉的說,
[00:01:28.740 --> 00:01:31.660]  我要為上帝做最多的事,
[00:01:31.660 --> 00:01:33.760]  我要去傳福音,
[00:01:33.760 --> 00:01:35.760]  使萬民作主的門徒,
[00:01:35.760 --> 00:01:38.860]  我要奉獻所有的,
[00:01:38.860 --> 00:01:41.940]  一切旅行都不去了,
[00:01:41.940 --> 00:01:43.880]  有錢都要奉獻給上帝,
[00:01:43.880 --> 00:01:45.320]  奉獻給宣教士,
[00:01:45.320 --> 00:01:46.500]  很好吧?
[00:01:46.500 --> 00:01:48.980]  這些目標,如果有,
[00:01:48.980 --> 00:01:50.640]  都不錯。
[00:01:50.640 --> 00:01:53.800]  不過有一個更好的目標,
[00:01:53.800 --> 00:01:56.620]  我自己非常的認同,我都會朝著這個目標,
[00:01:56.620 --> 00:02:01.300]  就有人根據聖經,特別是舊約新約的聖經告訴我,
[00:02:01.300 --> 00:02:05.420]  他說耶穌是神終極的啟示,
[00:02:05.420 --> 00:02:09.420]  要將神的榮耀彰顯,
[00:02:09.420 --> 00:02:13.840]  萬族萬民歸順耶穌基督,
[00:02:13.840 --> 00:02:17.220]  這個就是神榮耀的高峰,
[00:02:17.220 --> 00:02:18.900]  什麼意思呢?
[00:02:18.900 --> 00:02:23.540]  就是說我們信徒的人生目標只有一樣東西,
[00:02:24.200 --> 00:02:25.200]  就是什麼呢?
[00:02:25.200 --> 00:02:28.180]  榮耀上帝,
[00:02:28.180 --> 00:02:30.760]  好像很抽象,
[00:02:30.760 --> 00:02:34.100]  但也提供了一個很大的空間給我們,
[00:02:34.100 --> 00:02:36.900]  換言之,無論你做什麼,
[00:02:36.900 --> 00:02:38.740]  你說什麼,
[00:02:38.740 --> 00:02:40.160]  只有一個目的,
[00:02:40.160 --> 00:02:42.700]  就是要榮耀上帝,
[00:02:42.700 --> 00:02:45.080]  所以我們的信仰,
