
[00:00:00.000 --> 00:00:03.200]  今天我的題目叫做「當當當」
[00:00:03.200 --> 00:00:05.520]  甚麼是「當當當」呢
[00:00:05.520 --> 00:00:06.940]  那麼
[00:00:06.940 --> 00:00:11.100]  通常我們叫「當」有幾樣東西
[00:00:11.100 --> 00:00:13.680]  第一就是早上起床鬧鐘響
[00:00:13.680 --> 00:00:16.040]  我不知道大家通常的表達會怎樣
[00:00:16.040 --> 00:00:17.780]  可能會拍色他
[00:00:17.780 --> 00:00:19.340]  可能不理他
[00:00:19.340 --> 00:00:20.980]  可能立刻起床也說不定
[00:00:20.980 --> 00:00:23.540]  第二些「幫幫」可能你聽到是
[00:00:23.540 --> 00:00:25.440]  嘩 火燭
[00:00:25.440 --> 00:00:28.480]  又或者
[00:00:29.100 --> 00:00:31.100]  恐襲
[00:00:31.100 --> 00:00:32.820]  我不知道大家有沒有留意看新聞
[00:00:32.820 --> 00:00:35.320]  很多時候很多的演習
[00:00:35.320 --> 00:00:38.360]  特別是恐怖份子 火燭
[00:00:38.360 --> 00:00:41.720]  在電視拍的時候應該是很緊張
[00:00:41.720 --> 00:00:44.480]  但他們通常拍 因為他們知道演習的緣故
[00:00:44.480 --> 00:00:46.020]  他們走得很舒服的
[00:00:46.020 --> 00:00:47.900]  跟朋友聊天
[00:00:47.900 --> 00:00:51.340]  好像有永恆的時間讓他們逃避那件事
[00:00:51.340 --> 00:00:53.460]  我自己也試過 有兩次
[00:00:53.460 --> 00:00:55.500]  有一次我記得在讀書的時候
[00:00:55.500 --> 00:00:57.500]  學校說演習
[00:00:57.500 --> 00:00:58.940]  我說演習好
[00:00:58.940 --> 00:01:02.060]  不用上課 至少搞一兩個小時
[00:01:02.060 --> 00:01:04.940]  一走下去慢慢跟同學很舒服
[00:01:04.940 --> 00:01:07.120]  有一次我記得是工作的時候
[00:01:07.120 --> 00:01:10.400]  他說將會有演習火警
[00:01:10.400 --> 00:01:12.400]  一拉的時候我心想
[00:01:12.400 --> 00:01:14.400]  不要妨礙我 很累
[00:01:14.400 --> 00:01:18.100]  一點也不著意
[00:01:18.100 --> 00:01:20.660]  不過當我昨天準備這個訊息的時候
[00:01:20.660 --> 00:01:23.580]  我突然想 如果這些的
[00:01:23.580 --> 00:01:27.340]  響鬧裝置是真的話
[00:01:27.640 --> 00:01:30.400]  真的火燭的話 又或者
[00:01:30.400 --> 00:01:34.200]  真的有恐怖份子來的時候
[00:01:34.200 --> 00:01:36.780]  我相信我們的態度也很不同
[00:01:36.780 --> 00:01:39.580]  立刻起來 很小心
[00:01:39.580 --> 00:01:42.180]  看看什麼事 怎樣去逃避
[00:01:42.180 --> 00:01:44.740]  去避完之後找一個安全的地方
[00:01:44.740 --> 00:01:48.180]  我記得在2004年 2005年
[00:01:48.180 --> 00:01:50.180]  大概這個時候 我還沒有在教會工作
[00:01:50.180 --> 00:01:52.180]  有一次我出差在台灣
[00:01:52.180 --> 00:01:55.220]  晚上洗完澡 我穿了一件浴袍
[00:01:55.220 --> 00:01:56.820]  打算睡覺
[00:01:56.820 --> 00:02:01.200]  突然間 台灣的酒店在台北
[00:02:01.200 --> 00:02:03.200]  突然間震動
[00:02:03.200 --> 00:02:05.080]  我想 為什麼會震動
[00:02:05.080 --> 00:02:07.080]  難道台灣住酒店會震動
[00:02:07.080 --> 00:02:08.680]  我完全沒有明白什麼事
[00:02:08.680 --> 00:02:10.680]  我又不想走出去看
[00:02:10.680 --> 00:02:12.380]  因為我覺得我又要換衣服
[00:02:12.380 --> 00:02:13.720]  不好看
[00:02:13.720 --> 00:02:17.140]  於是一兩分鐘 幾十秒
[00:02:17.140 --> 00:02:19.480]  不行了 我覺得不太安全
[00:02:19.480 --> 00:02:20.680]  我就開門看
[00:02:20.680 --> 00:02:22.680]  原來發現很多人走出去
[00:02:22.680 --> 00:02:24.680]  然後慢慢就沒有震動
[00:02:24.680 --> 00:02:26.680]  我回去開電視看
[00:02:26.680 --> 00:02:29.680]  原來發現是5.7級地震
[00:02:29.680 --> 00:02:32.680]  鎮陰 離台北比較遠
[00:02:32.680 --> 00:02:34.680]  所以沒那麼嚴重
[00:02:34.680 --> 00:02:36.680]  但是我想如果那次
[00:02:36.680 --> 00:02:39.680]  真的在鎮陰的中間 我還這樣的話
[00:02:39.680 --> 00:02:42.680]  我想我今天也不會站在這裡了
[00:02:42.680 --> 00:02:44.680]  今天我選的題目
[00:02:44.680 --> 00:02:46.680]  Dong Dong Dong
[00:02:46.680 --> 00:02:48.680]  在第一篇詩篇
[00:02:48.680 --> 00:02:50.680]  他不是跟我們開玩笑
[00:02:50.680 --> 00:02:52.680]  他不是跟我們開玩笑
[00:02:52.680 --> 00:02:55.680]  他告訴我們 喂 這個是真的
[00:02:55.680 --> 00:02:57.680]  也就是說
[00:02:57.680 --> 00:03:00.680]  俚話的律法 我們怎樣去選擇
[00:03:00.680 --> 00:03:03.680]  怎樣去逃避 怎樣選擇最好
[00:03:03.680 --> 00:03:06.680]  這個詩篇是智慧文獻
[00:03:06.680 --> 00:03:09.680]  是當時的智者教導一班人
[00:03:09.680 --> 00:03:11.680]  在實際的生活上 思考上
[00:03:11.680 --> 00:03:13.680]  應該怎樣走
[00:03:13.680 --> 00:03:15.680]  如果我們認識生命記
[00:03:15.680 --> 00:03:17.680]  27 28章
[00:03:17.680 --> 00:03:20.680]  他在說怎樣去選擇生命
