
[00:00:00.000 --> 00:00:02.000]  我們常聽到人說
[00:00:02.000 --> 00:00:04.000]  有人的地方
[00:00:04.000 --> 00:00:06.000]  就有問題
[00:00:06.000 --> 00:00:08.000]  當然多半我們說這句話的時候
[00:00:08.000 --> 00:00:09.000]  我們的意思是
[00:00:09.000 --> 00:00:13.000]  有別人的地方就有問題
[00:00:13.000 --> 00:00:15.000]  當夫妻之間也不例外
[00:00:15.000 --> 00:00:18.000]  當兩個人結合在一起的時候
[00:00:18.000 --> 00:00:23.000]  彼此之間也的確有很多不同的期望
[00:00:23.000 --> 00:00:25.000]  所以難怪在婚姻生活當中
[00:00:25.000 --> 00:00:28.000]  我們會有很多的衝突的存在
[00:00:28.000 --> 00:00:31.000]  因為期待太不一樣了
[00:00:31.000 --> 00:00:33.000]  當夫妻年輕的時候
[00:00:33.000 --> 00:00:36.000]  兩個人一同為家庭奮鬥
[00:00:36.000 --> 00:00:40.000]  當然在愛的裡面你無需說抱歉
[00:00:40.000 --> 00:00:43.000]  在愛的裡面也無需說謝謝
[00:00:43.000 --> 00:00:48.000]  但的確年復一年日復一日的過去
[00:00:48.000 --> 00:00:50.000]  這種家庭的責任
[00:00:50.000 --> 00:00:54.000]  有時候壓得你真的透不過氣來的時候
[00:00:54.000 --> 00:00:56.000]  你就開始去想一個問題
[00:00:56.000 --> 00:00:58.000]  第一個問題就是
[00:00:58.000 --> 00:01:01.000]  Did I miss something?
[00:01:01.000 --> 00:01:06.000]  我的生命當中是不是失去了一些什麼
[00:01:06.000 --> 00:01:07.000]  很多時候我們會覺得
[00:01:07.000 --> 00:01:11.000]  我們失去了愛情那個感覺
[00:01:11.000 --> 00:01:14.000]  這些年當我在做很多婚姻輔導的過程當中
[00:01:14.000 --> 00:01:16.000]  我發現有一件事情在婚姻當中
[00:01:16.000 --> 00:01:19.000]  常常被誤導的
[00:01:19.000 --> 00:01:21.000]  那就是我們在婚姻生活當中
[00:01:21.000 --> 00:01:25.000]  我們還是比較注重感覺
[00:01:25.000 --> 00:01:28.000]  感覺在我覺得很好
[00:01:28.000 --> 00:01:30.000]  感覺不在
[00:01:30.000 --> 00:01:34.000]  我們覺得愛情好像失去了
[00:01:34.000 --> 00:01:37.000]  你知道仇敵常常就是這樣欺騙我們
[00:01:37.000 --> 00:01:41.000]  以為愛情只是在於感覺而已
[00:01:41.000 --> 00:01:44.000]  但事實上生婚姻生活的每一件事情
[00:01:44.000 --> 00:01:48.000]  其實都是一個選擇
[00:01:48.000 --> 00:01:52.000]  跟你媽說其實是一種選擇跟她說
[00:01:52.000 --> 00:01:55.000]  當你談戀愛的時候
[00:01:55.000 --> 00:01:59.000]  當你彼此在愛慕追求的那一剎那
[00:01:59.000 --> 00:02:00.000]  是一個選擇
[00:02:00.000 --> 00:02:02.000]  是因為你選擇追求對方
[00:02:02.000 --> 00:02:05.000]  你選擇跟他談戀愛
[00:02:05.000 --> 00:02:08.000]  也不只是在你結婚的時候
[00:02:08.000 --> 00:02:10.000]  當你站在祭壇面前
[00:02:10.000 --> 00:02:14.000]  當你說是的我願意的那一剎那
[00:02:14.000 --> 00:02:16.000]  你的確是在做一個選擇
[00:02:16.000 --> 00:02:18.000]  你願意一生跟這個人在一起
[00:02:18.000 --> 00:02:20.000]  那是一個選擇
[00:02:20.000 --> 00:02:23.000]  事實上在結婚以後
[00:02:23.000 --> 00:02:26.000]  其實每一個日子每一件事情
[00:02:26.000 --> 00:02:29.000]  你可知道也都是一個選擇嗎
[00:02:29.000 --> 00:02:33.000]  這每一個選擇都會影響到你們夫妻的關係的
[00:02:33.000 --> 00:02:36.000]  無論是正面的無論是負面的
[00:02:36.000 --> 00:02:40.000]  所以無論你現在婚姻的光景是如何
[00:02:40.000 --> 00:02:42.000]  最重要的你是要明白
[00:02:42.000 --> 00:02:44.000]  你要在生活每一件事情上
[00:02:44.000 --> 00:02:47.000]  學習做正確的選擇
[00:02:47.000 --> 00:02:50.000]  因為就算你今天你說你有再好的婚姻
