
[00:00:00.000 --> 00:00:02.000]  廣正姐妹,平安!
[00:00:02.000 --> 00:00:05.000]  由我們開始的時候,我們先做一個祈禱
[00:00:05.000 --> 00:00:08.000]  親愛的主啊!我們很感謝你
[00:00:08.000 --> 00:00:11.000]  因為我們今天有機會再次來到你的面前
[00:00:11.000 --> 00:00:13.000]  求你打開我們的心
[00:00:13.000 --> 00:00:15.000]  使我們更加能夠認識你
[00:00:15.000 --> 00:00:17.000]  能夠明白你的心意
[00:00:17.000 --> 00:00:20.000]  更加能夠效法你的僕人史提反
[00:00:20.000 --> 00:00:22.000]  在這個世代中
[00:00:22.000 --> 00:00:26.000]  能夠無畏無懼地活出真我的見證
[00:00:26.000 --> 00:00:28.000]  同主耶穌基督聖名
[00:00:28.000 --> 00:00:30.000]  阿們
[00:00:30.000 --> 00:00:35.000]  最近大家有沒有留意
[00:00:35.000 --> 00:00:39.000]  新冠疫情好像有些重現的趨勢
[00:00:39.000 --> 00:00:42.000]  所以大家可能都非常小心
[00:00:42.000 --> 00:00:46.000]  在公眾場所裡面都會戴口罩等等
[00:00:46.000 --> 00:00:48.000]  大家還記不記得
[00:00:48.000 --> 00:00:51.000]  將我們最嚴重的時候
[00:00:51.000 --> 00:00:53.000]  那段日子
[00:00:53.000 --> 00:00:56.000]  大家知不知道教會是怎樣的
[00:00:56.000 --> 00:00:58.000]  關門吧
[00:00:58.000 --> 00:01:01.000]  崇拜也是直播而已
[00:01:01.000 --> 00:01:06.000]  大家可能都是坐在電腦或者手機前面
[00:01:06.000 --> 00:01:09.000]  曾經有時候,大家可能都會問
[00:01:09.000 --> 00:01:11.000]  這樣我們算不算是敬拜?
[00:01:11.000 --> 00:01:14.000]  神會不會還在我們中間呢?
[00:01:14.000 --> 00:01:17.000]  但也有不少人跟我說
[00:01:17.000 --> 00:01:22.000]  在家裡,在電腦前面來敬拜
[00:01:22.000 --> 00:01:28.000]  一樣可以經歷到神的安慰和神的同在
[00:01:28.000 --> 00:01:31.000]  當然,回到教會的崇拜
[00:01:31.000 --> 00:01:34.000]  我們順道可以彼此連結
[00:01:34.000 --> 00:01:36.000]  我們有團契
[00:01:36.000 --> 00:01:40.000]  這也是聖徒相通的重要實踐
[00:01:40.000 --> 00:01:43.000]  但疫情也是在提醒我們
[00:01:43.000 --> 00:01:45.000]  就算在最困難的日子裡面
[00:01:45.000 --> 00:01:49.000]  我們一樣可以經歷到神的真實
[00:01:49.000 --> 00:01:52.000]  和神的同在
[00:01:52.000 --> 00:01:58.000]  這也是今天經文給我們的一個主要訊息
[00:01:58.000 --> 00:02:00.000]  在幾個禮拜之前
[00:02:00.000 --> 00:02:03.000]  我們也說過彼得和約翰
[00:02:03.000 --> 00:02:07.000]  在他們身上,我們學習到怎樣能夠放膽
[00:02:07.000 --> 00:02:09.000]  為主來做見證
[00:02:09.000 --> 00:02:12.000]  今天我們來到另外一位見證人
[00:02:12.000 --> 00:02:15.000]  這位就是試題犯
[00:02:15.000 --> 00:02:18.000]  當打壓越來越嚴重的時候
[00:02:18.000 --> 00:02:20.000]  我們在這個公會面前
[00:02:20.000 --> 00:02:24.000]  用一篇非常長的訊息
