
[00:00:00.000 --> 00:00:08.000]  好,我們今天正道的題目是「真道」
[00:00:08.000 --> 00:00:16.000]  我們最近在主義學講到希伯來書
[00:00:16.000 --> 00:00:23.000]  有不少的同學,不少的弟兄姊妹都一同學習
[00:00:23.000 --> 00:00:29.000]  希伯來書講到律法,講到祭祀的事
[00:00:29.000 --> 00:00:32.000]  祭祀都是影來的
[00:00:32.000 --> 00:00:38.000]  真體是主耶穌基督,主耶穌基督就是實體
[00:00:38.000 --> 00:00:45.000]  舊約當中的獻牛羊和祭司都是如表這位主耶穌基督
[00:00:45.000 --> 00:00:49.000]  今天我們會繼續有希伯來書的學習
[00:00:49.000 --> 00:00:54.000]  在聚會之後,今天是由Alice帶我們去學習的
[00:00:56.000 --> 00:01:05.000]  今週開始,我會開一個《約翰福音》的分享
[00:01:05.000 --> 00:01:13.000]  求主帶領我們接下這一段時間,或者一兩年的分享
[00:01:13.000 --> 00:01:16.000]  《約翰福音》到底深不深呢?
[00:01:16.000 --> 00:01:20.000]  或者只不過是一卷很淺的書呢?
[00:01:20.000 --> 00:01:27.000]  我猜施丁是這樣說的,《約翰福音》深得足以讓大象去暢遊
[00:01:27.000 --> 00:01:30.000]  一大笨象都可以在那裡遊
[00:01:30.000 --> 00:01:36.000]  大笨象夠大,但是《約翰福音》足夠大讓它遊
[00:01:36.000 --> 00:01:40.000]  淺呢?淺得它不會淹死一個小孩
[00:01:40.000 --> 00:01:44.000]  真體是可以很容易去明白的
[00:01:44.000 --> 00:01:50.000]  所以《約翰福音》又是很深,又是讓我們很容易去明白
[00:01:50.000 --> 00:01:52.000]  這就是《約翰福音》
[00:01:52.000 --> 00:02:01.000]  《約翰福音》是主耶穌十二門徒當中最年輕的一位約翰去寫的
[00:02:01.000 --> 00:02:10.000]  他也是十二門徒當中最後離開這個世界的一個人
[00:02:10.000 --> 00:02:15.000]  他也是被稱為主所愛的那位門徒
[00:02:15.000 --> 00:02:19.000]  《約翰福音》是約翰年老的時候寫的
[00:02:19.000 --> 00:02:23.000]  大概在主後大一世紀末葉的時候寫的
[00:02:23.000 --> 00:02:31.000]  是以忽所寫,或者是那個時候才發表出來的
[00:02:31.000 --> 00:02:35.000]  這本書他寫的目的是什麼呢?
[00:02:35.000 --> 00:02:39.000]  在二十章三十到三十一節已經說了
[00:02:39.000 --> 00:02:46.000]  就是要使人信耶穌是基督,是神的兒子
[00:02:46.000 --> 00:02:50.000]  並且因信祂而得這個生命
[00:02:50.000 --> 00:02:53.000]  就是這本書所寫的目的
[00:02:53.000 --> 00:02:58.000]  我們讀這段經文的時候
[00:02:58.000 --> 00:03:02.000]  你會看到有很多「道」、「道」、「道」
[00:03:02.000 --> 00:03:05.000]  「道」到底是一種什麼樣的觀念呢?
[00:03:05.000 --> 00:03:09.000]  包括我們中國人都有「道」的一個觀念
[00:03:09.000 --> 00:03:18.000]  在《道德經》當中是老子他核心的一個概念表達了
[00:03:18.000 --> 00:03:23.000]  這本書講的是什麼呢?
[00:03:23.000 --> 00:03:26.000]  講的是道是宇宙的本源
[00:03:26.000 --> 00:03:29.000]  道也是自然的一個規律
[00:03:29.000 --> 00:03:32.000]  正如《道德經》所說的
[00:03:32.000 --> 00:03:37.000]  在二十五章中所說的,「有物運成,先天地出」
[00:03:37.000 --> 00:03:44.000]  然後又說「可以為天下,可以為天下無」
[00:03:44.000 --> 00:03:52.000]  即是告訴我們,這個「道」在天地未形成的時候
[00:03:52.000 --> 00:03:55.000]  之前已經存在的了
[00:03:55.000 --> 00:03:58.000]  它是「可以為天下無」
